OTUID	Core	0-5cm	5-15cm	OM
00d0b30327c0d4cedc8738974f330269	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
0484d6f9283e7460c3d7f294a0c4b744	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
04963a1d71e1bbb0ba42f544a0933cc1	0-5cm	TRUE	FALSE	FALSE
11d92fe454d82973eb99cbc2620b3a88	0-5cm	TRUE	FALSE	FALSE
151f25319c8715bb49632a77fb021ad5	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
157a7c6518a3b3e70daf62add4531002	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
197cac25851f42ea0811ba6eb3a4d044	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
1bcc1a211d6c3272f7f3ac10a3620bae	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
20e3fc9ceaacf533bb48079d79ebac6f	0-5cm	TRUE	FALSE	FALSE
2390ad7fc738b23f4be2e6ec469042d6	0-5cmOM	TRUE	FALSE	TRUE
29abf79937c29f1d4d7d5739225d3b22	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
379cf90be2267e66454a1d773f88487c	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
43c9e86409734b832125a67753d9b6ab	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
496905bc7a6adfac6a783af4aca2e9e2	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
4ed28f7be92e2e11a3e33683e302ccd4	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
587028418f52f49c7d579b98a996d95a	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
5c3adc0e3d4a9ed3b695654b4fee0acd	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
5f721b0af0bafd1ff21eb1c6140c4d0f	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
6472eb8b1e09f892aca2f23182962903	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
66d2b628187f8fa3b00f5c3628cc161d	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
702af9e944edfd5a1a7f0dce0d566376	0-5cmOM	TRUE	FALSE	TRUE
74a26e97b02fcab82b0d346de4920f75	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
75cac7ae6fbcbb7817a14f6772f94924	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
7876a5906e5be58d068237cd0b6ebb3c	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
7cf66862181370e6c0395226dd21edc4	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
8e64eda72e5211d573d405b335679494	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
954122fe2924f58e605e25177bef89ea	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
96dccb53652b1339d3b3642a5876d8f1	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
97e37a6b294e3cdb4a9977bb653171d6	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
aaeaf48251cb111740428f41dd173118	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
ac05239d928345234c6539b3a6fd96e3	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
adb802d4ddc711e8b083e72e05afc772	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
b0739a7403f8d272bd84c838e0b14ddd	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
