OTUID	Core	0-5cm	5-15cm	OM
10f0461cb8a244c14aa2fb73e127e9e5	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
277297d556cd1abee7d9101d84af6dc5	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
2d51eee954d47bb2f71665bd2691bb94	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
32935146e1792f6b87dee4909e73bca0	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
43e7568ca9f141c79b1104cc520c679f	0-5cm	TRUE	FALSE	FALSE
4ed28f7be92e2e11a3e33683e302ccd4	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
54e920999a65a173d3fc598d9df4097f	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
595c8b8e312c12524cc06f2b7fda2a76	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
5b2529faa44a3679b887ecd91b6b4149	0-5cm	TRUE	FALSE	FALSE
604636abb30a5675c8c38a5f2e2e418b	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
6472eb8b1e09f892aca2f23182962903	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
76477de50a487448b95d148a9d8f2526	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
78071b43244e5ebd909b446a937d7c77	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
79fabc1f8c9b43991bd218020dc7f5a1	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
7c2811bbf4c76ca806ce4178a5ecb7fe	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
7dd6bcd8968a583ae728f34c989d076c	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
7ef6a6f0dfd650a93138c85eebf1b5c0	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
7ff346973a282aa55de296afdb5d74af	0-5cm	TRUE	FALSE	FALSE
95e7e390c3cdb823bd6aef8cae5786d1	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
a08ee4a8aa1ece798d78fae2b9ad0401	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
a7a0cb45da7d79ebd27889aa968d022f	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
b0546a8c6a38415c52d2dc916319d3fd	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
bdfb970b8e1ecedffb9c0d90755ffa0d	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
c1a919c0a7f5072418d76d102ba6f037	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
c60262a210173d6a6605e298797827d3	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
c722a811911383bb2413ad9234fbd57f	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
e8accbbab64dba2fe98edb7072796cc5	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
e956a425d4d403102f6db6b28ea61d7f	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
f8b8173289056f3442317b4669562a60	0-5cm	TRUE	FALSE	FALSE
0a403db41b0def2fadaeb309717f3ef7	5-15cm	FALSE	TRUE	FALSE
75cac7ae6fbcbb7817a14f6772f94924	5-15cm	FALSE	TRUE	FALSE
a3fe6144bb655c43f48abfa8bc92709d	5-15cm	FALSE	TRUE	FALSE
d829bee4984f82ffc2453212157caf96	5-15cm	FALSE	TRUE	FALSE
1caee876a0fe52a8ddcc6ef01c8b98a6	5-15cm	FALSE	TRUE	FALSE
2141c7953f25a1c4be8b0a47a28a157f	5-15cm	FALSE	TRUE	FALSE
29115e7bd8ef43044853d0193cf6f622	5-15cm	FALSE	TRUE	FALSE
c4c912015c73eb144c85dbe8719b0587	5-15cm	FALSE	TRUE	FALSE
63c3d3620714a70c191f7fae705d524b	5-15cm	FALSE	TRUE	FALSE
a9164d01308501b576afa06256a15b0f	5-15cm	FALSE	TRUE	FALSE
ac05239d928345234c6539b3a6fd96e3	5-15cm	FALSE	TRUE	FALSE
ba8955d59a40e8ec83577e692ffa7d92	5-15cm	FALSE	TRUE	FALSE
c39e15de7f8295ecfed0969cd53b2126	5-15cm	FALSE	TRUE	FALSE
