OTUID	Core	0-5cm	5-15cm	OM
00d0b30327c0d4cedc8738974f330269	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
0484d6f9283e7460c3d7f294a0c4b744	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
0a403db41b0def2fadaeb309717f3ef7	0-5cm	TRUE	FALSE	FALSE
10f0461cb8a244c14aa2fb73e127e9e5	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
151f25319c8715bb49632a77fb021ad5	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
1bcc1a211d6c3272f7f3ac10a3620bae	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
2d51eee954d47bb2f71665bd2691bb94	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
2d66d59115e5f8c6d716f72f4fc26f23	"0-5cm, OM"	TRUE	FALSE	TRUE
35bcf0206288fb49b7b43480dbb5afcc	0-5cm	TRUE	FALSE	FALSE
379cf90be2267e66454a1d773f88487c	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
4ed28f7be92e2e11a3e33683e302ccd4	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
51134a7e94eaa43b755fcefbcae08912	"0-5cm, OM"	TRUE	FALSE	TRUE
54e920999a65a173d3fc598d9df4097f	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
55beb6d681cbc18642035e17ef775689	"0-5cm, OM"	TRUE	FALSE	TRUE
57c4f3ede08667957471c9e2025b31ae	0-5cm	TRUE	FALSE	FALSE
595c8b8e312c12524cc06f2b7fda2a76	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
5c3adc0e3d4a9ed3b695654b4fee0acd	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
6472eb8b1e09f892aca2f23182962903	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
66d2b628187f8fa3b00f5c3628cc161d	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
6a5199f36565fddcec40c197ffa97dfe	"0-5cm, OM"	TRUE	FALSE	TRUE
6b92eb6baa133060382597c30765828d	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
6c2b1cf663513c1df67144351ebe62ad	"0-5cm, OM"	TRUE	FALSE	TRUE
6eeb0b7534f0a4bcb0b26db35f3080d2	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
702af9e944edfd5a1a7f0dce0d566376	"0-5cm, OM"	TRUE	FALSE	TRUE
74a26e97b02fcab82b0d346de4920f75	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
75cac7ae6fbcbb7817a14f6772f94924	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
79bbade0818e9b1532f858c484cfe52e	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
7c5e43b67baf767b7e3dbfc961596180	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
87f80e1b75c17bba760e92b1f6969094	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
91671015efac0eae99cf65d4d993b7ea	0-5cm	TRUE	FALSE	FALSE
922ad5ade914e0bd651cfbbc7f076edb	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
96a9a5266277f26897a76cc1483437a2	"0-5cm, OM"	TRUE	FALSE	TRUE
9a18b3e5b4a12118afc37eda5ffc0464	0-5cm	TRUE	FALSE	FALSE
a9164d01308501b576afa06256a15b0f	0-5cm	TRUE	FALSE	FALSE
abae3771d5f40267f682b62f003a3d9b	"0-5cm, OM"	TRUE	FALSE	TRUE
ac05239d928345234c6539b3a6fd96e3	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
ae4d03292a351ceb72569100d25a291c	0-5cm	TRUE	FALSE	FALSE
affb9e5b3625cbfcbe612ea5d4558b9c	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
bc5be9baa6cd6225c9387c43c8c294b6	0-5cm	TRUE	FALSE	FALSE
c42d4cca470e8f087f5c34f87343909e	"0-5cm, OM"	TRUE	FALSE	TRUE
c4c912015c73eb144c85dbe8719b0587	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
c6f96c0b79d9a6b82fb53a5518bce977	0-5cm	TRUE	FALSE	FALSE
c7c02c07fb28c8730768bb76cafad3fe	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
ca24cf1f0863dd16eb8dcee545c92d1e	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
ca373a4791ebf956b0016d1241bcfc6a	0-5cm	TRUE	FALSE	FALSE
d3908bba9d5a881e43f33ddab0213e6f	0-5cm	TRUE	FALSE	FALSE
d8bdbb4d88ad5b3fe2106357539a53db	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
e84205357a065acdfc52b51f9b454efe	0-5cm	TRUE	FALSE	FALSE
e8accbbab64dba2fe98edb7072796cc5	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
ea50ab99242e77fd8d897c2c43449f84	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
ecec680dfa8263d43890af65e2a608cb	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
fa67e0725395e99d85af04956443c07d	0-5cm	TRUE	FALSE	FALSE
151f25319c8715bb49632a77fb021ad5	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
2d51eee954d47bb2f71665bd2691bb94	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
6472eb8b1e09f892aca2f23182962903	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
75cac7ae6fbcbb7817a14f6772f94924	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
7876a5906e5be58d068237cd0b6ebb3c	5-15cm	FALSE	TRUE	FALSE
ac05239d928345234c6539b3a6fd96e3	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
c7c02c07fb28c8730768bb76cafad3fe	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
10f0461cb8a244c14aa2fb73e127e9e5	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
4ed28f7be92e2e11a3e33683e302ccd4	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
595c8b8e312c12524cc06f2b7fda2a76	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
87f80e1b75c17bba760e92b1f6969094	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
b0546a8c6a38415c52d2dc916319d3fd	5-15cm	FALSE	TRUE	FALSE
ca24cf1f0863dd16eb8dcee545c92d1e	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
00d0b30327c0d4cedc8738974f330269	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
0484d6f9283e7460c3d7f294a0c4b744	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
1bcc1a211d6c3272f7f3ac10a3620bae	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
54e920999a65a173d3fc598d9df4097f	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
6b92eb6baa133060382597c30765828d	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
95e7e390c3cdb823bd6aef8cae5786d1	5-15cm	FALSE	TRUE	FALSE
a7a0cb45da7d79ebd27889aa968d022f	5-15cm	FALSE	TRUE	FALSE
affb9e5b3625cbfcbe612ea5d4558b9c	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
d8bdbb4d88ad5b3fe2106357539a53db	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
f1b7e75aee8da759aa0156b596572d9d	5-15cm	FALSE	TRUE	FALSE
379cf90be2267e66454a1d773f88487c	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
587028418f52f49c7d579b98a996d95a	5-15cm	FALSE	TRUE	FALSE
5c3adc0e3d4a9ed3b695654b4fee0acd	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
74a26e97b02fcab82b0d346de4920f75	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
7c5e43b67baf767b7e3dbfc961596180	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
aaeaf48251cb111740428f41dd173118	5-15cm	FALSE	TRUE	FALSE
bace98f852162dd988162d240c66582d	5-15cm	FALSE	TRUE	FALSE
c4c912015c73eb144c85dbe8719b0587	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
d3843642fb3c77ed98e31a35fa918c92	5-15cm	FALSE	TRUE	FALSE
e8accbbab64dba2fe98edb7072796cc5	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
ea50ab99242e77fd8d897c2c43449f84	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
ecec680dfa8263d43890af65e2a608cb	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
109ab78d9a4d2486b8e7e94b9080476c	5-15cm	FALSE	TRUE	FALSE
157a7c6518a3b3e70daf62add4531002	5-15cm	FALSE	TRUE	FALSE
197cac25851f42ea0811ba6eb3a4d044	5-15cm	FALSE	TRUE	FALSE
6eeb0b7534f0a4bcb0b26db35f3080d2	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
7cf66862181370e6c0395226dd21edc4	5-15cm	FALSE	TRUE	FALSE
856c2f52e9359dd3b4ee1dbe2819ccf6	5-15cm	FALSE	TRUE	FALSE
922ad5ade914e0bd651cfbbc7f076edb	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
95da071fb3cd4567b09e95ef22b77859	5-15cm	FALSE	TRUE	FALSE
d526d1a358c5c6c3cf900ce27ae9cca7	5-15cm	FALSE	TRUE	FALSE
d829bee4984f82ffc2453212157caf96	5-15cm	FALSE	TRUE	FALSE
284c506d6a39ac0fd6464da973bcd0c0	5-15cm	FALSE	TRUE	FALSE
29abf79937c29f1d4d7d5739225d3b22	5-15cm	FALSE	TRUE	FALSE
3b2cd93d269ccb3d848124cbe197a98c	5-15cm	FALSE	TRUE	FALSE
66d2b628187f8fa3b00f5c3628cc161d	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
79bbade0818e9b1532f858c484cfe52e	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
8e64eda72e5211d573d405b335679494	5-15cm	FALSE	TRUE	FALSE
a7572501f9d1c90ceeabd1d99e46abf9	5-15cm	FALSE	TRUE	FALSE
af22a0e9f3d0e33040333069b41755ce	5-15cm	FALSE	TRUE	FALSE
c60262a210173d6a6605e298797827d3	5-15cm	FALSE	TRUE	FALSE
ff455197e5f668acf0c4aaee9bd0812f	5-15cm	FALSE	TRUE	FALSE
10f0461cb8a244c14aa2fb73e127e9e5	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
2d66d59115e5f8c6d716f72f4fc26f23	"0-5cm, OM"	TRUE	FALSE	TRUE
6472eb8b1e09f892aca2f23182962903	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
615bd33c02924e045567c5a2f2e6c5f0	OM	FALSE	FALSE	TRUE
66d2b628187f8fa3b00f5c3628cc161d	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
702af9e944edfd5a1a7f0dce0d566376	"0-5cm, OM"	TRUE	FALSE	TRUE
a27686fef323630b42fc66660ad909bf	OM	FALSE	FALSE	TRUE
c7c02c07fb28c8730768bb76cafad3fe	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
ca24cf1f0863dd16eb8dcee545c92d1e	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
