OTUID		Site	Core	0-5cm	5-15cm	OM
a3fe6144bb655c43f48abfa8bc92709d	d__Archaea;  p__Crenarchaeota;  c__Nitrososphaeria;  o__Nitrososphaerales;  f__Nitrososphaeraceae;  g__Nitrososphaeraceae; 	SJ	5-15cm	FALSE	TRUE	FALSE
b4bbddd577476c16df3815f40c843d94	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Acidobacteriales;  f__Acidobacteriaceae_(Subgroup_1);  g__Acidicapsa;  s__Acidicapsa_sp.	SF	0-5cm	TRUE	FALSE	FALSE
0484d6f9283e7460c3d7f294a0c4b744	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Acidobacteriales;  f__Acidobacteriaceae_(Subgroup_1);  g__Acidipila; 	SF	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
2390ad7fc738b23f4be2e6ec469042d6	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Acidobacteriales;  f__Acidobacteriaceae_(Subgroup_1);  g__Acidipila; 	SF	"0-5cm, OM"	TRUE	FALSE	TRUE
0484d6f9283e7460c3d7f294a0c4b744	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Acidobacteriales;  f__Acidobacteriaceae_(Subgroup_1);  g__Acidipila; 	TP	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
e0cf29f81749119eb9f4647ca8462f00	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Acidobacteriales;  f__Acidobacteriaceae_(Subgroup_1);  g__Bryocella;  s__uncultured_bacterium	TP	OM	FALSE	FALSE	TRUE
1bcc1a211d6c3272f7f3ac10a3620bae	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Acidobacteriales;  f__Acidobacteriaceae_(Subgroup_1);  g__Granulicella; 	SF	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
d8bdbb4d88ad5b3fe2106357539a53db	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Acidobacteriales;  f__Acidobacteriaceae_(Subgroup_1);  g__Granulicella; 	SF	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
3df4806b577dcca1c55cbad8e419a24c	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Acidobacteriales;  f__Acidobacteriaceae_(Subgroup_1);  g__Granulicella; 	SF	OM	FALSE	FALSE	TRUE
1bcc1a211d6c3272f7f3ac10a3620bae	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Acidobacteriales;  f__Acidobacteriaceae_(Subgroup_1);  g__Granulicella; 	TP	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
d8bdbb4d88ad5b3fe2106357539a53db	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Acidobacteriales;  f__Acidobacteriaceae_(Subgroup_1);  g__Granulicella; 	TP	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
3df4806b577dcca1c55cbad8e419a24c	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Acidobacteriales;  f__Acidobacteriaceae_(Subgroup_1);  g__Granulicella; 	TP	OM	FALSE	FALSE	TRUE
20e3fc9ceaacf533bb48079d79ebac6f	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Acidobacteriales;  f__Acidobacteriaceae_(Subgroup_1);  g__Occallatibacter; 	SF	0-5cm	TRUE	FALSE	FALSE
97e37a6b294e3cdb4a9977bb653171d6	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Acidobacteriales;  f__uncultured;  g__uncultured; 	SF	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
76601b6d7476b7f4d0c4a0708505a15b	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Acidobacteriales;  f__uncultured;  g__uncultured; 	SF	5-15cm	FALSE	TRUE	FALSE
75cac7ae6fbcbb7817a14f6772f94924	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Bryobacterales;  f__Bryobacteraceae;  g__Bryobacter; 	SF	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
c722a811911383bb2413ad9234fbd57f	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Bryobacterales;  f__Bryobacteraceae;  g__Bryobacter; 	SJ	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
75cac7ae6fbcbb7817a14f6772f94924	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Bryobacterales;  f__Bryobacteraceae;  g__Bryobacter; 	SJ	5-15cm	FALSE	TRUE	FALSE
75cac7ae6fbcbb7817a14f6772f94924	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Bryobacterales;  f__Bryobacteraceae;  g__Bryobacter; 	TP	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
91671015efac0eae99cf65d4d993b7ea	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Bryobacterales;  f__Bryobacteraceae;  g__Bryobacter; 	TP	0-5cm	TRUE	FALSE	FALSE
ce66cfb2714ac46183591cd81238c363	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Bryobacterales;  f__Bryobacteraceae;  g__Bryobacter; 	TP	OM	FALSE	FALSE	TRUE
d2023994f487389892bc610a3ce896f0	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Bryobacterales;  f__Bryobacteraceae;  g__Bryobacter; 	TP	OM	FALSE	FALSE	TRUE
e07af1c8d6ba26edfdf4fd4a03637b22	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Bryobacterales;  f__Bryobacteraceae;  g__Bryobacter;  s__uncultured_bacterium	SF	0-5cm	TRUE	FALSE	FALSE
f1b7e75aee8da759aa0156b596572d9d	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Subgroup_2;  f__Subgroup_2;  g__Subgroup_2; 	SF	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
df46b6b835ccb5f1a7314aa4e15f0609	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Subgroup_2;  f__Subgroup_2;  g__Subgroup_2; 	SF	5-15cm	FALSE	TRUE	FALSE
f1b7e75aee8da759aa0156b596572d9d	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Subgroup_2;  f__Subgroup_2;  g__Subgroup_2; 	TP	5-15cm	FALSE	TRUE	FALSE
7cf66862181370e6c0395226dd21edc4	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Subgroup_2;  f__Subgroup_2;  g__Subgroup_2;  s__uncultured_Acidobacteria	SF	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
d526d1a358c5c6c3cf900ce27ae9cca7	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Subgroup_2;  f__Subgroup_2;  g__Subgroup_2;  s__uncultured_Acidobacteria	SF	5-15cm	FALSE	TRUE	FALSE
7cf66862181370e6c0395226dd21edc4	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Subgroup_2;  f__Subgroup_2;  g__Subgroup_2;  s__uncultured_Acidobacteria	TP	5-15cm	FALSE	TRUE	FALSE
d526d1a358c5c6c3cf900ce27ae9cca7	d__Bacteria;  p__Acidobacteriota;  c__Acidobacteriae;  o__Subgroup_2;  f__Subgroup_2;  g__Subgroup_2;  s__uncultured_Acidobacteria	TP	5-15cm	FALSE	TRUE	FALSE
c4c912015c73eb144c85dbe8719b0587	d__Bacteria;  p__Acidobacteriota;  c__Blastocatellia; ; ; ; 	SJ	5-15cm	FALSE	TRUE	FALSE
c4c912015c73eb144c85dbe8719b0587	d__Bacteria;  p__Acidobacteriota;  c__Blastocatellia; ; ; ; 	TP	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
a08ee4a8aa1ece798d78fae2b9ad0401	d__Bacteria;  p__Acidobacteriota;  c__Blastocatellia;  o__11-24;  f__11-24;  g__11-24;  s__uncultured_Acidobacteria	SJ	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
54e920999a65a173d3fc598d9df4097f	d__Bacteria;  p__Acidobacteriota;  c__Blastocatellia;  o__Pyrinomonadales;  f__Pyrinomonadaceae;  g__RB41; 	SJ	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
a7a0cb45da7d79ebd27889aa968d022f	d__Bacteria;  p__Acidobacteriota;  c__Blastocatellia;  o__Pyrinomonadales;  f__Pyrinomonadaceae;  g__RB41; 	SJ	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
bdfb970b8e1ecedffb9c0d90755ffa0d	d__Bacteria;  p__Acidobacteriota;  c__Blastocatellia;  o__Pyrinomonadales;  f__Pyrinomonadaceae;  g__RB41; 	SJ	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
54e920999a65a173d3fc598d9df4097f	d__Bacteria;  p__Acidobacteriota;  c__Blastocatellia;  o__Pyrinomonadales;  f__Pyrinomonadaceae;  g__RB41; 	TP	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
a7a0cb45da7d79ebd27889aa968d022f	d__Bacteria;  p__Acidobacteriota;  c__Blastocatellia;  o__Pyrinomonadales;  f__Pyrinomonadaceae;  g__RB41; 	TP	5-15cm	FALSE	TRUE	FALSE
10f0461cb8a244c14aa2fb73e127e9e5	d__Bacteria;  p__Acidobacteriota;  c__Vicinamibacteria;  o__Vicinamibacterales;  f__uncultured;  g__uncultured; 	SF	OM	FALSE	FALSE	TRUE
10f0461cb8a244c14aa2fb73e127e9e5	d__Bacteria;  p__Acidobacteriota;  c__Vicinamibacteria;  o__Vicinamibacterales;  f__uncultured;  g__uncultured; 	SJ	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
277297d556cd1abee7d9101d84af6dc5	d__Bacteria;  p__Acidobacteriota;  c__Vicinamibacteria;  o__Vicinamibacterales;  f__uncultured;  g__uncultured; 	SJ	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
10f0461cb8a244c14aa2fb73e127e9e5	d__Bacteria;  p__Acidobacteriota;  c__Vicinamibacteria;  o__Vicinamibacterales;  f__uncultured;  g__uncultured; 	TP	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
57c4f3ede08667957471c9e2025b31ae	d__Bacteria;  p__Acidobacteriota;  c__Vicinamibacteria;  o__Vicinamibacterales;  f__uncultured;  g__uncultured; 	TP	0-5cm	TRUE	FALSE	FALSE
e2700aefa86b128937c05f4f4dd45b71	d__Bacteria;  p__Acidobacteriota;  c__Vicinamibacteria;  o__Vicinamibacterales;  f__uncultured;  g__uncultured;  s__uncultured_Acidobacteria	SF	5-15cm	FALSE	TRUE	FALSE
1caee876a0fe52a8ddcc6ef01c8b98a6	d__Bacteria;  p__Acidobacteriota;  c__Vicinamibacteria;  o__Vicinamibacterales;  f__uncultured;  g__uncultured;  s__uncultured_Acidobacteria	SJ	5-15cm	FALSE	TRUE	FALSE
d62f237df97b59f411ae8f4712e319c5	d__Bacteria;  p__Acidobacteriota;  c__Vicinamibacteria;  o__Vicinamibacterales;  f__uncultured;  g__uncultured;  s__uncultured_bacterium	SF	OM	FALSE	FALSE	TRUE
2141c7953f25a1c4be8b0a47a28a157f	d__Bacteria;  p__Acidobacteriota;  c__Vicinamibacteria;  o__Vicinamibacterales;  f__uncultured;  g__uncultured;  s__uncultured_bacterium	SJ	5-15cm	FALSE	TRUE	FALSE
eef38670da90426695b8e414b17b59ab	d__Bacteria;  p__Acidobacteriota;  c__Vicinamibacteria;  o__Vicinamibacterales;  f__uncultured;  g__uncultured;  s__uncultured_bacterium	TP	OM	FALSE	FALSE	TRUE
d62f237df97b59f411ae8f4712e319c5	d__Bacteria;  p__Acidobacteriota;  c__Vicinamibacteria;  o__Vicinamibacterales;  f__uncultured;  g__uncultured;  s__uncultured_bacterium	TP	OM	FALSE	FALSE	TRUE
74a26e97b02fcab82b0d346de4920f75	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Mycobacteriaceae;  g__Mycobacterium; 	SF	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
ea50ab99242e77fd8d897c2c43449f84	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Mycobacteriaceae;  g__Mycobacterium; 	SF	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
ad8664f21c744d16b06f829014b5511c	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Mycobacteriaceae;  g__Mycobacterium; 	SF	OM	FALSE	FALSE	TRUE
29115e7bd8ef43044853d0193cf6f622	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Mycobacteriaceae;  g__Mycobacterium; 	SJ	5-15cm	FALSE	TRUE	FALSE
74a26e97b02fcab82b0d346de4920f75	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Mycobacteriaceae;  g__Mycobacterium; 	TP	"0-5cm, 5-15cm"	TRUE	TRUE	FALSE
ea50ab99242e77fd8d897c2c43449f84	d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Mycobacteriaceae;  g__Mycobacterium; 	TP	"0-5cm, 5-15cm, OM"	TRUE	TRUE	TRUE
