ASV	Class	Core	Relative_Abundance	Ash	Charred_Org_C	Mineral	Control_Mineral
7ff346973a282aa55de296afdb5d74af	Actinobacteria	Ash & Organic; Unburned Mineral	0.012724816	14.83138527	67.26133885	13.80236005	4.104915832
c06ccd1f7d57566ef669942328b1a946	Gammaproteobacteria	None	0.000377169	100	0	0	0
383022301c9f07ee2064cc6584970ad7	Gammaproteobacteria	None	0.002122107	0	20.62374245	79.37625755	0
9ce1ae16e380c2ad1e540c208ad5db19	Gammaproteobacteria	None	0.003844273	4.054054054	39.8741207	56.07182525	0
ad9018f80e00f2ca4b48067195ac310d	Alphaproteobacteria	None	0.000683885	36.83662851	27.99167534	35.17169615	0
5395cf9d11c88c5a47b933b199fb99bb	Bacteroidia	None	0.003442197	0	70.78767831	29.21232169	0
54e920999a65a173d3fc598d9df4097f	Blastocatellia	Unburned Mineral	0.002021766	0	0	0	100
4608fae4bbc9964cdd17af8782f2155e	Gammaproteobacteria	"Ash, Organic, & Mineral"	0.011948418	4.449076831	24.17510423	68.37403216	3.001786778
c7c02c07fb28c8730768bb76cafad3fe	Gammaproteobacteria	None	0.004714608	0	21.85660377	64.8754717	13.26792453
e20fe16bdee3e67cf3113697a667b6d3	Gammaproteobacteria	None	0.004390812	2.252836305	76.14262561	20.42139384	1.183144246
26915c3209ae35ef27dd02617e8d7d91	Alphaproteobacteria	None	0.000126672	76.96629213	23.03370787	0	0
5648dccee530d68ceb3e4d7d22cf8756	Gammaproteobacteria	None	0.00025192	33.05084746	29.37853107	37.57062147	0
40fa96a2f7fc7b939f5eb0d52d7e5b3c	Gammaproteobacteria	Unburned Mineral	0.000841869	0	0	31.4454776	68.5545224
03ce0310361d4a4814deac6ad896b80c	Bacilli	None	0.000284656	0	0	100	0
79c9c8c3409ad7a6f65aeb24be6e9f1b	Bacilli	None	6.55E-05	0	0	100	0
844e001386e125222cb1a32542d0f0ab	Bacteroidia	None	7.83E-06	0	100	0	0
0899d0429c7e9b92459976a8392fddcd	Verrucomicrobiae	None	4.55E-05	100	0	0	0
2da39b6a5011919c7a8e3d7e6c8b72c0	Acidimicrobiia	None	2.85E-06	0	0	0	100
debd7defdfe7e9f80ca988157c23c8df	Bacteroidia	None	0.000212068	0	20.46979866	65.77181208	13.75838926
a2f92542f639dfa7a6ae7266dcc5c16e	Bacteroidia	None	0.000162965	0	18.77729258	65.50218341	15.72052402
1975f0f2b6531e29f1c84e99f1b51ef8	Actinobacteria	None	4.41E-05	0	0	0	100
f08ccf545d92c6c50e4576aa7f303ec0	Verrucomicrobiae	None	0.000489608	0	0	77.3255814	22.6744186
160f663433bbce177b0e3136aa41fed0	Alphaproteobacteria	None	1.42E-05	0	100	0	0
702af9e944edfd5a1a7f0dce0d566376	Actinobacteria	Organic & Mineral 	0.002813109	2.453832532	48.31773337	47.02757399	2.200860106
54a6cc9aed6e4158a56b9f26e51fd2a9	Planctomycetes	None	1.07E-05	0	0	0	100
cd64747f6f71765c93f4f4bcbd915175	Bacteroidia	None	4.98E-06	0	0	0	100
e58cd223360cdd8465e993c4e7663e0d	Bacteroidia	None	1.07E-05	0	0	100	0
45868d80438908937f6117e0a5470bbb	Bacteroidia	None	4.27E-06	0	100	0	0
8c38b141cf78754dcdcb61cd82e7f7e6	Bacilli	None	0.000646168	0	19.38325991	80.61674009	0
7306b473490c4d6fad24c02f325b2c4b	Alphaproteobacteria	None	1.71E-05	0	0	100	0
9aafadb54e3c68d4637f959b03daabaf	Bacteroidia	None	2.13E-05	0	0	33.33333333	66.66666667
dcece32e6721f47a5d0849ec92f722a4	Actinobacteria	Ash	0.003259306	83.71179039	15.32751092	0.96069869	0
ebd19d643ea9dbba2279654357a09bb7	Gammaproteobacteria	None	1.64E-05	0	100	0	0
3f2139aaaf665e565b7a3ea88771ebb7	Bacteroidia	None	8.54E-06	0	0	100	0
acb20ea25687a91c300143190b381f91	Bacteroidia	None	2.28E-05	0	0	81.25	18.75
1ae76587d5490a489cf3ee10540ddf05	Bacteroidia	None	9.25E-06	0	0	0	100
91a8688920039c0a5bd611dbe7b55982	Verrucomicrobiae	None	1.21E-05	0	0	0	100
4a820ffdcb16c12bafd9b21bbc0513fa	Verrucomicrobiae	None	3.84E-05	0	0	0	100
c7abb886b61fc60189be268f6a33b1e4	Alphaproteobacteria	None	8.54E-06	0	0	100	0
40fe1d46fd880457e79f55916db36cdb	Actinobacteria	None	4.55E-05	0	100	0	0
7653fb811b16903b19c9440ce6d2edc5	Bacteroidia	None	3.56E-06	0	0	100	0
