ASV	Core	Ash	Charred Org C	Mineral	Unburned Mineral
7ff346973a282aa55de296afdb5d74af	Ash & Charred Org C; Unburned Mineral	TRUE	TRUE	FALSE	TRUE
54e920999a65a173d3fc598d9df4097f	Unburned Mineral	FALSE	FALSE	FALSE	TRUE
4608fae4bbc9964cdd17af8782f2155e	"Ash, Charred Org C, & Mineral"	TRUE	TRUE	TRUE	FALSE
40fa96a2f7fc7b939f5eb0d52d7e5b3c	Unburned Mineral	FALSE	FALSE	FALSE	TRUE
702af9e944edfd5a1a7f0dce0d566376	Charred Org C & Mineral 	FALSE	TRUE	TRUE	FALSE
dcece32e6721f47a5d0849ec92f722a4	Ash	TRUE	FALSE	FALSE	FALSE
3a8e743233ccdbf46e5f9bbfbc69f411	Ash	TRUE	FALSE	FALSE	FALSE
81bc354d69ee2b6be47ccd9077908d98	Charred Org C	FALSE	TRUE	FALSE	FALSE
ad72127c01dac114c005c83404612b5d	Ash	TRUE	FALSE	FALSE	FALSE
afaab28f537a72577d22fb00949df1f6	Ash	TRUE	FALSE	FALSE	FALSE
4c87523f07695269d1e32dc3c5acbdd5	Unburned Mineral	FALSE	FALSE	FALSE	TRUE
f96d4b30b4f420d51a499d66be63634f	Charred Org C	FALSE	TRUE	FALSE	FALSE
61b102e2eb5251c78e6a89fe547f4444	Ash	TRUE	FALSE	FALSE	FALSE
f969cc698abaea143a020339bd041f36	Unburned Mineral	FALSE	FALSE	FALSE	TRUE
028d299b274c8d15acffecaf6f2e64ae	Ash	TRUE	FALSE	FALSE	FALSE
08bdc6c81f6b9daab3d132b54e1d45bc	Charred Org C	FALSE	TRUE	FALSE	FALSE
6472eb8b1e09f892aca2f23182962903	Unburned Mineral	FALSE	FALSE	FALSE	TRUE
bfb6f185952417fb89eeb704513ad226	Charred Org C & Mineral	FALSE	TRUE	TRUE	FALSE
691030e2d6a922bcfaa876be65c5f445	Unburned Mineral	FALSE	FALSE	FALSE	TRUE
227253fef87fe5013141954fceea878d	Ash & Charred Org C	TRUE	TRUE	FALSE	FALSE
595c8b8e312c12524cc06f2b7fda2a76	Unburned Mineral	FALSE	FALSE	FALSE	TRUE
b7ac0bc559a12538548ef7ce2f485586	Unburned Mineral	FALSE	FALSE	FALSE	TRUE
9645c17cf758f7c814dc8423aeffb992	Ash	TRUE	FALSE	FALSE	FALSE
