feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Acidobacteriales...f__Acidobacteriaceae_.Subgroup_1....g__Acidipila...2	Site	SJ	-3.861625128	0.28202023	74	30	9.90E-22	1.16E-18
d__Bacteria...p__Proteobacteria...c__Gammaproteobacteria...o__WD260...f__WD260...g__WD260...s__uncultured_bacterium.1	Site	SJ	-3.218419438	0.289115882	74	28	2.61E-17	1.53E-14
d__Bacteria...p__Planctomycetota...c__Planctomycetes...o__Isosphaerales...f__Isosphaeraceae...g__Aquisphaera..	Site	SJ	-3.916259463	0.386175715	74	29	1.63E-15	6.36E-13
d__Bacteria...p__WPS.2...c__WPS.2...o__WPS.2...f__WPS.2...g__WPS.2...s__uncultured_bacterium.2	Site	SJ	-3.900586673	0.441128821	74	26	4.11E-13	1.20E-10
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Acidobacteriales...f__Acidobacteriaceae_.Subgroup_1....g__Acidipila..	Site	SJ	-3.225699199	0.369041613	74	38	6.35E-13	1.40E-10
d__Bacteria...p__Planctomycetota...c__Phycisphaerae...o__Tepidisphaerales...f__CPla.3_termite_group...g__CPla.3_termite_group..	Site	SJ	-2.228294889	0.255734297	74	33	7.14E-13	1.40E-10
d__Bacteria...p__Actinobacteriota...c__Actinobacteria...o__Corynebacteriales...f__Mycobacteriaceae...g__Mycobacterium...6	Site	SJ	-4.227433119	0.48719269	74	40	8.35E-13	1.40E-10
d__Bacteria...p__Proteobacteria...c__Gammaproteobacteria...o__WD260...f__WD260...g__WD260...s__uncultured_bacterium.4	Site	SJ	-3.387669162	0.397376019	74	42	1.60E-12	2.35E-10
d__Bacteria...p__Proteobacteria...c__Gammaproteobacteria...o__WD260...f__WD260...g__WD260...s__uncultured_bacterium	Site	SJ	-2.930422164	0.352757041	74	32	4.09E-12	5.33E-10
d__Bacteria...p__Actinobacteriota...c__Actinobacteria...o__Frankiales...f__Acidothermaceae...g__Acidothermus...s__uncultured_actinobacterium	Site	SJ	-1.901599886	0.234510631	74	20	9.61E-12	1.13E-09
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Acidobacteriales...f__Acidobacteriaceae_.Subgroup_1....g__Acidipila...s__uncultured_bacterium.2	Site	SJ	-1.90598255	0.25087654	74	20	8.64E-11	9.20E-09
d__Bacteria...p__Proteobacteria...c__Alphaproteobacteria...o__Rhizobiales...f__Beijerinckiaceae...g__Roseiarcus...s__uncultured_bacterium.2	Site	SJ	-1.103717055	0.148263622	74	15	1.66E-10	1.62E-08
d__Bacteria...p__Planctomycetota...c__Planctomycetes...o__Isosphaerales...f__Isosphaeraceae....	Site	SJ	-1.612688341	0.220455205	74	22	2.89E-10	2.45E-08
d__Bacteria...p__Proteobacteria...c__Gammaproteobacteria...o__Xanthomonadales...f__Rhodanobacteraceae...g__Rhodanobacter...s__Rhodanobacter_sp..1	Site	SJ	-1.687754205	0.230823231	74	16	2.93E-10	2.45E-08
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Acidobacteriales...f__Acidobacteriaceae_.Subgroup_1....g__Granulicella...4	Site	SJ	-2.712105144	0.376452644	74	42	4.63E-10	3.62E-08
d__Bacteria...p__Proteobacteria...c__Alphaproteobacteria...o__Acetobacterales...f__Acetobacteraceae...g__uncultured...7	Site	SJ	-2.089762427	0.293069322	74	46	6.34E-10	4.65E-08
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Solibacterales...f__Solibacteraceae...g__Candidatus_Solibacter...2	Site	SJ	-1.468326147	0.211153596	74	27	1.34E-09	8.55E-08
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Bryobacterales...f__Bryobacteraceae...g__Bryobacter...s__uncultured_bacterium.2	Site	SJ	-1.854407329	0.266646657	74	25	1.34E-09	8.55E-08
d__Bacteria...p__Verrucomicrobiota...c__Verrucomicrobiae...o__Chthoniobacterales...f__Chthoniobacteraceae...g__Chthoniobacter...s__uncultured_bacterium.15	Site	SJ	-1.759646549	0.253308312	74	18	1.39E-09	8.55E-08
d__Bacteria...p__Planctomycetota...c__Phycisphaerae...o__Tepidisphaerales...f__WD2101_soil_group...g__WD2101_soil_group...s__uncultured_bacterium.58	Site	SJ	-2.995696933	0.440823648	74	28	2.63E-09	1.54E-07
