feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria...p__Proteobacteria...c__Alphaproteobacteria...o__Acetobacterales...f__Acetobacteraceae...g__uncultured...s__uncultured_soil.1	Site	TP	2.104417574	0.164684719	166	78	2.16E-26	2.24E-23
d__Bacteria...p__Planctomycetota...c__Planctomycetes...o__Isosphaerales...f__Isosphaeraceae...g__Aquisphaera...1	Site	TP	-2.970708809	0.235070812	166	113	5.36E-26	2.78E-23
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Acidobacteriales...f__Acidobacteriaceae_.Subgroup_1....g__Acidipila...3	Site	TP	-2.701136039	0.224064132	166	82	2.28E-24	7.86E-22
d__Bacteria...p__Proteobacteria...c__Gammaproteobacteria...o__WD260...f__WD260...g__WD260...s__uncultured_bacterium.4	Site	TP	-2.732239967	0.229352762	166	121	5.70E-24	1.47E-21
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Acidobacteriales...f__uncultured...g__uncultured...4	Site	TP	-2.540888553	0.245854039	166	75	1.35E-19	2.80E-17
d__Bacteria...p__Verrucomicrobiota...c__Verrucomicrobiae...o__Methylacidiphilales...f__Methylacidiphilaceae...g__uncultured...s__uncultured_bacterium.1	Site	TP	-2.23494944	0.22226295	166	109	7.85E-19	1.07E-16
d__Bacteria...p__Verrucomicrobiota...c__Verrucomicrobiae...o__Chthoniobacterales...f__Chthoniobacteraceae...g__Candidatus_Udaeobacter...12	Site	TP	2.378369472	0.236519809	166	75	7.84E-19	1.07E-16
d__Bacteria...p__Bacteroidota...c__Bacteroidia...o__Chitinophagales...f__Chitinophagaceae...g__uncultured...1	Site	TP	2.442249349	0.243063022	166	84	8.24E-19	1.07E-16
d__Bacteria...p__Proteobacteria...c__Alphaproteobacteria...o__Rhizobiales...f__Beijerinckiaceae.....2	Site	TP	2.880309128	0.292713811	166	75	3.03E-18	3.48E-16
d__Bacteria...p__Proteobacteria...c__Gammaproteobacteria...o__WD260...f__WD260...g__WD260...s__uncultured_bacterium	Site	TP	-2.687430952	0.274116513	166	122	3.79E-18	3.93E-16
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Acidobacteriales...f__Acidobacteriaceae_.Subgroup_1....g__Granulicella...13	Site	TP	-1.816154481	0.185914596	166	72	4.72E-18	4.45E-16
d__Bacteria...p__Proteobacteria...c__Alphaproteobacteria...o__Sphingomonadales...f__Sphingomonadaceae...g__Sphingomonas...4	Site	TP	2.108807924	0.219694143	166	71	1.36E-17	1.17E-15
d__Bacteria...p__Verrucomicrobiota...c__Verrucomicrobiae...o__Chthoniobacterales...f__Xiphinematobacteraceae...g__Candidatus_Xiphinematobacter...s__uncultured_Verrucomicrobia	Site	TP	-2.554415879	0.273000911	166	70	6.09E-17	4.85E-15
d__Bacteria...p__Proteobacteria...c__Gammaproteobacteria...o__Burkholderiales...f__TRA3.20...g__TRA3.20...s__uncultured_beta	Site	TP	2.311773664	0.253377975	166	63	2.55E-16	1.88E-14
d__Bacteria...p__Acidobacteriota...c__Blastocatellia...o__Pyrinomonadales...f__Pyrinomonadaceae...g__RB41...18	Site	TP	2.80615893	0.308091715	166	54	2.80E-16	1.93E-14
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Subgroup_2...f__Subgroup_2...g__Subgroup_2...3	Site	TP	-2.062379076	0.227166954	166	54	3.36E-16	2.17E-14
d__Bacteria...p__Verrucomicrobiota...c__Verrucomicrobiae...o__Chthoniobacterales...f__Chthoniobacteraceae...g__Candidatus_Udaeobacter...19	Site	TP	2.341748133	0.260901719	166	64	6.30E-16	3.83E-14
d__Bacteria...p__Actinobacteriota...c__Actinobacteria...o__Micrococcales...f__Intrasporangiaceae...g__Oryzihumus...s__uncultured_bacterium	Site	TP	2.423787853	0.270593085	166	55	7.04E-16	4.05E-14
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Acidobacteriales...f__Acidobacteriaceae_.Subgroup_1....g__Acidipila...s__uncultured_bacterium.4	Site	TP	-2.352832362	0.26413797	166	53	9.53E-16	5.19E-14
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Bryobacterales...f__Bryobacteraceae...g__Bryobacter...3	Site	TP	1.653730623	0.186877639	166	58	1.36E-15	7.02E-14
d__Bacteria...p__Bacteroidota...c__Bacteroidia...o__Chitinophagales...f__Chitinophagaceae...g__Puia...s__metagenome.2	Site	TP	-1.621922888	0.183797848	166	98	1.58E-15	7.77E-14
d__Bacteria...p__Verrucomicrobiota...c__Verrucomicrobiae...o__Chthoniobacterales...f__Chthoniobacteraceae...g__Candidatus_Udaeobacter...38	Site	TP	2.150611287	0.244366646	166	73	1.82E-15	8.57E-14
d__Bacteria...p__Actinobacteriota...c__Actinobacteria...o__Pseudonocardiales...f__Pseudonocardiaceae...g__Crossiella..	Site	TP	3.29503167	0.37650602	166	80	2.45E-15	1.10E-13
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Acidobacteriales...f__Acidobacteriaceae_.Subgroup_1....g__Acidicapsa...s__Acidicapsa_sp.	Site	TP	-2.072674081	0.238906945	166	75	3.88E-15	1.67E-13
d__Bacteria...p__Verrucomicrobiota...c__Verrucomicrobiae...o__Chthoniobacterales...f__Chthoniobacteraceae...g__Candidatus_Udaeobacter...24	Site	TP	-1.823387995	0.210571888	166	92	4.28E-15	1.77E-13
d__Bacteria...p__Verrucomicrobiota...c__Verrucomicrobiae...o__Methylacidiphilales...f__Methylacidiphilaceae...g__uncultured...1	Site	TP	-1.540794084	0.178753341	166	66	5.43E-15	2.16E-13
d__Bacteria...p__Chloroflexi...c__AD3...o__AD3...f__AD3...g__AD3...s__uncultured_Chloroflexi.1	Site	TP	-2.136470316	0.248327239	166	59	5.98E-15	2.29E-13
d__Bacteria...p__Proteobacteria...c__Gammaproteobacteria...o__WD260...f__WD260...g__WD260...s__uncultured_bacterium.1	Site	TP	-1.597608282	0.186670786	166	131	7.84E-15	2.90E-13
d__Bacteria...p__Actinobacteriota...c__Actinobacteria...o__Frankiales...f__Acidothermaceae...g__Acidothermus...s__uncultured_actinobacterium.2	Site	TP	-1.682303044	0.196900324	166	46	8.55E-15	3.05E-13
d__Bacteria...p__Actinobacteriota...c__Thermoleophilia...o__Solirubrobacterales...f__67.14...g__67.14...s__uncultured_actinobacterium	Site	TP	1.537275955	0.18096149	166	54	1.15E-14	3.95E-13
d__Bacteria...p__Actinobacteriota...c__Actinobacteria...o__Frankiales...f__Frankiaceae...g__Jatrophihabitans...3	Site	TP	1.9580554	0.233346068	166	86	2.13E-14	7.10E-13
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Acidobacteriales...f__Acidobacteriaceae_.Subgroup_1....g__Acidipila...2	Site	TP	-1.376059698	0.164288269	166	41	2.33E-14	7.54E-13
d__Bacteria...p__WPS.2...c__WPS.2...o__WPS.2...f__WPS.2...g__WPS.2...s__uncultured_bacterium.3	Site	TP	-2.084106983	0.255292728	166	90	8.19E-14	2.57E-12
d__Bacteria...p__Verrucomicrobiota...c__Verrucomicrobiae...o__Chthoniobacterales...f__Chthoniobacteraceae...g__Chthoniobacter...s__uncultured_bacterium.9	Site	TP	-1.76781576	0.217697468	166	43	1.05E-13	3.21E-12
d__Bacteria...p__Acidobacteriota...c__Blastocatellia...o__Pyrinomonadales...f__Pyrinomonadaceae...g__RB41...17	Site	TP	2.151134744	0.26917646	166	55	2.25E-13	6.64E-12
d__Bacteria...p__Planctomycetota...c__Phycisphaerae...o__Tepidisphaerales...f__WD2101_soil_group...g__WD2101_soil_group...s__uncultured_bacterium.41	Site	TP	1.999151818	0.254674882	166	71	5.12E-13	1.47E-11
d__Bacteria...p__Actinobacteriota...c__Actinobacteria...o__Corynebacteriales...f__Mycobacteriaceae...g__Mycobacterium...2	Site	TP	1.154295311	0.149053355	166	43	9.43E-13	2.64E-11
d__Bacteria...p__RCP2.54...c__RCP2.54...o__RCP2.54...f__RCP2.54...g__RCP2.54...s__uncultured_bacterium.2	Site	TP	-3.381061176	0.43987127	166	104	1.31E-12	3.49E-11
d__Bacteria...p__Verrucomicrobiota...c__Verrucomicrobiae...o__Chthoniobacterales...f__Chthoniobacteraceae...g__Chthoniobacter...s__bacterium_Ellin506.1	Site	TP	2.279983583	0.29648637	166	92	1.29E-12	3.49E-11
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Acidobacteriales...f__Acidobacteriaceae_.Subgroup_1.....	Site	TP	-1.684423051	0.22345284	166	46	3.07E-12	7.94E-11
d__Bacteria...p__Acidobacteriota...c__Vicinamibacteria...o__Vicinamibacterales...f__uncultured...g__uncultured...13	Site	TP	2.057434026	0.273833362	166	142	3.53E-12	8.91E-11
d__Bacteria...p__Planctomycetota...c__Phycisphaerae...o__Tepidisphaerales...f__WD2101_soil_group...g__WD2101_soil_group...16	Site	TP	-1.834755058	0.248537819	166	37	7.42E-12	1.83E-10
d__Bacteria...p__Acidobacteriota...c__Blastocatellia...o__Pyrinomonadales...f__Pyrinomonadaceae...g__RB41...14	Site	TP	2.665212064	0.367330416	166	98	1.51E-11	3.64E-10
d__Bacteria...p__Verrucomicrobiota...c__Verrucomicrobiae...o__Pedosphaerales...f__Pedosphaeraceae...g__uncultured...s__uncultured_bacterium	Site	TP	-2.36630473	0.331551583	166	55	2.92E-11	6.88E-10
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Solibacterales...f__Solibacteraceae...g__Candidatus_Solibacter...s__uncultured_forest.1	Site	TP	-1.384368899	0.195215217	166	52	3.76E-11	8.66E-10
d__Bacteria...p__Acidobacteriota...c__Acidobacteriae...o__Acidobacteriales...f__Acidobacteriaceae_.Subgroup_1....g__Acidipila..	Site	TP	-1.816458198	0.263197924	166	144	1.07E-10	2.40E-09
d__Bacteria...p__Verrucomicrobiota...c__Verrucomicrobiae...o__Chthoniobacterales...f__Chthoniobacteraceae...g__Candidatus_Udaeobacter...41	Site	TP	1.182283209	0.17156176	166	38	1.13E-10	2.49E-09
d__Bacteria...p__Acidobacteriota...c__Blastocatellia........	Site	TP	1.832291476	0.267471281	166	83	1.41E-10	3.04E-09
d__Bacteria...p__Planctomycetota...c__Phycisphaerae...o__Tepidisphaerales...f__WD2101_soil_group...g__WD2101_soil_group...s__uncultured_bacterium.6	Site	TP	-1.480326891	0.217707475	166	40	1.86E-10	3.93E-09
d__Bacteria...p__Planctomycetota...c__Planctomycetes...o__Gemmatales...f__Gemmataceae...g__uncultured...s__uncultured_bacterium.25	Site	TP	1.137503389	0.167497274	166	49	1.95E-10	4.03E-09
