OTUID	Site	Depth	Shannon	Simpson	Pielou	Species_Richness
ASCC1_C2_4_0923_SJ_1C_5	SJ	0_5cm	0.339308434	0.338860611	0.336051363	0.350728743
ASCC100_11_73_0923_TP_1C_5	TP	0_5cm	0.331405539	0.337617307	0.330646973	0.334786528
ASCC101_10_68_0928_TP_1C_5	TP	0_5cm	0.35537574	0.339693955	0.341488575	0.426147686
ASCC102_12_82_0923_TP_1C_5	TP	0_5cm	0.32138024	0.336881814	0.321683392	0.328041744
ASCC103_11_73_0923_TP_1C_15	TP	5_15cm	0.323526378	0.338270272	0.332044988	0.280828259
ASCC104_5_32_0923_TP_1C_15	TP	5_15cm	0.343000436	0.339398919	0.340654221	0.344597122
ASCC106_7_43_0923_TP_1C_5	TP	0_5cm	0.336513343	0.339196816	0.340607583	0.305967907
ASCC108_15_100_0923_TP_1C_5	TP	0_5cm	0.369777732	0.33996178	0.342843968	0.540809006
ASCC109_6_39_0923_TP_1C_5	TP	0_5cm	0.346724253	0.339632126	0.341637695	0.362378824
ASCC11_C2_5_0923_SJ_1C_15	SJ	5_15cm	0.313156696	0.338104287	0.330345225	0.23790691
ASCC110_1_3_0923_TP_1C_5	TP	0_5cm	0.329056595	0.339087666	0.338694946	0.275922962
ASCC111_7_44_0923_TP_1C_15	TP	5_15cm	0.336499632	0.33935794	0.344027181	0.287573043
ASCC113_12_84_0923_TP_1C_15	TP	5_15cm	0.324533405	0.338742896	0.335523699	0.268565017
ASCC114_9_60_0923_TP_1C_5	TP	0_5cm	0.329957236	0.3381991	0.330862463	0.324362771
ASCC115_3_15_0923_TP_1C_5	TP	0_5cm	0.356606482	0.339907262	0.345157448	0.406526498
ASCC116_4_24_0923_TP_1C_5	TP	0_5cm	0.351726089	0.339889203	0.342793652	0.388744796
ASCC117_14_94_0923_TP_1C_15	TP	5_15cm	0.326583424	0.338750397	0.33435477	0.285120394
ASCC118_16_110_0923_TP_1C_5	TP	0_5cm	0.331772741	0.336847785	0.327253773	0.359926175
ASCC119_11_72_0923_TP_1C_5	TP	0_5cm	0.332330823	0.338619029	0.336049949	0.307807394
ASCC12_T1A_6_0923_SJ_1C_5	SJ	0_5cm	0.332220891	0.338922345	0.331944986	0.331720717
ASCC120_3_16_0923_TP_1C_15	TP	5_15cm	0.324724544	0.338450955	0.332451656	0.285120394
ASCC121_6_38_0923_TP_1C_5	TP	0_5cm	0.343816591	0.339071069	0.33823733	0.366057797
ASCC123_2_12_0923_TP_1C_15	TP	5_15cm	0.325510174	0.338401602	0.333607538	0.283280908
ASCCC124_4_24_0923_TP_1C_15	TP	5_15cm	0.327244226	0.338667718	0.334448911	0.288186205
ASCC126_6_39_0923_TP_1C_15	TP	5_15cm	0.347863156	0.339752044	0.33820848	0.394876417
ASCC127_5_32_0923_TP_1C_5	TP	0_5cm	0.338081018	0.338953886	0.335862926	0.34398396
ASCC128_15_100_0923_TP_1C_15	TP	5_15cm	0.358344008	0.340334976	0.350456374	0.380160526
ASCC129_13_87_0923_TP_1C_5	TP	0_5cm	0.356907784	0.339915731	0.341845292	0.435345118
ASCC13_T3A_4_0923_SJ_1C_5	SJ	0_5cm	0.326665205	0.337727464	0.328460183	0.318844312
ASCC130_4_26_0923_TP_1C_15	TP	5_15cm	0.330860573	0.338985902	0.343105002	0.26365972
ASCC131_5_33_0923_TP_1C_5	TP	0_5cm	0.368379539	0.340402065	0.346275081	0.492982359
ASCC132_1_4_0923_TP_1C_5	TP	0_5cm	0.353663852	0.340222617	0.349980633	0.35256823
ASCC133_2_12_0923_TP_1C_15	TP	5_15cm	0.3295029	0.338379669	0.331517749	0.317617988
ASCC134_10_67_0923_TP_1C_15	TP	5_15cm	0.343732611	0.339327709	0.338689942	0.362378824
ASCC136_4_26_0923_TP_1C_5	TP	0_5cm	0.343431303	0.339291933	0.338844163	0.359313013
ASCC137_6_38_0923_TP_1C_15	TP	5_15cm	0.357202246	0.34002904	0.344391995	0.416950254
ASCC139_14_94_0923_TP_1C_5	TP	0_5cm	0.351386871	0.339364207	0.33947868	0.411431795
ASCC14_C1_2_0923_SJ_1C_5	SJ	0_5cm	0.348273229	0.339575728	0.340950486	0.377707877
ASCC140_5_33_0923_TP_1C_15	TP	5_15cm	0.339525951	0.339036945	0.335532795	0.35563404
ASCC141_7_43_0923_TP_1C_15	TP	5_15cm	0.345071296	0.339817253	0.345089633	0.32988123
ASCC142_9_58_0923_TP_1C_15	TP	5_15cm	0.350251622	0.339235668	0.338073188	0.413884443
ASCC143_1_3_0923_TP_1C_5	TP	0_5cm	0.34837384	0.339735086	0.341920223	0.371576256
