Sample_ID	Site	Depth	Ecosite
ASCC1_C2_4_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC100_11_73_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC101_10_68_0928_TP_1C_5	TP	0_5cm	TP_5
ASCC102_12_82_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC103_11_73_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC104_5_32_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC106_7_43_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC108_15_100_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC109_6_39_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC11_C2_5_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC110_1_3_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC111_7_44_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC113_12_84_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC114_9_60_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC115_3_15_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC116_4_24_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC117_14_94_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC118_16_110_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC119_11_72_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC12_T1A_6_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC120_3_16_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC121_6_38_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC123_2_12_0923_TP_1C_15	TP	5_15cm	TP_15
ASCCC124_4_24_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC125_14_97_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC126_6_39_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC127_5_32_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC128_15_100_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC129_13_87_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC13_T3A_4_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC130_4_26_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC131_5_33_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC132_1_4_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC133_2_12_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC134_10_67_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC136_4_26_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC137_6_38_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC138_2_13_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC139_14_94_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC14_C1_2_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC140_5_33_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC141_7_43_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC142_9_58_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC143_1_3_0923_TP_1C_5	TP	0_5cm	TP_5
