Sample_ID	Site	Depth	StateF	TayP	SanJ
ASCC1_C2_4_0923_SJ_1C_5	SJ	0_5cm	not	not	SJ
ASCC100_11_73_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC101_10_68_0928_TP_1C_5	TP	0_5cm	not	TP	not
ASCC102_12_82_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC103_11_73_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC104_5_32_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC106_7_43_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC108_15_100_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC109_6_39_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC11_C2_5_0923_SJ_1C_15	SJ	5_15cm	not	not	SJ
ASCC110_1_3_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC111_7_44_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC113_12_84_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC114_9_60_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC115_3_15_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC116_4_24_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC117_14_94_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC118_16_110_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC119_11_72_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC12_T1A_6_0923_SJ_1C_5	SJ	0_5cm	not	not	SJ
ASCC120_3_16_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC121_6_38_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC123_2_12_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCCC124_4_24_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC125_14_97_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC126_6_39_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC127_5_32_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC128_15_100_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC129_13_87_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC13_T3A_4_0923_SJ_1C_5	SJ	0_5cm	not	not	SJ
ASCC130_4_26_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC131_5_33_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC132_1_4_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC133_2_12_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC134_10_67_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC136_4_26_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC137_6_38_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC138_2_13_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC139_14_94_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC14_C1_2_0923_SJ_1C_5	SJ	0_5cm	not	not	SJ
ASCC140_5_33_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC141_7_43_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC142_9_58_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC143_1_3_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC145_15_101_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC146_12_82_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC148_10_67_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC149_3_16_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC15_T3C_4_0923_SJ_1C_5	SJ	0_5cm	not	not	SJ
ASCC150_9_58_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC151_9_60_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC152_7_44_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC153_13_87_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC154_15_101_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC155_13_88_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC156_8_52_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC157_13_88_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC_158_1_3_0923_TP_1C_15	TP	5_15cm	not	TP	not
ASCC159_12_84_0923_TP_1C_5	TP	0_5cm	not	TP	not
ASCC16_T3B_2_0923_SJ_1C_5	SJ	0_5cm	not	not	SJ
ASCC160_2_13_0923_TP_1C_OM	TP	OM	not	TP	not
ASCC161_6_38_0923_TP_1C_OM2	TP	OM	not	TP	not
ASCC162_1_3_0923_TP_1C_OM	TP	OM	not	TP	not
ASCC163_13_88_0923_TP_1C_OM	TP	OM	not	TP	not
ASCC164_2_12_0923_TP_1C_OM	TP	OM	not	TP	not
ASCC165_7_44_0923_TP_1C_OM	TP	OM	not	TP	not
ASCC166_5_32_0923_TP_1C_OM	TP	OM	not	TP	not
ASCC167_15_100_0923_TP_1C_OM	TP	OM	not	TP	not
ASCC168_10_68_0923_TP_1C_OM	TP	OM	not	TP	not
ASCC169_14_97_0923_TP_1C_OM	TP	OM	not	TP	not
ASCC17_T4A_3_0923_SJ_1C_15	SJ	5_15cm	not	not	SJ
