Name	Name	Site	Depth
ASCC_1	ASCC1_C2_4_0923_SJ_1C_5	SJ	0_5cm
ASCC_100	ASCC100_11_73_0923_TP_1C_5	TP	0_5cm
ASCC_101	ASCC101_10_68_0928_TP_1C_5	TP	0_5cm
ASCC_102	ASCC102_12_82_0923_TP_1C_5	TP	0_5cm
ASCC_103	ASCC103_11_73_0923_TP_1C_15	TP	5_15cm
ASCC_104	ASCC104_5_32_0923_TP_1C_15	TP	5_15cm
ASCC_106	ASCC106_7_43_0923_TP_1C_5	TP	0_5cm
ASCC_108	ASCC108_15_100_0923_TP_1C_5	TP	0_5cm
ASCC_109	ASCC109_6_39_0923_TP_1C_5	TP	0_5cm
ASCC_11	ASCC11_C2_5_0923_SJ_1C_15	SJ	5_15cm
ASCC_110	ASCC110_1_3_0923_TP_1C_5	TP	0_5cm
ASCC_111	ASCC111_7_44_0923_TP_1C_15	TP	5_15cm
ASCC_113	ASCC113_12_84_0923_TP_1C_15	TP	5_15cm
ASCC_114	ASCC114_9_60_0923_TP_1C_5	TP	0_5cm
ASCC_115	ASCC115_3_15_0923_TP_1C_5	TP	0_5cm
ASCC_116	ASCC116_4_24_0923_TP_1C_5	TP	0_5cm
ASCC_117	ASCC117_14_94_0923_TP_1C_15	TP	5_15cm
ASCC_118	ASCC118_16_110_0923_TP_1C_5	TP	0_5cm
ASCC_119	ASCC119_11_72_0923_TP_1C_5	TP	0_5cm
ASCC_12	ASCC12_T1A_6_0923_SJ_1C_5	SJ	0_5cm
ASCC_120	ASCC120_3_16_0923_TP_1C_15	TP	5_15cm
ASCC_121	ASCC121_6_38_0923_TP_1C_5	TP	0_5cm
ASCC_123	ASCC123_2_12_0923_TP_1C_15	TP	5_15cm
ASCC_124	ASCC124_4_24_0923_TP_1C_15	TP	5_15cm
ASCC_126	ASCC126_6_39_0923_TP_1C_15	TP	5_15cm
ASCC_127	ASCC127_5_32_0923_TP_1C_5	TP	0_5cm
ASCC_128	ASCC128_15_100_0923_TP_1C_15	TP	5_15cm
ASCC_129	ASCC129_13_87_0923_TP_1C_5	TP	0_5cm
ASCC_13	ASCC13_T3A_4_0923_SJ_1C_5	SJ	0_5cm
ASCC_130	ASCC130_4_26_0923_TP_1C_15	TP	5_15cm
ASCC_131	ASCC131_5_33_0923_TP_1C_5	TP	0_5cm
ASCC_132	ASCC132_1_4_0923_TP_1C_5	TP	0_5cm
ASCC_133	ASCC133_2_12_0923_TP_1C_15	TP	5_15cm
ASCC_134	ASCC134_10_67_0923_TP_1C_15	TP	5_15cm
ASCC_136	ASCC136_4_26_0923_TP_1C_5	TP	0_5cm
ASCC_137	ASCC137_6_38_0923_TP_1C_15	TP	5_15cm
ASCC_139	ASCC139_14_94_0923_TP_1C_5	TP	0_5cm
ASCC_14	ASCC14_C1_2_0923_SJ_1C_5	SJ	0_5cm
ASCC_140	ASCC140_5_33_0923_TP_1C_15	TP	5_15cm
ASCC_141	ASCC141_7_43_0923_TP_1C_15	TP	5_15cm
ASCC_142	ASCC142_9_58_0923_TP_1C_15	TP	5_15cm
ASCC_143	ASCC143_1_3_0923_TP_1C_5	TP	0_5cm
ASCC_145	ASCC145_15_101_0923_TP_1C_15	TP	5_15cm
ASCC_146	ASCC146_12_82_0923_TP_1C_15	TP	5_15cm
ASCC_148	ASCC148_10_67_0923_TP_1C_5	TP	0_5cm
ASCC_149	ASCC149_3_16_0923_TP_1C_5	TP	0_5cm
ASCC_15	ASCC15_T3C_4_0923_SJ_1C_5	SJ	0_5cm
ASCC_150	ASCC150_9_58_0923_TP_1C_5	TP	0_5cm
ASCC_151	ASCC151_9_60_0923_TP_1C_15	TP	5_15cm
ASCC_152	ASCC152_7_44_0923_TP_1C_5	TP	0_5cm
ASCC_153	ASCC153_13_87_0923_TP_1C_15	TP	5_15cm
ASCC_154	ASCC154_15_101_0923_TP_1C_5	TP	0_5cm
ASCC_155	ASCC155_13_88_0923_TP_1C_5	TP	0_5cm
ASCC_156	ASCC156_8_52_0923_TP_1C_15	TP	5_15cm
ASCC_157	ASCC157_13_88_0923_TP_1C_15	TP	5_15cm
ASCC_158	ASCC158_1_3_0923_TP_1C_15	TP	5_15cm
ASCC_159	ASCC159_12_84_0923_TP_1C_5	TP	0_5cm
ASCC_16	ASCC16_T3B_2_0923_SJ_1C_5	SJ	0_5cm
ASCC_160	ASCC160_2_13_0923_TP_1C_OM	TP	OM
ASCC_161	ASCC161_6_38_0923_TP_1C_OM2	TP	OM
ASCC_162	ASCC162_1_3_0923_TP_1C_OM	TP	OM
ASCC_163	ASCC163_13_88_0923_TP_1C_OM	TP	OM
ASCC_164	ASCC164_2_12_0923_TP_1C_OM	TP	OM
ASCC_165	ASCC165_7_44_0923_TP_1C_OM	TP	OM
ASCC_166	ASCC166_5_32_0923_TP_1C_OM	TP	OM
ASCC_167	ASCC167_15_100_0923_TP_1C_OM	TP	OM
ASCC_168	ASCC168_10_68_0923_TP_1C_OM	TP	OM
ASCC_169	ASCC169_14_97_0923_TP_1C_OM	TP	OM
