,OTUID,Site,Depth,presence
1,12410d7307e6e4dbdae768c5c47b748d,SF,15,0.84
2,2a52836cd32669f2fbe6c09e786a7f74,SF,15,0.76
3,fe2dd956065512de81f8d17b9f33ef35,SF,15,0.72
4,60f64fade87eb41933e5332783af8e22,SF,15,0.64
5,a2f68a959b643ec46fa34675bbe4d7a2,SF,15,0.64
6,d4d6a24cd0d289b396ca360df2ce852b,SF,15,0.64
7,1b6ab04cc56ac0a5ad64e581e12f5898,SF,15,0.48
8,9038eaddace005315f06a11e8208395a,SF,15,0.48
9,72ca0a899d71f7d9023e44474c260434,SF,15,0.4
10,90bf5261e0dc9e32269e8295e03da293,SF,15,0.4
11,d27b07c3296662644178e00972cf0baa,SF,15,0.4
12,1cbfe4614cbf95e669e180fe8a2d0afb,SF,15,0.36
13,6fbdd1c4efe2dff720c37ee8edc0394f,SF,15,0.36
14,a4b6e0085a8b2761b470491ad2bfad0c,SF,15,0.36
15,c7f78288b04c4f183449f3287f66e33f,SF,15,0.36
16,c86b1338168042a012d2c09071f8cf5b,SF,15,0.36
17,d7cf547a852b2e181f52e7188d26318b,SF,15,0.36
18,e9b0b0476a160c0681464c695f00d8af,SF,15,0.36
19,1b01fc7c768578ff6a81dda42f07a6cd,SF,15,0.32
20,271fc1d3b4cf2371b2757c07819f28ca,SF,15,0.32
21,297a3173045fa0fce521ac58dcf6f75b,SF,15,0.32
22,34bc7128f110bafdf149dd9dc1d01ed8,SF,15,0.32
23,4bb180f4babbc4d7a0435b39b7f196ab,SF,15,0.32
24,4c1fe9a2f2747380f52a6d094c093d11,SF,15,0.32
25,504a89d8b914f3e29029e9b86a0cca08,SF,15,0.32
26,5532de25e61c58cbb16884aa250d23d6,SF,15,0.32
27,b593d2d0293b1803c12d12f16f7d31e4,SF,15,0.32
28,b942939a6a47b69e02cfda4e900df054,SF,15,0.32
29,e722a1b2577b44cc6a1dd344b8f3a645,SF,15,0.32
30,600c14bbab2e89a35844eeeb19248a9d,TP,15,1
31,72ca0a899d71f7d9023e44474c260434,TP,15,0.935483871
32,2a52836cd32669f2fbe6c09e786a7f74,TP,15,0.903225806
33,43258d80332e0847f851dbe76c29c940,TP,15,0.838709677
34,9038eaddace005315f06a11e8208395a,TP,15,0.838709677
35,d0667017b9b23c61160f472f77d9b814,TP,15,0.838709677
36,1842b93d7b98f3df8bf1ff404d9b68e6,TP,15,0.741935484
37,2c7c9247a6941c48a5a1a1323d22e389,TP,15,0.741935484
38,449650c62a5a2e07020b60f3828b4a96,TP,15,0.64516129
39,12410d7307e6e4dbdae768c5c47b748d,TP,15,0.580645161
40,4c1fe9a2f2747380f52a6d094c093d11,TP,15,0.580645161
41,60f64fade87eb41933e5332783af8e22,TP,15,0.548387097
42,2cc9f80b1d0954b02307e1119277a756,TP,15,0.516129032
43,a2f68a959b643ec46fa34675bbe4d7a2,TP,15,0.483870968
44,b7f493d9ea0174a32872a5622d5a31ee,TP,15,0.451612903
45,0344b85e0ef02775090f148b0affb546,TP,15,0.419354839
46,1b01fc7c768578ff6a81dda42f07a6cd,TP,15,0.419354839
47,3734ab0bc28071608fd033fa78e05c86,TP,15,0.419354839
48,b593d2d0293b1803c12d12f16f7d31e4,TP,15,0.419354839
49,fe2dd956065512de81f8d17b9f33ef35,TP,15,0.419354839
50,48264cca89184738b642586b677daf4e,TP,15,0.387096774
51,697f868e0c4c2d4dc8aac7173b2956bf,TP,15,0.387096774
52,6fbdd1c4efe2dff720c37ee8edc0394f,TP,15,0.387096774
53,2e162e4e342d2e194386151351ed8a42,TP,15,0.35483871
54,7b082b858f2c55621ae517715d4e319d,TP,15,0.35483871
55,a4b6e0085a8b2761b470491ad2bfad0c,TP,15,0.35483871
56,b822a8887c82d734df5ccd78a4eae985,TP,15,0.322580645
57,72ca0a899d71f7d9023e44474c260434,SJ,15,0.888888889
58,60f64fade87eb41933e5332783af8e22,SJ,15,0.866666667
59,2be07a8d72925262126f2a02c52dddea,SJ,15,0.822222222
60,b593d2d0293b1803c12d12f16f7d31e4,SJ,15,0.8
61,a2f68a959b643ec46fa34675bbe4d7a2,SJ,15,0.777777778
62,600c14bbab2e89a35844eeeb19248a9d,SJ,15,0.755555556
63,cc116080ed11666e003af169a31bf77b,SJ,15,0.755555556
64,09b6b466c26a6ad4055737f2734a0eb1,SJ,15,0.666666667
65,a65ab1c5c0faea08741b287e8e9b06cb,SJ,15,0.666666667
66,b7f493d9ea0174a32872a5622d5a31ee,SJ,15,0.6
