"","OTUID","Site","Depth","presence"
"1","d27b07c3296662644178e00972cf0baa","SF","OM",0.96
"2","20ed0d67969d037332545f9ed2bd5c59","SF","OM",0.92
"3","60f64fade87eb41933e5332783af8e22","SF","OM",0.64
"4","b942939a6a47b69e02cfda4e900df054","SF","OM",0.64
"5","fe2dd956065512de81f8d17b9f33ef35","SF","OM",0.6
"6","88723bdf60b8d6f640bc84615e4089e1","SF","OM",0.56
"7","e4365801cf6b3826cb07334e580e8d0d","SF","OM",0.56
"8","05ea6ae929932e391e3bfb021cdc74cf","SF","OM",0.52
"9","d4d6a24cd0d289b396ca360df2ce852b","SF","OM",0.52
"10","5356bdf67b724d086dd57f1ab7ab8d29","SF","OM",0.48
"11","6dbf5ec45785cfbe351ebb64718e0478","SF","OM",0.48
"12","a65ab1c5c0faea08741b287e8e9b06cb","SF","OM",0.48
"13","e7295cb1bcee5aecc048075989cd1e39","SF","OM",0.48
"14","422a4ac5025571cee9af202efcdb2e46","SF","OM",0.44
"15","0a19a69b492a469cfd53dad5121da02f","SF","OM",0.4
"16","10536bef515faa0204d9961af5a18c50","SF","OM",0.4
"17","26dbe67be06f95acb32fc7f1c0814ee7","SF","OM",0.4
"18","47b21718465f725ddc4b0c08bee4d439","SF","OM",0.4
"19","504a89d8b914f3e29029e9b86a0cca08","SF","OM",0.4
"20","6fdcdd59554002cf64bbdb451c6ba473","SF","OM",0.4
"21","72ca0a899d71f7d9023e44474c260434","SF","OM",0.4
"22","d07eb6d74d90c6110d63d65a2927b7a0","SF","OM",0.4
"23","2a52836cd32669f2fbe6c09e786a7f74","SF","OM",0.36
"24","2cf3490a91fe3a6a4a1a6d94e4653dc6","SF","OM",0.36
"25","60b969e1dd02086b30a1f35d400c79b8","SF","OM",0.36
"26","b7f493d9ea0174a32872a5622d5a31ee","SF","OM",0.36
"27","c7f78288b04c4f183449f3287f66e33f","SF","OM",0.36
"28","d7cf547a852b2e181f52e7188d26318b","SF","OM",0.36
"29","1843bdff7420dbdc12f20441894e42f3","SF","OM",0.32
"30","1cbfe4614cbf95e669e180fe8a2d0afb","SF","OM",0.32
"31","1fa30f6de672d1187651f06282702d85","SF","OM",0.32
"32","297a3173045fa0fce521ac58dcf6f75b","SF","OM",0.32
"33","362b5e72e36aa273b3da457896a2ccde","SF","OM",0.32
"34","406f18c5d71dced1d0a77b23b7e4b478","SF","OM",0.32
"35","6b70ca280152bb090020e5a8b381feab","SF","OM",0.32
"36","741566f993a379ff1b0d91286936e430","SF","OM",0.32
"37","772b3126ce1b1de3340b0d7525f4893f","SF","OM",0.32
"38","b140646c2659079b9047fafe5ad1ea56","SF","OM",0.32
"39","b593d2d0293b1803c12d12f16f7d31e4","SF","OM",0.32
"40","e8b1becbd6f7f8f1ae2b5f2f063609b4","SF","OM",0.32
"41","72c8401fff71a78b00b765b8085a3667","TP","OM",0.884615384615385
"42","72ca0a899d71f7d9023e44474c260434","TP","OM",0.846153846153846
"43","6dbf5ec45785cfbe351ebb64718e0478","TP","OM",0.807692307692308
"44","ba893763da17ea97ae5bddb9725cf2dc","TP","OM",0.807692307692308
"45","05ea6ae929932e391e3bfb021cdc74cf","TP","OM",0.692307692307692
"46","0a19a69b492a469cfd53dad5121da02f","TP","OM",0.615384615384615
"47","363d5cbc8c86a8552f039b023f225cd8","TP","OM",0.615384615384615
"48","73efcba894b6e7fe1b0a8aca31037e75","TP","OM",0.615384615384615
"49","9038eaddace005315f06a11e8208395a","TP","OM",0.615384615384615
"50","9904be6b26147d782d57013d27f5eaf4","TP","OM",0.615384615384615
"51","1b01fc7c768578ff6a81dda42f07a6cd","TP","OM",0.538461538461538
"52","43e5212f29901a136775d92abf2491c4","TP","OM",0.538461538461538
"53","6730af9e4742997c8d8516301685dba9","TP","OM",0.538461538461538
"54","50ae5234246afa3d63fb6679b2f1e1fa","TP","OM",0.5
"55","6b70ca280152bb090020e5a8b381feab","TP","OM",0.5
"56","8b0e5f8016172b6a43c47969435e7acf","TP","OM",0.5
"57","a5b1630da4b1e5b9d1cd572028986d79","TP","OM",0.5
"58","b140646c2659079b9047fafe5ad1ea56","TP","OM",0.5
"59","1842b93d7b98f3df8bf1ff404d9b68e6","TP","OM",0.461538461538462
"60","295c001243199a0495f7a7dad220486a","TP","OM",0.461538461538462
"61","2c7c9247a6941c48a5a1a1323d22e389","TP","OM",0.461538461538462
"62","7cf853de8129854f95dd19060e8b5362","TP","OM",0.461538461538462
"63","b23a879de4a835048aed034f82cdeba1","TP","OM",0.461538461538462
"64","b2a5fe2522e7df1659b9b0e8bb71fdd2","TP","OM",0.461538461538462
"65","e1b3ae45598d69fdbf0eabb75ca66517","TP","OM",0.461538461538462
"66","6cb1bad1dc114990c61b1a4f134df1cc","TP","OM",0.423076923076923
"67","7231c11e00e82f32468e09ac30ddbe6b","TP","OM",0.423076923076923
"68","bce2ff7ca86f3b26100de741d892cc21","TP","OM",0.423076923076923
"69","f70ed2099b7251010499a51da50eda93","TP","OM",0.423076923076923
"70","455702ba599995970665314ae88bda58","TP","OM",0.384615384615385
"71","4ee473f5bcdeb8fce169b54718440f05","TP","OM",0.384615384615385
"72","6fdcdd59554002cf64bbdb451c6ba473","TP","OM",0.384615384615385
"73","97996027a2d104516be3d5699c453cd1","TP","OM",0.384615384615385
"74","9ca6b5f6f42f37a3655e3d19b314e3db","TP","OM",0.384615384615385
"75","d0667017b9b23c61160f472f77d9b814","TP","OM",0.384615384615385
"76","d45177c8eab2b1e8e9f713b681f47d4b","TP","OM",0.384615384615385
"77","f668bb0e282e6cf158674f93677d748a","TP","OM",0.384615384615385
"78","0c4770b42b34df3c903df03c351aa8fa","TP","OM",0.346153846153846
"79","5003faf9e1576d378e23bd4b735aac56","TP","OM",0.346153846153846
"80","8636f9a8ef51f294c9c3c067391dd93c","TP","OM",0.346153846153846
"81","a65093055584438d37c19ad7de080537","TP","OM",0.346153846153846
"82","b33ea11b2ab778a217f3a0bf072b1cb8","TP","OM",0.346153846153846
"83","b7f493d9ea0174a32872a5622d5a31ee","TP","OM",0.346153846153846
"84","0461addc603943b3b4b15efc3ee3e21e","TP","OM",0.307692307692308
"85","11b9a6150dc16ef288d162edd1bd3bb1","TP","OM",0.307692307692308
"86","240f2bd1ab61953b1349b60ad764d472","TP","OM",0.307692307692308
"87","4fbf7a09fefe128da4bad457e3078736","TP","OM",0.307692307692308
"88","5f3991e760eac85891cfdd7758e329b6","TP","OM",0.307692307692308
"89","80015619011c45371ade57a69bd9ccef","TP","OM",0.307692307692308
"90","a127174ca7614ce692facda82178b8c0","TP","OM",0.307692307692308
"91","b942939a6a47b69e02cfda4e900df054","TP","OM",0.307692307692308
"92","bbe68cdc024733f55f3396d5b8a0293c","TP","OM",0.307692307692308
"93","60f64fade87eb41933e5332783af8e22","SJ","OM",0.73469387755102
"94","a65ab1c5c0faea08741b287e8e9b06cb","SJ","OM",0.73469387755102
"95","2be07a8d72925262126f2a02c52dddea","SJ","OM",0.673469387755102
"96","72ca0a899d71f7d9023e44474c260434","SJ","OM",0.673469387755102
"97","cc116080ed11666e003af169a31bf77b","SJ","OM",0.653061224489796
"98","09b6b466c26a6ad4055737f2734a0eb1","SJ","OM",0.612244897959184
"99","20ed0d67969d037332545f9ed2bd5c59","SJ","OM",0.571428571428571
"100","b7f493d9ea0174a32872a5622d5a31ee","SJ","OM",0.551020408163265
"101","75a40aace95bc1ae36211c9b88fa6a83","SJ","OM",0.530612244897959
"102","daf3380c6379ff9ada580bfa3256c5c2","SJ","OM",0.510204081632653
"103","306ea3bb044a77159872abd84951af9b","SJ","OM",0.489795918367347
"104","22095a7561e4da713c016cbb5b151adc","SJ","OM",0.448979591836735
"105","600c14bbab2e89a35844eeeb19248a9d","SJ","OM",0.448979591836735
"106","8fcf9e5f2df5704e22a8129ef5bd7470","SJ","OM",0.448979591836735
