,OTUID,Site,Depth,presence
1,d27b07c3296662644178e00972cf0baa,SF,OM,0.96
2,20ed0d67969d037332545f9ed2bd5c59,SF,OM,0.92
3,60f64fade87eb41933e5332783af8e22,SF,OM,0.64
4,b942939a6a47b69e02cfda4e900df054,SF,OM,0.64
5,fe2dd956065512de81f8d17b9f33ef35,SF,OM,0.6
6,72c8401fff71a78b00b765b8085a3667,TP,OM,0.884615385
7,72ca0a899d71f7d9023e44474c260434,TP,OM,0.846153846
8,6dbf5ec45785cfbe351ebb64718e0478,TP,OM,0.807692308
9,ba893763da17ea97ae5bddb9725cf2dc,TP,OM,0.807692308
10,05ea6ae929932e391e3bfb021cdc74cf,TP,OM,0.692307692
11,0a19a69b492a469cfd53dad5121da02f,TP,OM,0.615384615
12,363d5cbc8c86a8552f039b023f225cd8,TP,OM,0.615384615
13,73efcba894b6e7fe1b0a8aca31037e75,TP,OM,0.615384615
14,9038eaddace005315f06a11e8208395a,TP,OM,0.615384615
15,9904be6b26147d782d57013d27f5eaf4,TP,OM,0.615384615
16,60f64fade87eb41933e5332783af8e22,SJ,OM,0.734693878
17,a65ab1c5c0faea08741b287e8e9b06cb,SJ,OM,0.734693878
18,2be07a8d72925262126f2a02c52dddea,SJ,OM,0.673469388
19,72ca0a899d71f7d9023e44474c260434,SJ,OM,0.673469388
20,cc116080ed11666e003af169a31bf77b,SJ,OM,0.653061224
21,09b6b466c26a6ad4055737f2734a0eb1,SJ,OM,0.612244898
