taxa,OTUID,Site,Depth,presence
Fungi; ; ; ; ; ; ,d4d6a24cd0d289b396ca360df2ce852b,SF,5,0.75862069
Fungi; ; ; ; ; ; ,12410d7307e6e4dbdae768c5c47b748d,SF,5,0.72413793
Fungi; Mortierellomycota; Mortierellomycetes; Mortierellales; Mortierellaceae; ; ,2a52836cd32669f2fbe6c09e786a7f74,SF,5,0.65517241
Fungi; Basidiomycota; Microbotryomycetes; Microbotryales; unidentified; unidentified; Microbotryales_sp,60f64fade87eb41933e5332783af8e22,SF,5,0.62068966
Fungi; ; ; ; ; ; ,fe2dd956065512de81f8d17b9f33ef35,SF,5,0.55172414
Fungi; Basidiomycota; Agaricomycetes; Atheliales; Pilodermataceae; Piloderma; Piloderma_olivaceum,b942939a6a47b69e02cfda4e900df054,SF,5,0.51724138
Fungi; Ascomycota; Leotiomycetes; Thelebolales; Pseudeurotiaceae; Pseudogymnoascus; Pseudogymnoascus_roseus,a2f68a959b643ec46fa34675bbe4d7a2,SF,5,0.48275862
Fungi; Basidiomycota; Agaricomycetes; Atheliales; Pilodermataceae; Piloderma; ,e4365801cf6b3826cb07334e580e8d0d,SF,5,0.44827586
Fungi; Basidiomycota; Agaricomycetes; Thelephorales; Thelephoraceae; Pseudotomentella; Pseudotomentella_nigra,1b01fc7c768578ff6a81dda42f07a6cd,SF,5,0.4137931
Fungi; Basidiomycota; ; ; ; ; ,34bc7128f110bafdf149dd9dc1d01ed8,SF,5,0.4137931
Fungi; Basidiomycota; ; ; ; ; ,4c1fe9a2f2747380f52a6d094c093d11,SF,5,0.4137931
Fungi; Basidiomycota; Agaricomycetes; Atheliales; Pilodermataceae; Piloderma; Piloderma_lanatum,741566f993a379ff1b0d91286936e430,SF,5,0.4137931
Fungi; Ascomycota; Leotiomycetes; Helotiales; Helotiaceae; Meliniomyces; Meliniomyces_sp,504a89d8b914f3e29029e9b86a0cca08,SF,5,0.37931034
Fungi; Basidiomycota; Agaricomycetes; Atheliales; Pilodermataceae; Piloderma; Piloderma_sp,5532de25e61c58cbb16884aa250d23d6,SF,5,0.37931034
Fungi; Ascomycota; Leotiomycetes; Helotiales; Mollisiaceae; Phialocephala; Phialocephala_helvetica,b593d2d0293b1803c12d12f16f7d31e4,SF,5,0.37931034
Fungi; Ascomycota; Leotiomycetes; Helotiales; Helotiaceae; Meliniomyces; Meliniomyces_sp,48264cca89184738b642586b677daf4e,SF,5,0.34482759
Fungi; Ascomycota; Leotiomycetes; Helotiales; ; ; ,54d96f1d17d454af445451165c788ae8,SF,5,0.34482759
Fungi; Basidiomycota; Microbotryomycetes; Microbotryales; unidentified; unidentified; Microbotryales_sp,72ca0a899d71f7d9023e44474c260434,SF,5,0.34482759
Fungi; Ascomycota; Leotiomycetes; Helotiales; Mollisiaceae; Phialocephala; ,9038eaddace005315f06a11e8208395a,SF,5,0.34482759
Fungi; Ascomycota; Leotiomycetes; Helotiales; Hyaloscyphaceae; ; ,90bf5261e0dc9e32269e8295e03da293,SF,5,0.34482759
Fungi; ; ; ; ; ; ,c7f78288b04c4f183449f3287f66e33f,SF,5,0.34482759
Fungi; Basidiomycota; Microbotryomycetes; unidentified; unidentified; unidentified; Microbotryomycetes_sp,d7cf547a852b2e181f52e7188d26318b,SF,5,0.34482759
Fungi; Basidiomycota; Agaricomycetes; Russulales; Russulaceae; Russula; Russula_griseascens,e7295cb1bcee5aecc048075989cd1e39,SF,5,0.34482759
Fungi; Ascomycota; Leotiomycetes; ; ; ; ,271fc1d3b4cf2371b2757c07819f28ca,SF,5,0.31034483
Fungi; ; ; ; ; ; ,3b1eea7de7dc1a5f62f3dab44bbbdcb4,SF,5,0.31034483
Fungi; Basidiomycota; Microbotryomycetes; ; ; ; ,3b77b01e73c0fb718df5c82f5f039187,SF,5,0.31034483
Fungi; Basidiomycota; Agaricomycetes; Agaricales; Tricholomataceae; Tricholoma; Tricholoma_saponaceum,6fbdd1c4efe2dff720c37ee8edc0394f,SF,5,0.31034483
Fungi; Basidiomycota; Geminibasidiomycetes; Geminibasidiales; Geminibasidiaceae; Geminibasidium; Geminibasidium_sp,d0667017b9b23c61160f472f77d9b814,SF,5,0.31034483
Fungi; Ascomycota; Eurotiomycetes; Chaetothyriales; Herpotrichiellaceae; Cladophialophora; ,d27b07c3296662644178e00972cf0baa,SF,5,0.31034483
Fungi; Basidiomycota; Microbotryomycetes; Microbotryales; unidentified; unidentified; Microbotryales_sp,72ca0a899d71f7d9023e44474c260434,TP,5,0.93333333
Fungi; Basidiomycota; Geminibasidiomycetes; Geminibasidiales; Geminibasidiaceae; Geminibasidium; Geminibasidium_sp,1842b93d7b98f3df8bf1ff404d9b68e6,TP,5,0.86666667
Fungi; Basidiomycota; Geminibasidiomycetes; Geminibasidiales; Geminibasidiaceae; Geminibasidium; Geminibasidium_sp,449650c62a5a2e07020b60f3828b4a96,TP,5,0.86666667
Fungi; Ascomycota; Leotiomycetes; Helotiales; Mollisiaceae; Phialocephala; ,9038eaddace005315f06a11e8208395a,TP,5,0.86666667
Fungi; Basidiomycota; Geminibasidiomycetes; Geminibasidiales; Geminibasidiaceae; Geminibasidium; Geminibasidium_sp,d0667017b9b23c61160f472f77d9b814,TP,5,0.86666667
Fungi; Basidiomycota; Geminibasidiomycetes; Geminibasidiales; Geminibasidiaceae; Geminibasidium; Geminibasidium_sp,2c7c9247a6941c48a5a1a1323d22e389,TP,5,0.83333333
Fungi; Basidiomycota; Geminibasidiomycetes; Geminibasidiales; Geminibasidiaceae; Geminibasidium; Geminibasidium_sp,43258d80332e0847f851dbe76c29c940,TP,5,0.8
Fungi; Mortierellomycota; Mortierellomycetes; Mortierellales; Mortierellaceae; ; ,2a52836cd32669f2fbe6c09e786a7f74,TP,5,0.76666667
Fungi; Basidiomycota; Geminibasidiomycetes; Geminibasidiales; Geminibasidiaceae; Geminibasidium; Geminibasidium_sp,600c14bbab2e89a35844eeeb19248a9d,TP,5,0.76666667
Fungi; ; ; ; ; ; ,12410d7307e6e4dbdae768c5c47b748d,TP,5,0.6
Fungi; ; ; ; ; ; ,2cc9f80b1d0954b02307e1119277a756,TP,5,0.6
Fungi; Ascomycota; Dothideomycetes; Pleosporales; Cucurbitariaceae; Pyrenochaeta; Pyrenochaeta_sp,6dbf5ec45785cfbe351ebb64718e0478,TP,5,0.53333333
Fungi; Basidiomycota; Microbotryomycetes; Microbotryales; unidentified; unidentified; Microbotryales_sp,60f64fade87eb41933e5332783af8e22,TP,5,0.5
Fungi; Ascomycota; Dothideomycetes; Mytilinidiales; Mytilinidiaceae; Mytilinidion; Mytilinidion_sp,697f868e0c4c2d4dc8aac7173b2956bf,TP,5,0.46666667
Fungi; ; ; ; ; ; ,fe2dd956065512de81f8d17b9f33ef35,TP,5,0.46666667
Fungi; Basidiomycota; Geminibasidiomycetes; Geminibasidiales; Geminibasidiaceae; Geminibasidium; Geminibasidium_sp,30fd744cc47efba3711c94bc479afc04,TP,5,0.43333333
Fungi; Ascomycota; Lecanoromycetes; Pertusariales; Pertusariaceae; Varicellaria; Varicellaria_sp,73efcba894b6e7fe1b0a8aca31037e75,TP,5,0.43333333
