OTU	Kingdom	Phylum	Order	Class	Family	Genus	Species	taxon	guild
600c14bbab2e89a35844eeeb19248a9d	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	Geminibasidium_sp	Geminibasidium	Undefined
72ca0a899d71f7d9023e44474c260434	Fungi	Basidiomycota	Microbotryomycetes	Microbotryales	unidentified	unidentified	Microbotryales_sp	na	na
b7f493d9ea0174a32872a5622d5a31ee	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Wilcoxina	Wilcoxina_rehmii	Wilcoxina	Ectomycorrhizal
a65ab1c5c0faea08741b287e8e9b06cb	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_amoeboidea	Mortierellaceae	Undefined
e9b0b0476a160c0681464c695f00d8af	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_ahsii	Cortinarius	Ectomycorrhizal
d0667017b9b23c61160f472f77d9b814	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	Geminibasidium_sp	Geminibasidium	Undefined
4bb180f4babbc4d7a0435b39b7f196ab	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma_portentosum	Tricholoma	na
449650c62a5a2e07020b60f3828b4a96	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	Geminibasidium_sp	Geminibasidium	Undefined
60f64fade87eb41933e5332783af8e22	Fungi	Basidiomycota	Microbotryomycetes	Microbotryales	unidentified	unidentified	Microbotryales_sp	na	na
094022a385ea523dc21a7a74f3a22bb8	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_integriformis	Russula	Ectomycorrhizal
0344b85e0ef02775090f148b0affb546	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	Geminibasidium_sp	Geminibasidium	Undefined
1842b93d7b98f3df8bf1ff404d9b68e6	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	Geminibasidium_sp	Geminibasidium	Undefined
2eedae68ed674d8a632899faafc49c24	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_rufoalba	Inocybe	Ectomycorrhizal
43258d80332e0847f851dbe76c29c940	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	Geminibasidium_sp	Geminibasidium	Undefined
e01a78d07945622027c0e3d7ac4c24b4	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Tricholoma	Tricholoma_saponaceum	Tricholoma	na
2c7c9247a6941c48a5a1a1323d22e389	Fungi	Basidiomycota	Geminibasidiomycetes	Geminibasidiales	Geminibasidiaceae	Geminibasidium	Geminibasidium_sp	Geminibasidium	Undefined
cc116080ed11666e003af169a31bf77b	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_aeria	Solicoccozyma	Undefined
