OTU	guild	counts
600c14bbab2e89a35844eeeb19248a9d	Undefined	253
b7f493d9ea0174a32872a5622d5a31ee	Ectomycorrhizal	49
a65ab1c5c0faea08741b287e8e9b06cb	Undefined	195
e9b0b0476a160c0681464c695f00d8af	Ectomycorrhizal	0
d0667017b9b23c61160f472f77d9b814	Undefined	0
4bb180f4babbc4d7a0435b39b7f196ab	Ectomycorrhizal-Fungal Parasite	0
449650c62a5a2e07020b60f3828b4a96	Undefined	0
094022a385ea523dc21a7a74f3a22bb8	Ectomycorrhizal	0
0344b85e0ef02775090f148b0affb546	Undefined	890
1842b93d7b98f3df8bf1ff404d9b68e6	Undefined	305
2eedae68ed674d8a632899faafc49c24	Ectomycorrhizal	0
43258d80332e0847f851dbe76c29c940	Undefined	0
e01a78d07945622027c0e3d7ac4c24b4	Ectomycorrhizal-Fungal Parasite	0
2c7c9247a6941c48a5a1a1323d22e389	Undefined	0
cc116080ed11666e003af169a31bf77b	Undefined	145
678c9372b82708f68e88652ea5a89554	Ectomycorrhizal	0
daf3380c6379ff9ada580bfa3256c5c2	Undefined	118
2a52836cd32669f2fbe6c09e786a7f74	Undefined	0
f14a6b81df723a8a0282c1781476e253	Ectomycorrhizal	0
6fbdd1c4efe2dff720c37ee8edc0394f	Ectomycorrhizal-Fungal Parasite	0
d8509c4abcc59265d1b581c4fdbd9716	Undefined	0
b942939a6a47b69e02cfda4e900df054	Ectomycorrhizal	0
832a7e05860ddab728584d606db71bb4	Ectomycorrhizal-Plant Saprotroph-Wood Saprotroph	0
38a5a38522b632b83de05fba50dee044	Ectomycorrhizal	0
c881144d399102fb1eb57dfde0ad6a08	Ectomycorrhizal	0
d07eb6d74d90c6110d63d65a2927b7a0	Ectomycorrhizal	0
0c206d8725aedcd8e48fbcba9d5fc372	Ectomycorrhizal-Plant Saprotroph-Wood Saprotroph	0
a575f08075e1bccbaa094f85a7dda157	Ectomycorrhizal-Fungal Parasite	0
e4365801cf6b3826cb07334e580e8d0d	Ectomycorrhizal	0
5d455c95250f954f1334132f59b1b598	Ectomycorrhizal	0
1b01fc7c768578ff6a81dda42f07a6cd	Ectomycorrhizal	0
056955a7ba345f23543765a6848902bd	Ectomycorrhizal-Plant Saprotroph-Wood Saprotroph	0
d1373f08777d7fa6e335639018332736	Undefined	0
9038eaddace005315f06a11e8208395a	Undefined	0
a9be740f9f23635163b12125ef8b6584	Ectomycorrhizal-Fungal Parasite	0
c2df0e763dbf08bab3dadd457b52ffd7	Ectomycorrhizal	0
8f7ab17585355cc5230570ab926e6d0c	Ectomycorrhizal	0
094ae0ced98aea21795c6690986d09ce	Ectomycorrhizal	0
b3c861145b62348cf87d36423f883536	Ectomycorrhizal	0
8ee69fea40362a20da724565d1d9be78	Undefined	0
9610076b58ac82ba4aea65bd7b7103a8	Ectomycorrhizal	0
7555b6a21cc8b38eaa5f7004efd1bcc5	Ectomycorrhizal	0
c196e0b47ce3e7bf04084024fec1b4b8	Ectomycorrhizal	0
977243d63a85a6e60149492f86387457	Ectomycorrhizal	0
5532de25e61c58cbb16884aa250d23d6	Ectomycorrhizal	0
d27b07c3296662644178e00972cf0baa	Undefined	0
1247c4d675673c8437b64ed612f18485	Ectomycorrhizal-Fungal Parasite	0
93c760a207291157f3c0ca60452ce678	Ectomycorrhizal	0
238629631a8e14223055a4823906f8c2	Ectomycorrhizal	0
daa8bd4768beabfda9c86148e4296258	Ectomycorrhizal	0
306ea3bb044a77159872abd84951af9b	Undefined	0
d426850f69366bc5238d1781fa05f05b	Ectomycorrhizal	0
356ec0051bb97afe74ee935cd27a1841	Ectomycorrhizal	0
05ea6ae929932e391e3bfb021cdc74cf	Undefined	0
153dc5b27a5a247b4cadb978f13dd01e	Ectomycorrhizal	0
dd20782d3ece0a0e7465579bc722c3a9	Ectomycorrhizal	0
283bb4bd7843bdf04b06a325bb58a879	Ectomycorrhizal	0
760437f7b18b6dc956769cb08af655c1	Ectomycorrhizal	0
3ea1859fc775a3797e55a6f01f01c8fa	Ectomycorrhizal	0
211594eca1eaa7e2516f42094f375c8d	Undefined	0
2be07a8d72925262126f2a02c52dddea	Undefined	132
a2741f8dd74a75f1ebd4e67c372fea60	Undefined	0
b5baacc52a619681e06c69e69c65ad36	Ectomycorrhizal	0
2ebbb93cd560a8656f8407712cec186a	Ectomycorrhizal	0
72c8401fff71a78b00b765b8085a3667	Undefined	0
e63aaafb62a84a32304c58947ebe2188	Ectomycorrhizal-Fungal Parasite	0
88266d6149dd6d1a763f73f159443958	Ectomycorrhizal	0
e10bec8719dea6fa33ca2c8ab9f029a4	Ectomycorrhizal	0
3734ab0bc28071608fd033fa78e05c86	Ectomycorrhizal	0
1502fe375e631440bc0b63973ad04541	Ectomycorrhizal	0
a79bd0821c137fc82b3db5f258dee31a	Ectomycorrhizal-Plant Saprotroph-Wood Saprotroph	0
cbf9739f92a64c355273156590803813	Ectomycorrhizal	0
9d21c33c636f71e6e67655192f3332fd	Ectomycorrhizal	0
6c69d5e2df73810d566e7176c5314f33	Ectomycorrhizal-Plant Saprotroph-Wood Saprotroph	0
942bfd203e353e82ba08a2f62c9e9128	Ectomycorrhizal	0
137930ef6ea1398a0b09e4a70f53671d	Undefined	0
f2a3a581cc311bd12fd7e357bad7853b	Ectomycorrhizal	0
7eac09f68f4e8758d4765e1f5b4f40a7	Undefined	0
b593d2d0293b1803c12d12f16f7d31e4	Undefined	0
29fc934393b3355a9d9ebe2c42dadac7	Ectomycorrhizal	0
7ea35f18052e4148184a0e98bf83f349	Ectomycorrhizal	0
a836a90c4400aac9ff60815085f32d70	Ectomycorrhizal	0
c12a6dc59d062650dcc4ee26b66cee37	Ectomycorrhizal	0
d1527a9ea3cfa047b7684ed5070d1da1	Ectomycorrhizal	0
75708fb588c993e9d9e00acd5038314a	Ectomycorrhizal	0
624bec2a0b59162830713e67ab20df40	Ectomycorrhizal	0
8d33d45c7bcf602aeb19c8af2edaddef	Undefined	0
faf16caccb9b3cbe942a3b04d4934b32	Ectomycorrhizal	0
4796785396e1e2fa1537aea38a789247	Undefined	0
e92a47ed368aa0c18dfaf2df555124ae	Ectomycorrhizal	0
34b0730606afd6e1e03d4a90b3a01639	Undefined	0
7006e861aba15db9e8aa6a9b6e936f5f	Undefined	0
5dd7952b2ff1892d888d16c9b2f96f44	Ectomycorrhizal	0
c4492815bf1271fdbcc6c97544ce2c59	Ectomycorrhizal	0
d217c4427371dc7b5e0fa43b36c85a3e	Undefined	0
3d886ea324db0ba3abbd9a451d80b0da	Undefined	0
697f868e0c4c2d4dc8aac7173b2956bf	Undefined	0
60ab8378a345d8b0b2c8e7bea5283483	Ectomycorrhizal	0
86cc35c1b19b24330dbdfa1dbd832bdc	Ectomycorrhizal	0
721ae666e988e268d08ac47d96b203dd	Undefined	0
db46818c30d340337aea4c7394b25788	Ectomycorrhizal	0
95410caf089af3b161136a97f0fe06e1	Undefined	0
7747357e60264c3524d3befaa96f2ee5	Ectomycorrhizal	0
f60021b219446fef6d9a3bb2c7af04bd	Undefined	0
ac3f74d8a34361185cefc89b76f8a1e4	Ectomycorrhizal	1821
1b8127a6d253646c2ac6ea4108ce5522	Ectomycorrhizal	0
673d36cfa6ac557b3883147bb9fcdc1a	Ectomycorrhizal	0
3d361c5d1f955ea3a324d524059a775a	Ectomycorrhizal	0
30106c8d8ba33a03249e0a3a9ed27dc4	Undefined	0
c937c07699eb1149e68ad8fb43c287f0	Ectomycorrhizal	0
d9be5c07cb4ccf2b6514a97db7ba13d7	Undefined	0
86c545e3081721da9a4dbabf21ad461c	Ectomycorrhizal	0
230b90676e6cabed180469500ba25f34	Undefined	0
b652f29176e6320fa735c83113064c14	Undefined	0
8d6914ce89357e01396faa02e1488a70	Ectomycorrhizal	0
71b16d2e0baa55aa5d5defa1cc2af1c8	Undefined	0
72d3ba5ec9c411f48b419f04f5dd9790	Ectomycorrhizal	0
297a3173045fa0fce521ac58dcf6f75b	Undefined	0
8729bd9a24201d8e8525a6babfb9b2b0	Ectomycorrhizal	0
53751a6ca87548839b2024bad1461ac5	Ectomycorrhizal-Fungal Parasite	0
a7e7dfb3944945dd77ffc9f1b5977213	Ectomycorrhizal	0
42e7f983b6c1ed69c323067932228ec4	Undefined	0
6e9b7ddc33e026c36a3f64bdad54ea90	Ectomycorrhizal	0
525a84a59dc0510d97ff52c7139f86e1	Ectomycorrhizal	0
30c855f5e93bdd3539325630130a7832	Ectomycorrhizal	0
1b7e6dbf7c55bb6e9c7f9eaadd8e3f15	Ectomycorrhizal	0
2cbeeeea6b3ad6b5a760a3aa4114c786	Ectomycorrhizal	0
5a60b4955b146af932ce108bd80c63d7	Ectomycorrhizal-Fungal Parasite	0
2e162e4e342d2e194386151351ed8a42	Undefined	0
51e27fc4e3a352ab6f42477c79e1a79c	Ectomycorrhizal	0
905478934787019f70979d45e93f7853	Undefined	0
d19bc8e73e2c3aeef77aa0d04105434a	Ectomycorrhizal	0
c063c69b991ee399370792531dff9d01	Ectomycorrhizal	0
504a89d8b914f3e29029e9b86a0cca08	Undefined	0
22095a7561e4da713c016cbb5b151adc	Undefined	0
6b70ca280152bb090020e5a8b381feab	Undefined	0
e02bb985a110fd7a115effa08cfb39a7	Ectomycorrhizal	0
ea02a048e6c308167a4dc635e93b7211	Ectomycorrhizal	0
0b932cc1da67c723f23d2cb570d7a26f	Undefined	2384
086cbbb7904e6a5603936eb176803267	Undefined	0
