"","Shannon","Simpson","Pielou","Species_Richness"
"ASCC1_C2_4_0923_SJ_1C_5",0.365709275884208,0.167247211045843,0.26380347936262,4
"ASCC100_11_73_0923_TP_1C_5",2.34815350379322,0.888786135672058,0.828795158938312,17
"ASCC101_10_68_0928_TP_1C_5",2.04948452073177,0.819373517333348,0.739195288609603,16
"ASCC102_12_82_0923_TP_1C_5",1.44436339280975,0.64496754427551,0.533359164546461,15
"ASCC103_11_73_0923_TP_1C_15",2.28431560688133,0.866678178109465,0.775806740450098,19
"ASCC104_5_32_0923_TP_1C_15",1.63212488042416,0.74692008171678,0.6806489419863,11
"ASCC105_3_15_0923_TP_1C_15",2.04323971732931,0.830934517667279,0.706912428045776,18
"ASCC106_7_43_0923_TP_1C_5",1.32322052977216,0.648094118467488,0.574667374421145,10
"ASCC108_15_100_0923_TP_1C_5",1.99888767806072,0.803253929829695,0.73812799971254,15
"ASCC109_6_39_0923_TP_1C_5",1.69267702124035,0.755891685492504,0.681183344003992,12
"ASCC11_C2_5_0923_SJ_1C_15",1.3763472145445,0.714842657144133,0.626402612068492,9
"ASCC110_1_3_0923_TP_1C_5",1.19402431743865,0.58123939894243,0.518558172321904,10
"ASCC111_7_44_0923_TP_1C_15",2.26171503026609,0.874841499196452,0.835182091286767,15
"ASCC112_8_51_0923_TP_1C_15",1.87043228182529,0.778631890203122,0.708750151364833,14
"ASCC113_12_84_0923_TP_1C_15",1.67072790260933,0.67920390538549,0.633077532594906,14
"ASCC114_9_60_0923_TP_1C_5",1.92182386043589,0.823663932400958,0.749263861621762,13
"ASCC115_3_15_0923_TP_1C_5",2.24776426551539,0.871843626261015,0.830030501133445,15
"ASCC116_4_24_0923_TP_1C_5",1.28057662570436,0.523073379655461,0.451987362120425,17
"ASCC117_14_94_0923_TP_1C_15",2.17661192513451,0.857338926312256,0.768248508253292,17
"ASCC118_16_110_0923_TP_1C_5",1.72343067652167,0.745990078696481,0.671916063959759,13
"ASCC119_11_72_0923_TP_1C_5",2.0986837633339,0.84294901793815,0.7127618463766,19
"ASCC12_T1A_6_0923_SJ_1C_5",2.71320791007287,0.922154108415775,0.877764686513787,22
"ASCC120_3_16_0923_TP_1C_15",2.27919628128737,0.86246125176159,0.760814409688032,20
"ASCC121_6_38_0923_TP_1C_5",1.55606844172586,0.604013883150922,0.574608417928338,15
"ASCC122_8_52_0923_TP_1C_5",0.961903820074932,0.551487596389491,0.364487655982512,14
"ASCC123_2_12_0923_TP_1C_15",1.91208849302565,0.805528553529623,0.745468321806554,13
"ASCC124_4_24_0923_TP_1C_15",1.27705024703788,0.466498392791834,0.433715983273461,19
"ASCC125_14_97_0923_TP_1C_5",2.45860863652641,0.895936962202784,0.820703725172888,20
"ASCC126_6_39_0923_TP_1C_15",1.50559037491786,0.74593744797437,0.840285987474932,6
"ASCC127_5_32_0923_TP_1C_5",1.58109252695243,0.738299609666411,0.659366797577977,11
"ASCC128_15_100_0923_TP_1C_15",1.08714739333538,0.441311671625372,0.383715330021336,17
"ASCC129_13_87_0923_TP_1C_5",1.70096945185102,0.749797936257132,0.70935935824502,11
"ASCC13_T3A_4_0923_SJ_1C_5",2.08164774668471,0.817541667341867,0.720200694252525,18
"ASCC130_4_26_0923_TP_1C_15",1.94939020310307,0.823494877083128,0.719850098166438,15
"ASCC131_5_33_0923_TP_1C_5",2.18583144741609,0.853387386675672,0.807160608221528,15
"ASCC132_1_4_0923_TP_1C_5",1.2234473349477,0.536404559579884,0.531336426467025,10
