"","Shannon","Simpson","Pielou","Species_Richness"
"ASCC1_C2_4_0923_SJ_1C_5",2.98374998637174,0.894581722222222,0.652226993222613,97
"ASCC100_11_73_0923_TP_1C_5",3.80243122280566,0.964776,0.787527784996459,125
"ASCC101_10_68_0928_TP_1C_5",3.83106864743485,0.962829555555556,0.784604558647665,132
"ASCC102_12_82_0923_TP_1C_5",2.909806796513,0.876052222222222,0.636063526239408,97
"ASCC103_11_73_0923_TP_1C_15",3.55962478543478,0.948989,0.771296171453201,101
"ASCC104_5_32_0923_TP_1C_15",3.35739854153361,0.938891611111111,0.705013841892818,117
"ASCC105_3_15_0923_TP_1C_15",4.1874747936472,0.974977,0.803817242390253,183
"ASCC106_7_43_0923_TP_1C_5",3.25205787798632,0.919231722222222,0.700211921995528,104
"ASCC108_15_100_0923_TP_1C_5",3.78705976385612,0.958977666666667,0.763082475071921,143
"ASCC109_6_39_0923_TP_1C_5",3.83205631619231,0.964722388888889,0.753215480099066,162
"ASCC11_C2_5_0923_SJ_1C_15",3.63624084437154,0.957338666666667,0.753107822360192,125
"ASCC110_1_3_0923_TP_1C_5",3.11672868672294,0.900957333333333,0.651014947737912,120
"ASCC111_7_44_0923_TP_1C_15",3.46406075350389,0.943644833333333,0.742812478858686,106
"ASCC112_8_51_0923_TP_1C_15",3.27474244956341,0.921164055555556,0.729562873848663,89
"ASCC113_12_84_0923_TP_1C_15",3.18889303484571,0.903750444444445,0.695510502458425,98
"ASCC114_9_60_0923_TP_1C_5",3.36310049606222,0.931958166666667,0.749247704434323,89
"ASCC115_3_15_0923_TP_1C_5",3.82020508046729,0.966481166666667,0.803646281417911,116
"ASCC116_4_24_0923_TP_1C_5",3.48941810287411,0.928477722222222,0.708187222708988,138
"ASCC117_14_94_0923_TP_1C_15",3.45248190672504,0.943091166666667,0.734495548976304,110
"ASCC118_16_110_0923_TP_1C_5",2.83156289298683,0.884888555555556,0.646176559170449,80
"ASCC119_11_72_0923_TP_1C_5",3.73824670974656,0.957372055555556,0.750108705101833,146
"ASCC12_T1A_6_0923_SJ_1C_5",3.68882168511898,0.959434833333333,0.747561287202625,139
"ASCC120_3_16_0923_TP_1C_15",3.50704221089138,0.943231666666667,0.743253798835559,112
"ASCC121_6_38_0923_TP_1C_5",2.66361582344891,0.799123722222222,0.606131901791787,81
"ASCC122_8_52_0923_TP_1C_5",4.1692027594074,0.961733722222222,0.763054740369677,236
"ASCC123_2_12_0923_TP_1C_15",3.57501997062686,0.951073388888889,0.778003640214552,99
"ASCC124_4_24_0923_TP_1C_15",3.28831835475383,0.865506555555556,0.652001026786828,155
"ASCC125_14_97_0923_TP_1C_5",3.8338420769704,0.960276277777778,0.770353061947354,145
"ASCC126_6_39_0923_TP_1C_15",3.77861243855977,0.963629388888889,0.789267666990062,120
"ASCC127_5_32_0923_TP_1C_5",3.4591466191478,0.9476855,0.722538399019289,120
"ASCC128_15_100_0923_TP_1C_15",3.29736901368938,0.929193944444444,0.75034865523098,81
"ASCC129_13_87_0923_TP_1C_5",3.77160148556029,0.957882222222222,0.777324394203898,128
"ASCC13_T3A_4_0923_SJ_1C_5",3.63160539707039,0.955476,0.758561182386508,120
"ASCC130_4_26_0923_TP_1C_15",3.76848804911017,0.957065555555556,0.784444533864321,122
"ASCC131_5_33_0923_TP_1C_5",3.38652274031503,0.944442222222222,0.747148020783783,93
"ASCC132_1_4_0923_TP_1C_5",3.36410924568431,0.924933555555556,0.693340532251067,128
"ASCC133_2_12_0923_TP_1C_15",3.46776884628591,0.939504111111111,0.765072857534438,93
"ASCC134_10_67_0923_TP_1C_15",3.16677100511143,0.914504944444445,0.680446494350612,105
"ASCC136_4_26_0923_TP_1C_5",3.54644564961438,0.9428075,0.75595452280321,109
"ASCC137_6_38_0923_TP_1C_15",4.20082832177793,0.976276055555556,0.836172019686148,152
"ASCC138_2_13_0923_TP_1C_15",2.79148108354309,0.861728666666667,0.618835740618885,91
"ASCC139_14_94_0923_TP_1C_5",3.87574635696373,0.954966444444444,0.772479607082099,151
"ASCC14_C1_2_0923_SJ_1C_5",3.64159945706927,0.939975888888889,0.722976717177023,154
"ASCC140_5_33_0923_TP_1C_15",3.63728094718498,0.950067666666667,0.754578523615442,124
"ASCC141_7_43_0923_TP_1C_15",3.47878764308426,0.940752222222222,0.726640969841696,120
"ASCC142_9_58_0923_TP_1C_15",3.82091612621966,0.959808222222222,0.781317657704541,133
"ASCC143_1_3_0923_TP_1C_5",3.06734999999074,0.906115388888889,0.670501374710721,97
"ASCC145_15_101_0923_TP_1C_15",3.47006943735916,0.936243444444444,0.755164076353203,99
"ASCC146_12_82_0923_TP_1C_15",2.53285365301881,0.803747944444444,0.594192790939028,71
"ASCC148_10_67_0923_TP_1C_5",3.5647410347646,0.947375,0.761350090769258,108
"ASCC149_3_16_0923_TP_1C_5",3.40031075710847,0.928082888888889,0.712751109069449,118
"ASCC15_T3C_4_0923_SJ_1C_5",2.95789586030465,0.883228166666667,0.636874872192925,104
"ASCC150_9_58_0923_TP_1C_5",3.70274594228072,0.963103444444444,0.807583905339791,98
"ASCC151_9_60_0923_TP_1C_15",3.17764985891959,0.913847888888889,0.694612156669874,97
"ASCC152_7_44_0923_TP_1C_5",3.18974029009431,0.923400055555556,0.688225848414218,103
"ASCC153_13_87_0923_TP_1C_15",3.95011223596412,0.959734222222222,0.773629929296231,165
"ASCC154_15_101_0923_TP_1C_5",3.31186233733715,0.919141444444444,0.703225628835395,111
"ASCC155_13_88_0923_TP_1C_5",3.76212884462326,0.958444111111111,0.740371868562121,161
"ASCC156_8_52_0923_TP_1C_15",3.81359673331349,0.9648965,0.797969907831485,119
"ASCC157_13_88_0923_TP_1C_15",3.03061908530403,0.874635333333333,0.737220159371998,61
"ASCC158_1_3_0923_TP_1C_15",3.20086576890815,0.893456277777778,0.707876034973103,92
"ASCC16_T3B_2_0923_SJ_1C_5",3.17921533607732,0.925154722222222,0.740996478276081,73
"ASCC160_2_13_0923_TP_1C_OM",3.79065454963231,0.952558833333333,0.776327733487996,132
