Sample_ID,Site,Depth,Shannon,Simpson,Pielou,Species_Richness
ASCC1_C2_4_0923_SJ_1C_5,SJ,0_5cm,2.983749986,0.894581722,0.652226993,97
ASCC100_11_73_0923_TP_1C_5,TP,0_5cm,3.802431223,0.964776,0.787527785,125
ASCC101_10_68_0928_TP_1C_5,TP,0_5cm,3.831068647,0.962829556,0.784604559,132
ASCC102_12_82_0923_TP_1C_5,TP,0_5cm,2.909806797,0.876052222,0.636063526,97
ASCC103_11_73_0923_TP_1C_15,TP,5_15cm,3.559624785,0.948989,0.771296171,101
ASCC104_5_32_0923_TP_1C_15,TP,5_15cm,3.357398542,0.938891611,0.705013842,117
ASCC105_3_15_0923_TP_1C_15,TP,5_15cm,4.187474794,0.974977,0.803817242,183
ASCC106_7_43_0923_TP_1C_5,TP,0_5cm,3.252057878,0.919231722,0.700211922,104
ASCC108_15_100_0923_TP_1C_5,TP,0_5cm,3.787059764,0.958977667,0.763082475,143
ASCC109_6_39_0923_TP_1C_5,TP,0_5cm,3.832056316,0.964722389,0.75321548,162
ASCC11_C2_5_0923_SJ_1C_15,SJ,5_15cm,3.636240844,0.957338667,0.753107822,125
ASCC110_1_3_0923_TP_1C_5,TP,0_5cm,3.116728687,0.900957333,0.651014948,120
ASCC111_7_44_0923_TP_1C_15,TP,5_15cm,3.464060754,0.943644833,0.742812479,106
ASCC112_8_51_0923_TP_1C_15,TP,5_15cm,3.27474245,0.921164056,0.729562874,89
ASCC113_12_84_0923_TP_1C_15,TP,5_15cm,3.188893035,0.903750444,0.695510502,98
ASCC114_9_60_0923_TP_1C_5,TP,0_5cm,3.363100496,0.931958167,0.749247704,89
ASCC115_3_15_0923_TP_1C_5,TP,0_5cm,3.82020508,0.966481167,0.803646281,116
ASCC116_4_24_0923_TP_1C_5,TP,0_5cm,3.489418103,0.928477722,0.708187223,138
ASCC117_14_94_0923_TP_1C_15,TP,5_15cm,3.452481907,0.943091167,0.734495549,110
ASCC118_16_110_0923_TP_1C_5,TP,0_5cm,2.831562893,0.884888556,0.646176559,80
ASCC119_11_72_0923_TP_1C_5,TP,0_5cm,3.73824671,0.957372056,0.750108705,146
ASCC12_T1A_6_0923_SJ_1C_5,SJ,0_5cm,3.688821685,0.959434833,0.747561287,139
ASCC120_3_16_0923_TP_1C_15,TP,5_15cm,3.507042211,0.943231667,0.743253799,112
ASCC121_6_38_0923_TP_1C_5,TP,0_5cm,2.663615823,0.799123722,0.606131902,81
ASCC122_8_52_0923_TP_1C_5,TP,0_5cm,4.169202759,0.961733722,0.76305474,236
ASCC123_2_12_0923_TP_1C_15,TP,5_15cm,3.575019971,0.951073389,0.77800364,99
ASCC124_4_24_0923_TP_1C_15,TP,5_15cm,3.288318355,0.865506556,0.652001027,155
ASCC125_14_97_0923_TP_1C_5,TP,0_5cm,3.833842077,0.960276278,0.770353062,145
ASCC126_6_39_0923_TP_1C_15,TP,5_15cm,3.778612439,0.963629389,0.789267667,120
ASCC127_5_32_0923_TP_1C_5,TP,0_5cm,3.459146619,0.9476855,0.722538399,120
ASCC128_15_100_0923_TP_1C_15,TP,5_15cm,3.297369014,0.929193944,0.750348655,81
ASCC129_13_87_0923_TP_1C_5,TP,0_5cm,3.771601486,0.957882222,0.777324394,128
ASCC13_T3A_4_0923_SJ_1C_5,SJ,0_5cm,3.631605397,0.955476,0.758561182,120
ASCC130_4_26_0923_TP_1C_15,TP,5_15cm,3.768488049,0.957065556,0.784444534,122
ASCC131_5_33_0923_TP_1C_5,TP,0_5cm,3.38652274,0.944442222,0.747148021,93
ASCC132_1_4_0923_TP_1C_5,TP,0_5cm,3.364109246,0.924933556,0.693340532,128
ASCC133_2_12_0923_TP_1C_15,TP,5_15cm,3.467768846,0.939504111,0.765072858,93
ASCC134_10_67_0923_TP_1C_15,TP,5_15cm,3.166771005,0.914504944,0.680446494,105
ASCC136_4_26_0923_TP_1C_5,TP,0_5cm,3.54644565,0.9428075,0.755954523,109
ASCC137_6_38_0923_TP_1C_15,TP,5_15cm,4.200828322,0.976276056,0.83617202,152
