feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.4	Site	TP	3.64136498025914	0.320932052227618	167	63	2.01499345976287e-22	2.37769228252019e-20
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.6	Site	TP	2.31663293049632	0.241340080639109	167	66	1.30038502379793e-17	7.67227164040776e-16
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.2	Site	TP	3.59287685228972	0.402026328972658	167	55	7.69230696893125e-16	3.02564074111296e-14
k__Fungi.............2	Site	TP	-2.55527341934545	0.292973078444726	167	62	2.83787086622811e-15	8.37171905537292e-14
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Microbotryales..f__unidentified..g__unidentified..s__Microbotryales_sp	Site	TP	3.93710901010695	0.471987067104983	167	109	2.77743382389685e-14	6.55474382439656e-13
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.5	Site	TP	3.5478688071262	0.432331226312175	167	57	6.19166780607364e-14	1.21769466852782e-12
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.1	Site	TP	3.86790022074222	0.483172579640638	167	76	2.02137786103971e-13	3.40746553718122e-12
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp	Site	TP	2.45683386933451	0.311713213635283	167	77	4.15461446725768e-13	6.12805633920508e-12
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora..	Site	TP	-2.43800800714216	0.362152448953821	167	54	2.6402980449156e-10	3.46172410333379e-09
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Helotiaceae..g__Meliniomyces..s__Meliniomyces_sp	Site	TP	-2.30751505950038	0.35819096844951	167	31	1.23738558921102e-09	1.46011499526901e-08
k__Fungi.............5	Site	TP	-1.72752803539149	0.275244174636483	167	28	2.94331604870074e-09	2.89426078122239e-08
k__Fungi.............8	Site	TP	1.16852320324058	0.18577192554693	167	34	2.7405617815796e-09	2.89426078122239e-08
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Russulales..f__Russulaceae..g__Russula..s__Russula_griseascens	Site	TP	-1.3499429186672	0.223314034076996	167	27	9.64822965927034e-09	8.75762384456847e-08
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae....	Site	TP	2.61569483174219	0.434949815061034	167	42	1.13046082706929e-08	9.52816982815547e-08
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__unidentified..f__unidentified..g__unidentified..s__Microbotryomycetes_sp	Site	TP	-1.45100049805013	0.247230385046156	167	32	2.33963583588347e-08	1.84051352422833e-07
k__Fungi..p__Basidiomycota...........1	Site	TP	-1.35042566552803	0.24427077826997	167	29	1.24097526293293e-07	8.61382829565212e-07
