feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora..	Site	TP	-4.23875735574281	0.478042423489098	52	31	7.8229668307715e-12	1.43942589686196e-09
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae....	Site	TP	3.30117218418784	0.383293254440238	52	27	1.90482132030344e-11	1.75243561467917e-09
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales.......1	Site	TP	-3.17489251403021	0.457566623181159	52	26	7.48543941027769e-09	4.59106950497032e-07
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora...1	Site	TP	3.07733344785925	0.53317766604888	52	29	4.94406614420891e-07	2.2742704263361e-05
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp.4	Site	TP	2.54372398703376	0.469572323652535	52	17	1.7348999513986e-06	6.38443182114686e-05
k__Fungi............	Site	TP	-2.53466362956974	0.479336578471101	52	16	2.73106248100303e-06	8.37525827507595e-05
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Cucurbitariaceae..g__unidentified..s__Cucurbitariaceae_sp	Site	TP	1.86856932740747	0.416038376298408	52	18	4.19163834908675e-05	0.00110180208033137
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora..s__Cladophialophora_sylvestris	Site	TP	-1.84796151132873	0.426065915295053	52	12	6.99187948129086e-05	0.0016081322806969
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae.....1	Site	TP	1.97024671008261	0.461391941738274	52	13	8.71757197612508e-05	0.00165523875100021
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Cucurbitariaceae..g__unidentified..s__Cucurbitariaceae_sp.1	Site	TP	1.12109429431761	0.26312809946922	52	13	8.99586277717504e-05	0.00165523875100021
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Russulales..f__Russulaceae..g__Russula..s__Russula_griseascens	Site	TP	-1.9822032320919	0.474738570129462	52	12	0.000118843702881042	0.00198793103001015
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__unidentified..g__unidentified..s__Chaetothyriales_sp	Site	TP	-2.29441998840713	0.572131817896094	52	17	0.000202412967227198	0.00310366549748371
k__Fungi..p__Ascomycota..c__Orbiliomycetes..o__Orbiliales..f__Orbiliaceae..g__unidentified..s__Orbiliaceae_sp	Site	TP	1.91093652917773	0.479574480116122	52	15	0.000219699544646165	0.00310959355499187
k__Fungi..p__Ascomycota...........1	Site	TP	1.39779335638564	0.354734219822297	52	15	0.00025293429163642	0.00332427926150723
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.4	Site	TP	0.964284617431563	0.250434211643243	52	12	0.000336077887878145	0.00392438374031158
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora..s__Cladophialophora_humicola.3	Site	TP	1.38437259920756	0.359989564464746	52	15	0.000341250760027094	0.00392438374031158
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Trichomeriaceae..g__Knufia..s__Knufia_peltigerae	Site	TP	-2.03310445405955	0.54113096470773	52	10	0.000449937926070935	0.00486991637629718
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae.....2	Site	TP	1.30176345239431	0.35117870733259	52	12	0.000525859865826158	0.00537545640622294
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora...2	Site	TP	-1.85964459565635	0.515923768209677	52	10	0.00072001756003493	0.00697280163402248
k__Fungi.............1	Site	TP	-1.45368842986484	0.406748061397494	52	16	0.000790225484968578	0.00727007446171092
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..s__Piloderma_olivaceum	Site	TP	-3.39839622039111	0.966277844929415	52	24	0.000938793703974696	0.00794046484002867
k__Fungi..p__Ascomycota..c__Leotiomycetes.........2	Site	TP	1.52773475618229	0.434847238470084	52	11	0.000949403404786037	0.00794046484002867
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Helotiaceae..g__Meliniomyces..s__Meliniomyces_sp	Site	TP	-1.89737128192456	0.545535509258865	52	11	0.00105556442879365	0.00844451543034919
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Entolomataceae..g__Clitopilus..s__Clitopilus_sp.1	Site	TP	1.97012171635651	0.577136984603493	52	13	0.00127916793173508	0.00980695414330228
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Exophiala..s__Exophiala_xenobiotica	Site	TP	1.91122169793833	0.573838625460645	52	16	0.00163441615808317	0.0117155265245898
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Lentitheciaceae..g__Lentithecium..s__Lentithecium_sp	Site	TP	-1.65851991641819	0.498618616213191	52	12	0.00165545483499639	0.0117155265245898
k__Fungi.............4	Site	TP	-1.00615645275221	0.304540425824533	52	9	0.00176749614924685	0.0120451589430156
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..	Site	TP	-1.66184941934458	0.510854569166682	52	17	0.00204891422612571	0.0130000075036942
k__Fungi..p__Ascomycota...........3	Site	TP	1.00963258338496	0.309306717391311	52	10	0.00198398233861669	0.0130000075036942
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp.6	Site	TP	1.06680510204994	0.331203826073644	52	12	0.00224803791449661	0.0137879658755792
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__unidentified..f__unidentified..g__unidentified..s__Microbotryomycetes_sp	Site	TP	-1.19649273168515	0.377083401812831	52	10	0.00258012026589616	0.0148333563438704
k__Fungi.............8	Site	TP	-1.21850350674761	0.382697179977202	52	8	0.00250034093042509	0.0148333563438704
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Thelebolales..f__Pseudeurotiaceae..g__Geomyces..s__Geomyces_auratus	Site	TP	-0.835171964008912	0.264102102096456	52	10	0.00266033021384632	0.0148333563438704
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.3	Site	TP	1.43698809953572	0.461566794856455	52	13	0.00305829810106454	0.0165507897234081
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Clavariaceae....	Site	TP	-1.15861577745374	0.381010416264496	52	8	0.00374918673052392	0.0197100102404686
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Microbotryales..f__unidentified..g__unidentified..s__Microbotryales_sp	Site	TP	2.35018385651096	0.783215346217747	52	32	0.00419370217477046	0.0203063473725727
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Venturiales..f__Sympoventuriaceae..g__unidentified..s__Sympoventuriaceae_sp	Site	TP	1.58143110752334	0.524048911401693	52	11	0.00399977049768383	0.0203063473725727
