feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.5	Site	TP	5.20686833561182	0.512310049410492	56	27	3.83942624376981e-14	4.33855165545988e-12
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp	Site	TP	3.53697655939964	0.363518345373485	56	37	1.78661467939438e-13	1.00943729385783e-11
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.4	Site	TP	2.79849097563285	0.415492166136538	56	23	1.10790038466207e-08	4.17309144889378e-07
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.6	Site	TP	1.95080011020097	0.316740901608176	56	24	9.47167966679805e-08	2.67574950587045e-06
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.1	Site	TP	2.57670666921478	0.423278819950088	56	30	1.23419123427336e-07	2.7892721894578e-06
k__Fungi.............2	Site	TP	-2.58327086502053	0.434352511138898	56	17	2.07059466183835e-07	3.89961994646222e-06
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.2	Site	TP	2.02655497295091	0.35465416134489	56	20	4.87851688031442e-07	7.87532010679328e-06
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Microbotryales..f__unidentified..g__unidentified..s__Microbotryales_sp	Site	TP	3.3081878730591	0.667390515565655	56	39	7.46538241243995e-06	0.000105448526575714
k__Fungi.............9	Site	TP	1.45769135080244	0.333444807767526	56	16	5.65522655624814e-05	0.000710045112062267
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Hyaloscyphaceae....	Site	TP	-1.44509489822848	0.363626374260568	56	10	0.000211142679942319	0.00238591228334821
k__Fungi............	Site	TP	-2.14415343745136	0.550655361283336	56	39	0.000273669981671536	0.00281133708444396
k__Fungi.............6	Site	TP	-1.74613596295353	0.477112267980415	56	9	0.000574519615730119	0.0052651684446446
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Mollisiaceae..g__Phialocephala...1	Site	TP	-1.18079443719503	0.324141599613208	56	13	0.000605727343189201	0.0052651684446446
k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Filobasidiales..f__unidentified..g__unidentified..s__Filobasidiales_sp	Site	TP	-1.32827749610785	0.373332734205714	56	9	0.000787936879683845	0.00635977624316247
