feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.4	Site	TP	5.28582002377261	0.458449430070591	59	27	1.57985747752155e-16	2.19600189375495e-14
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.2	Site	TP	5.91375978840083	0.539481640454154	59	28	1.1660336556827e-15	8.10393390699477e-14
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.6	Site	TP	2.90961569713975	0.372788441091779	59	30	1.44964560582912e-10	6.71669130700828e-09
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.5	Site	TP	4.61546739369577	0.715812452174694	59	28	2.63060976790508e-08	9.14136894347017e-07
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.1	Site	TP	2.94165272832814	0.465208934271592	59	35	4.2270435200555e-08	1.17511809857543e-06
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Microbotryales..f__unidentified..g__unidentified..s__Microbotryales_sp	Site	TP	4.8386147524707	0.787279667354873	59	38	8.28413035572134e-08	1.91915686574211e-06
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp	Site	TP	2.45326458422033	0.437188472968841	59	29	6.16838302400872e-07	1.22486462905316e-05
k__Fungi.............2	Site	TP	-2.93841146198645	0.53702576451386	59	29	1.03601004251128e-06	1.63807251950471e-05
k__Fungi.............9	Site	TP	1.64189672871743	0.300422743879873	59	18	1.06062249464334e-06	1.63807251950471e-05
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Cucurbitariaceae..g__Pyrenochaeta..s__Pyrenochaeta_sp	Site	TP	1.89402216176556	0.422211436301672	59	18	3.56898073842521e-05	0.000496088322641104
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..s__Piloderma_sp.3	Site	TP	-1.3183303117994	0.340797106781727	59	11	0.00028385970905289	0.0035869545053047
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Helotiaceae..g__Meliniomyces..s__Meliniomyces_sp	Site	TP	-1.73020046109857	0.45766841008818	59	11	0.000376887452092217	0.00436561298673485
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae.....1	Site	TP	1.41129465337776	0.379003734145437	59	11	0.000451827191791214	0.00483107535838298
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Hyaloscyphaceae....	Site	TP	-1.29462693973976	0.365573617740964	59	10	0.000801331313284861	0.00742567016977305
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Russulales..f__Russulaceae..g__Russula..s__Russula_griseascens	Site	TP	-0.946757976383616	0.267199320386105	59	10	0.000796604587142639	0.00742567016977305
