feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Exophiala..s__Exophiala_radicis	Site	SJ	3.81226284980843	0.296998906690096	216	108	2.41838958114081e-28	2.34583789370658e-26
k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Filobasidiales..f__Piskurozymaceae..g__Solicoccozyma..s__Solicoccozyma_aeria	Site	SJ	3.95013143374949	0.312647599724654	216	103	1.05030686129329e-27	3.39599218484831e-26
k__Fungi.............1	Site	SJ	-3.28357915450625	0.259381555141847	216	51	8.76713862275658e-28	3.39599218484831e-26
k__Fungi............	Site	SJ	-4.30782851897983	0.383151776594085	216	48	2.389324381268e-23	5.79411162457489e-22
k__Fungi.............2	Site	SJ	-2.51933761306524	0.235591569518943	216	56	1.16724357420477e-21	2.26445253395726e-20
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Polyporales..f__Ganodermataceae..g__Ganoderma..s__Ganoderma_applanatum	Site	SJ	2.88840025490898	0.285399957790129	216	89	6.34335400985959e-20	1.02550889826063e-18
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..s__Piloderma_olivaceum	Site	SJ	-3.40528649168576	0.3401653214039	216	43	1.35320296776654e-19	1.87515268390506e-18
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Linnemannia..s__Linnemannia_amoeboidea	Site	SJ	3.79227861421922	0.44368808042359	216	121	2.39785805931102e-15	2.90740289691461e-14
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae....	Site	SJ	-2.59954131193629	0.317990583562246	216	62	2.58661711289353e-14	2.78779844389636e-13
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..	Site	SJ	-3.28015333407339	0.410726234140568	216	36	8.46304389910811e-14	8.20915258213486e-13
k__Fungi..p__Ascomycota..c__Saccharomycetes..o__Saccharomycetales..f__unidentified..g__unidentified..s__Saccharomycetales_sp	Site	SJ	3.27839671354063	0.428095446850983	216	79	6.42599951884462e-13	5.19434961106607e-12
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..s__Piloderma_lanatum	Site	SJ	-1.83043654082619	0.238634478640445	216	27	5.95830653011924e-13	5.19434961106607e-12
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Microbotryales..f__unidentified..g__unidentified..s__Microbotryales_sp	Site	SJ	2.58296396725693	0.345574212335369	216	141	1.95933991332789e-12	1.35754265423432e-11
k__Fungi..p__Basidiomycota...........2	Site	SJ	-1.19590368678257	0.159943684505204	216	28	1.92865518730819e-12	1.35754265423432e-11
