feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..s__Piloderma_olivaceum	Site	SJ	-1.63838327632199	0.21206495873308	74	16	4.97715017699114e-11	7.0177817495575e-09
k__Fungi............	Site	SJ	-2.31178004305566	0.318043511707947	74	15	3.52121846860905e-10	2.48245902036938e-08
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..	Site	SJ	-1.47526937323282	0.219925595774819	74	14	3.80094885857382e-09	1.33983447264727e-07
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__unidentified..g__unidentified..s__Chaetothyriales_sp	Site	SJ	-2.87149649609131	0.42639386841276	74	14	3.40152901956488e-09	1.33983447264727e-07
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora..	Site	SJ	-3.84742744147644	0.580668701630033	74	40	5.37172841717096e-09	1.51482741364221e-07
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora..s__Cladophialophora_sylvestris	Site	SJ	-1.82617268907478	0.306798423298514	74	12	8.80634597479545e-08	2.06949130407693e-06
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Russulales..f__Russulaceae..g__Russula..s__Russula_griseascens	Site	SJ	-2.14246736434611	0.371409253177976	74	12	1.86281420180664e-07	3.75224003506765e-06
k__Fungi.............1	Site	SJ	-1.57112844089102	0.275599981590105	74	13	2.45023225378446e-07	4.31853434729511e-06
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Exophiala..s__Exophiala_radicis	Site	SJ	3.06607951819849	0.57373265407837	74	34	1.01891103823537e-06	1.59629395990208e-05
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Lentitheciaceae..g__Lentithecium..s__Lentithecium_sp	Site	SJ	-1.85234481946512	0.351613061502463	74	11	1.37424530700034e-06	1.93768588287048e-05
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Polyporales..f__Ganodermataceae..g__Ganoderma..s__Ganoderma_applanatum	Site	SJ	1.98405762544901	0.380640225800355	74	31	1.70965634631843e-06	2.1914685893718e-05
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Helotiaceae..g__Meliniomyces..s__Meliniomyces_sp	Site	SJ	-2.0005780700277	0.395776246470401	74	10	3.1552847608964e-06	3.54662479929311e-05
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales.......1	Site	SJ	-2.99137888719901	0.592871120142148	74	51	3.2699377582135e-06	3.54662479929311e-05
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Cortinariaceae..g__Cortinarius..s__Cortinarius_mucosus	Site	SJ	-2.9774777594716	0.602785719299154	74	10	4.91573386579443e-06	4.9508462505501e-05
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora...3	Site	SJ	-1.86254837979493	0.385214857253377	74	10	7.31764152661517e-06	6.87858303501826e-05
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora..s__Cladophialophora_humicola	Site	SJ	-1.52068099013617	0.31953870501842	74	10	9.75543527532604e-06	8.59596836253905e-05
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Thelebolales..f__Pseudeurotiaceae..g__Geomyces..s__Geomyces_auratus	Site	SJ	-1.16637739929112	0.245920466749051	74	10	1.03639334867492e-05	8.59596836253905e-05
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Linnemannia..s__Linnemannia_amoeboidea	Site	SJ	3.10220991117162	0.667977893086889	74	48	1.49946143425168e-05	9.61018464679484e-05
k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Filobasidiales..f__Piskurozymaceae..g__Solicoccozyma..s__Solicoccozyma_aeria	Site	SJ	2.60695037276368	0.557366706580094	74	33	1.3254248172056e-05	9.61018464679484e-05
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Trichomeriaceae..g__Knufia..s__Knufia_peltigerae	Site	SJ	1.79463586447994	0.38412635944403	74	27	1.35176287085139e-05	9.61018464679484e-05
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__unidentified..f__unidentified..g__unidentified..s__Microbotryomycetes_sp	Site	SJ	-1.36702787397399	0.294182292223115	74	10	1.4845006335468e-05	9.61018464679484e-05
