feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Exophiala..s__Exophiala_radicis	Site	SJ	3.18635560116484	0.335280742225225	72	37	3.17685369755853e-14	2.92270540175384e-12
k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Filobasidiales..f__Piskurozymaceae..g__Solicoccozyma..s__Solicoccozyma_aeria	Site	SJ	3.43234999324588	0.368125663749532	72	36	6.75587528498755e-14	3.10770263109427e-12
k__Fungi............	Site	SJ	-3.42275439440203	0.483741735985924	72	23	9.09316420548157e-10	2.78857035634768e-08
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Microbotryales..f__unidentified..g__unidentified..s__Microbotryales_sp	Site	SJ	3.44482923996142	0.538656976642539	72	48	1.55113451466709e-08	2.85408750698745e-07
k__Fungi.............2	Site	SJ	-2.76214769182675	0.431047535686238	72	25	1.47145620567621e-08	2.85408750698745e-07
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Polyporales..f__Ganodermataceae..g__Ganoderma..s__Ganoderma_applanatum	Site	SJ	2.81103494280067	0.456187961596485	72	28	4.04611917261854e-08	6.2040493980151e-07
k__Fungi.............1	Site	SJ	-1.7544137057212	0.295053028412271	72	17	9.75105445685396e-08	1.28156715718652e-06
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..s__Piloderma_olivaceum	Site	SJ	-3.2385624764462	0.55083463356237	72	17	1.27745178351578e-07	1.46906955104314e-06
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Linnemannia..s__Linnemannia_amoeboidea	Site	SJ	3.7861848662483	0.662011339977267	72	39	2.43384482934579e-07	2.23913724299813e-06
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Microbotryales..f__unidentified..g__unidentified..s__Microbotryales_sp.1	Site	SJ	3.02275843269912	0.527242403566812	72	55	2.30161253421884e-07	2.23913724299813e-06
k__Fungi..p__Ascomycota..c__Saccharomycetes..o__Saccharomycetales..f__unidentified..g__unidentified..s__Saccharomycetales_sp	Site	SJ	3.76825519370362	0.671380383348996	72	29	3.7251847800779e-07	3.11560908879243e-06
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp	Site	SJ	3.13767653746574	0.568019072199176	72	37	5.30148901133173e-07	4.06447490868766e-06
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae....	Site	SJ	-2.35857464574106	0.452921979025758	72	25	1.83421771909937e-06	1.29806177043956e-05
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..s__Piloderma_lanatum.1	Site	SJ	-2.97085090964776	0.590754022282616	72	12	3.65007922000389e-06	2.39862348743113e-05
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..	Site	SJ	-2.39784970439428	0.51453188472912	72	14	1.46387492142021e-05	8.41728079816621e-05
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae..g__Pseudotomentella..s__Pseudotomentella_nigra	Site	SJ	-1.88031784549182	0.403210603856866	72	12	1.44710786526104e-05	8.41728079816621e-05
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Helotiaceae..g__Meliniomyces..s__Meliniomyces_sp	Site	SJ	-1.82891701121565	0.400927341257931	72	11	2.10508581050946e-05	0.000113922290921689
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Mortierella..	Site	SJ	2.6910330381307	0.600721896286534	72	20	2.84079971419518e-05	0.000145196429836642
k__Fungi..p__Basidiomycota...........2	Site	SJ	-1.4803663874964	0.338756939567187	72	13	4.22337750641877e-05	0.00020450038452133
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Hyaloscyphaceae....	Site	SJ	-1.27315545349024	0.301330435754219	72	10	7.07854718583742e-05	0.000325613170548521
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.5	Site	SJ	1.95870576684042	0.480720164496277	72	20	0.000119942722971119	0.000525463357778235
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..s__Piloderma_sp.1	Site	SJ	-2.82389998551716	0.699075003147464	72	14	0.000135409420843296	0.000566257578071967
k__Fungi.............3	Site	SJ	-1.02349337486908	0.264330772447139	72	10	0.000239883743851841	0.000959534975407364
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.3	Site	SJ	2.71036386923298	0.745191300143315	72	23	0.00052298761876621	0.00200478587193714
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Cortinariaceae..g__Cortinarius..s__Cortinarius_ahsii	Site	SJ	-2.33651567991866	0.649955752432978	72	10	0.000599941615280699	0.00206935073986581
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.4	Site	SJ	1.84804290672992	0.514615594019655	72	17	0.000607309456264965	0.00206935073986581
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Clavariaceae....	Site	SJ	-1.37225807229403	0.380330178321295	72	9	0.0005748400860492	0.00206935073986581
k__Fungi..p__Basidiomycota..........	Site	SJ	-1.23526381682511	0.357343872104915	72	16	0.000933512712000067	0.00306725605371451
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora..	Site	SJ	-0.994775498345102	0.289831332079914	72	13	0.00100873222703722	0.00320011603060083
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae.....1	Site	SJ	1.28769998094412	0.380038977016663	72	16	0.00115788312937172	0.00353410411311363
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Ploettnerulaceae..g__Cadophora..s__Cadophora_ramosa	Site	SJ	1.41982486181258	0.420146486062677	72	17	0.00119083942941872	0.00353410411311363
