feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.6	Site	TP	2.29677808319805	0.178185060805528	225	63	8.8660653944963e-29	8.42276212477149e-27
k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Filobasidiales..f__Piskurozymaceae..g__Solicoccozyma..s__Solicoccozyma_aeria	Site	TP	-3.74850008918313	0.319734963723051	225	107	4.80585781585934e-25	2.26229564024778e-23
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Exophiala..s__Exophiala_radicis	Site	TP	-3.48078681671035	0.298281430679005	225	112	7.14409149551929e-25	2.26229564024778e-23
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Mollisiaceae..g__Phialocephala..	Site	TP	3.5690608384651	0.315474483768247	225	88	9.51806857414968e-24	2.26054128636055e-22
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.5	Site	TP	1.97414635040286	0.188574319018961	225	57	4.04393436805018e-21	7.68347529929534e-20
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae....	Site	TP	3.11367478962003	0.310916832649389	225	71	9.85635697259574e-20	1.56058985399432e-18
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae..g__Pseudotomentella..s__Pseudotomentella_nigra	Site	TP	2.98654207091501	0.341442023487693	225	41	5.429371006747e-16	7.36843208058522e-15
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Linnemannia..s__Linnemannia_amoeboidea	Site	TP	-3.50532954399805	0.411604619989784	225	118	2.46082352692524e-15	2.92222793822372e-14
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.1	Site	TP	3.60620000601704	0.424388350311607	225	90	2.78199368821974e-15	2.93654889312084e-14
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Polyporales..f__Ganodermataceae..g__Ganoderma..s__Ganoderma_applanatum	Site	TP	-2.46233546619369	0.296544646996788	225	98	9.75627496227993e-15	9.26846121416593e-14
k__Fungi............	Site	TP	2.47205677511391	0.305076357609305	225	42	3.51099767656563e-14	2.77953982728112e-13
k__Fungi.............2	Site	TP	1.04338232345172	0.128668958281295	225	35	3.38034863074931e-14	2.77953982728112e-13
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Microbotryales..f__unidentified..g__unidentified..s__Microbotryales_sp.1	Site	TP	-2.6163789797613	0.323935449147087	225	150	4.14673382653709e-14	3.03030548862326e-13
k__Fungi..p__Ascomycota..c__Saccharomycetes..o__Saccharomycetales..f__unidentified..g__unidentified..s__Saccharomycetales_sp	Site	TP	-3.11679944324824	0.391584337387999	225	78	8.70501704407193e-14	5.90697585133452e-13
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp	Site	TP	1.69427100862886	0.225297058991397	225	40	1.32513127741372e-12	8.39249809028689e-12
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp.2	Site	TP	1.80728010578066	0.241282175090592	225	34	1.58946048190558e-12	9.43742161131441e-12
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae....	Site	TP	2.56104010884748	0.367771472548601	225	47	3.67135555731424e-11	2.05163987026384e-10
k__Fungi..p__Ascomycota..c__Lecanoromycetes..o__Pertusariales..f__Pertusariaceae..g__Varicellaria..s__Varicellaria_sp	Site	TP	1.7123426450018	0.246477357698878	225	34	4.03985841876369e-11	2.13214749879195e-10
