feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae....	Site	TP	5.39989126661215	0.493834257215023	76	31	4.12950895880345e-17	6.19426343820518e-15
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora...2	Site	TP	5.28953663971056	0.543350549171776	76	28	6.89247811149286e-15	5.16935858361965e-13
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora..s__Cladophialophora_humicola	Site	TP	2.26972626995852	0.288236711950236	76	17	2.23622603397301e-11	1.1181130169865e-09
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Cucurbitariaceae..g__unidentified..s__Cucurbitariaceae_sp	Site	TP	1.72486402179097	0.268376480266491	76	19	1.12724131026229e-08	4.22715491348359e-07
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp	Site	TP	1.98049057998342	0.31324142581813	76	20	1.74979794506346e-08	5.24939383519037e-07
k__Fungi..p__Ascomycota..c__Lecanoromycetes..o__Pertusariales..f__Pertusariaceae..g__Varicellaria..s__Varicellaria_sp	Site	TP	1.29854751297382	0.214173096395036	76	17	5.17358787394576e-08	1.29339696848644e-06
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae..g__Pseudotomentella..s__Pseudotomentella_nigra	Site	TP	2.17672637205297	0.361734222326766	76	14	6.25103090502104e-08	1.33950662250451e-06
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp.3	Site	TP	1.8997920863305	0.334284442303261	76	15	2.46819469502418e-07	4.62786505317033e-06
k__Fungi..p__Ascomycota...........4	Site	TP	1.55299295999834	0.282500627405348	76	12	5.23564058597026e-07	8.72606764328377e-06
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Cucurbitariaceae..g__Pyrenochaeta..s__Pyrenochaeta_sp	Site	TP	2.92679680375053	0.541842520056115	76	31	7.68565240982808e-07	1.12501342605493e-05
k__Fungi..p__Ascomycota..c__Pezizomycetes..o__Pezizales..f__Sarcosomataceae..g__Pseudoplectania..s__Pseudoplectania_lignicola	Site	TP	1.27238116447284	0.236334358799871	76	13	8.25009845773613e-07	1.12501342605493e-05
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae....	Site	TP	2.53711664705515	0.47985020563017	76	12	1.21105760444784e-06	1.5138220055598e-05
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae.....2	Site	TP	1.22453498722059	0.234586205552435	76	12	1.58041302165034e-06	1.82355348651963e-05
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora..s__Cladophialophora_minutissima	Site	TP	1.40561469724682	0.271678306922523	76	12	1.8953122000373e-06	2.03069164289711e-05
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp.9	Site	TP	1.25876278933841	0.245936293983905	76	11	2.3567076553248e-06	2.3567076553248e-05
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Entolomataceae..g__Clitopilus..s__Clitopilus_sp.1	Site	TP	1.97610164581858	0.389089786024882	76	12	2.74947540825272e-06	2.57763319523693e-05
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora..s__Cladophialophora_humicola.3	Site	TP	0.883712787780643	0.176456574991997	76	14	3.61899188196256e-06	3.19322813114344e-05
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Linnemannia..s__Linnemannia_amoeboidea	Site	TP	-2.91960075347709	0.593305382969763	76	42	5.06787622923772e-06	4.22323019103144e-05
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae.....1	Site	TP	1.77048389832801	0.364227411028534	76	14	6.3791077880092e-06	5.03613772737568e-05
k__Fungi..p__Basidiomycota..c__Agaricomycetes........	Site	TP	2.27550262712501	0.489403935565666	76	13	1.42073282871511e-05	0.000106554962153634
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Cucurbitariaceae..g__unidentified..s__Cucurbitariaceae_sp.1	Site	TP	1.24260977656624	0.270448839955314	76	15	1.74449427909249e-05	0.000124606734220892
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora...1	Site	TP	-3.08005758354662	0.681756379786229	76	25	2.31996921215576e-05	0.00015817971901062
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Exophiala..s__Exophiala_radicis	Site	TP	-2.70114109736837	0.60033982154931	76	35	2.48379287096895e-05	0.000161986491584932
k__Fungi..p__Ascomycota..c__Leotiomycetes.........1	Site	TP	1.39275219907013	0.313542131605098	76	12	3.06719914621371e-05	0.000191699946638357
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp.6	Site	TP	1.63661847463278	0.370657791163171	76	23	3.38030223041203e-05	0.000195627041419951
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Hyaloscyphaceae....	Site	TP	1.09927097082682	0.249008649692855	76	9	3.39086871794583e-05	0.000195627041419951
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Lentitheciaceae..g__unidentified..s__Lentitheciaceae_sp	Site	TP	0.818203600518213	0.186590911463063	76	9	3.77729855331261e-05	0.000209849919628478
k__Fungi..p__Basidiomycota..........	Site	TP	0.944789749606061	0.216456897005327	76	11	4.06566497044525e-05	0.000217803480559567
k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Filobasidiales..f__Piskurozymaceae..g__Solicoccozyma..s__Solicoccozyma_aeria	Site	TP	-2.40482150783466	0.552337591925449	76	34	4.22978485766026e-05	0.00021878197539622
k__Fungi..p__Ascomycota..c__Orbiliomycetes..o__Orbiliales......	Site	TP	1.01437274133969	0.237421501022745	76	9	5.67653523791205e-05	0.000278507404799127
k__Fungi..p__Ascomycota...........5	Site	TP	1.40119123236959	0.328255782894964	76	13	5.75581969918195e-05	0.000278507404799127
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__unidentified..g__unidentified..s__Chaetothyriales_sp	Site	TP	1.8329912811883	0.431288817730405	76	12	6.15235445701989e-05	0.000286431064019974
k__Fungi.............8	Site	TP	0.855375014951322	0.201580204188291	76	9	6.30148340843943e-05	0.000286431064019974
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Microbotryales..f__unidentified..g__unidentified..s__Microbotryales_sp.1	Site	TP	-2.65047939310505	0.633972728908983	76	42	7.87859160109713e-05	0.000347584923577815
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Trichomeriaceae..g__Knufia..s__Knufia_peltigerae	Site	TP	-1.41015919300914	0.339997513350427	76	27	8.86275448594691e-05	0.000379832335112011
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Polyporales..f__Ganodermataceae..g__Ganoderma..s__Ganoderma_applanatum	Site	TP	-1.9448601905618	0.476724386517031	76	34	0.000112592906108368	0.000469137108784865
k__Fungi............	Site	TP	1.28898035719629	0.317208958165137	76	11	0.00011913875985811	0.000475076157385419
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Trichomeriaceae..g__Knufia..	Site	TP	-1.29280407279266	0.318376894842486	76	22	0.000120352626537639	0.000475076157385419
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Cucurbitariaceae..g__Pyrenochaeta..s__Pyrenochaeta_sp.3	Site	TP	0.862556959356328	0.213271326847098	76	8	0.000127362923756849	0.000489857399064804
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Mollisiaceae..g__Phialocephala..	Site	TP	1.91843379944522	0.485103885103589	76	23	0.00017388640957439	0.000652074035903962
k__Fungi..p__Basidiomycota..c__Agaricomycetes.........1	Site	TP	1.1743134810077	0.299763398869472	76	8	0.000197635451920781	0.000723056531417493
k__Fungi..p__Ascomycota..c__Saccharomycetes..o__Saccharomycetales..f__unidentified..g__unidentified..s__Saccharomycetales_sp	Site	TP	-2.80918585078564	0.72250518656163	76	26	0.000218525171754388	0.000749059396467431
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Venturiales..f__Sympoventuriaceae..g__unidentified..s__Sympoventuriaceae_sp	Site	TP	1.20895075514328	0.310261356052844	76	11	0.000212312448218597	0.000749059396467431
k__Fungi.............11	Site	TP	0.879454153981199	0.226283376355745	76	8	0.000219724089630447	0.000749059396467431
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..s__Piloderma_olivaceum	Site	TP	1.73602946760164	0.455428010853352	76	8	0.000283147556522773	0.000931173760675896
