feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae....	Site	TP	4.60892554488064	0.459867773675883	76	35	2.0031117822032e-15	2.10326737131336e-13
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.5	Site	TP	2.7498524574768	0.279497263228711	76	30	4.41231788890604e-15	2.31646689167567e-13
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.6	Site	TP	1.99012440789825	0.238295722065634	76	24	2.80154678417085e-12	9.80541374459797e-11
k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Filobasidiales..f__Piskurozymaceae..g__Solicoccozyma..s__Solicoccozyma_aeria	Site	TP	-3.98240613708289	0.516316701049109	76	35	4.51062348914088e-11	1.18403866589948e-09
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Mollisiaceae..g__Phialocephala..	Site	TP	2.59738505511582	0.342035510210462	76	31	7.5675684256734e-11	1.58918936939141e-09
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Exophiala..s__Exophiala_radicis	Site	TP	-3.23612012177499	0.435866004925148	76	39	1.57615091849097e-10	2.75826410735919e-09
k__Fungi............	Site	TP	1.65244869272508	0.253311022016684	76	18	7.50202668512713e-09	1.12530400276907e-07
k__Fungi.............5	Site	TP	1.43911969414956	0.238475694274541	76	16	5.82115571477171e-08	7.64026687563787e-07
k__Fungi..p__Basidiomycota..........	Site	TP	2.18815311130866	0.391568372519246	76	19	3.6288416025005e-07	4.23364853625058e-06
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Polyporales..f__Ganodermataceae..g__Ganoderma..s__Ganoderma_applanatum	Site	TP	-2.31774124771209	0.416907157046763	76	31	4.07696775696356e-07	4.28081614481173e-06
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp.1	Site	TP	1.97970409201243	0.413211516615541	76	13	8.32820998214764e-06	7.94965498295911e-05
k__Fungi.............1	Site	TP	1.23643259956146	0.262395036998955	76	14	1.12288146710761e-05	9.82521283719159e-05
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.1	Site	TP	2.28191241049182	0.491227555407377	76	40	1.44334020787936e-05	0.000116577478328717
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Linnemannia..s__Linnemannia_amoeboidea	Site	TP	-2.80244962603749	0.609399671848064	76	34	1.71812648552707e-05	0.000120390574421329
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Microbotryales..f__unidentified..g__unidentified..s__Microbotryales_sp.1	Site	TP	-2.55094655883447	0.554742424270262	76	56	1.71986534887613e-05	0.000120390574421329
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Helotiaceae..g__Meliniomyces..s__Meliniomyces_sp	Site	TP	1.37505286817158	0.300598772542564	76	12	1.88105574146758e-05	0.00012344428303381
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Mortierella..	Site	TP	-2.43447874832777	0.53930499292924	76	28	2.35212098804727e-05	0.000145278061026449
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae..g__Polyozellus..s__Polyozellus_sciastrus.1	Site	TP	1.67658611444263	0.388344273635328	76	14	4.82987928648863e-05	0.00026691438162174
k__Fungi.............2	Site	TP	0.940705228775592	0.217533085016742	76	11	4.7065153284155e-05	0.00026691438162174
k__Fungi..p__Ascomycota..c__Saccharomycetes..o__Saccharomycetales..f__unidentified..g__unidentified..s__Saccharomycetales_sp.2	Site	TP	0.72001886216991	0.174247949992868	76	10	9.35889612240089e-05	0.000491342046426047
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Ploettnerulaceae..g__Cadophora..s__Cadophora_ramosa	Site	TP	-1.66408418201236	0.414032142707685	76	18	0.000139054049655132	0.000695270248275659
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..s__Piloderma_sp.1	Site	TP	2.23842164181099	0.584490002811242	76	11	0.000266568049772281	0.00127225660118589
k__Fungi..p__Ascomycota..c__Pezizomycetes..o__Pezizales..f__Pyronemataceae..g__Tricharina..s__Tricharina_sp	Site	TP	-1.67618223924354	0.442322728764963	76	16	0.000305329511945355	0.00139389559801141
k__Fungi..p__Ascomycota..c__Saccharomycetes..o__Saccharomycetales..f__unidentified..g__unidentified..s__Saccharomycetales_sp	Site	TP	-1.23286329276908	0.332210560747822	76	23	0.000396958786960023	0.00154941349524363
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Tricholomataceae..g__Tricholoma..s__Tricholoma_saponaceum	Site	TP	2.75817102045861	0.743445325061075	76	14	0.000398420613062647	0.00154941349524363
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.11	Site	TP	1.16121640826789	0.311651463410823	76	12	0.000377714670950545	0.00154941349524363
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.13	Site	TP	0.555045092709855	0.148556758376533	76	9	0.000365025669658939	0.00154941349524363
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.7	Site	TP	-1.13784921419499	0.318045706915854	76	23	0.000615950434625036	0.00225115308863132
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae..g__Pseudotomentella..s__Pseudotomentella_nigra	Site	TP	2.11062633609833	0.592444203645799	76	15	0.000646858032969433	0.00225115308863132
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Mollisiaceae..g__Phialocephala..s__Phialocephala_helvetica	Site	TP	-1.58549584935921	0.446087515969165	76	49	0.000664626149976866	0.00225115308863132
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.8	Site	TP	0.851023130482568	0.238837925787704	76	8	0.000645580624276693	0.00225115308863132
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Russulales..f__Russulaceae..g__Russula..s__Russula_integriformis	Site	TP	-2.77366616344253	0.788954973754131	76	23	0.000752986814474216	0.00247073798499352
k__Fungi..p__Ascomycota..c__Laboulbeniomycetes..o__Pyxidiophorales..f__unidentified..g__unidentified..s__Pyxidiophorales_sp	Site	TP	-1.18070206070286	0.337541435955962	76	15	0.000797051505711752	0.00253607297271921
k__Fungi..p__Ascomycota..c__Pezizomycetes..o__Pezizales......	Site	TP	-1.20241770721727	0.347218990416	76	15	0.000891482740556102	0.00275310846348208
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Didymosphaeriaceae..g__Paraphaeosphaeria..s__Paraphaeosphaeria_viciae	Site	TP	-1.19176525410702	0.367515837893568	76	13	0.00177683444220241	0.00533050332660724
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.10	Site	TP	-0.906551521246221	0.280391768410768	76	16	0.00182989462847072	0.00533719266637294
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae.....1	Site	TP	1.01967685087815	0.316259087083907	76	8	0.0018808667485546	0.00533759482697927
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae.....2	Site	TP	-0.973779945373213	0.303330738486839	76	13	0.00196235826133287	0.00542230572210399
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Lyophyllaceae..g__Lyophyllum..s__Lyophyllum_sp	Site	TP	-1.06857452770671	0.339203670352265	76	13	0.00235414443634566	0.00633808117477678
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae..g__Polyozellus..s__Polyozellus_sciastrus	Site	TP	1.36059537236044	0.434968468629689	76	10	0.00251675297318057	0.00660647655459901
