feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.6	Site	TP	2.42928340135713	0.254816580720858	73	26	2.44492694770633e-14	2.37157913927514e-12
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.5	Site	TP	2.73823892440414	0.296836311853422	73	25	9.03573250931783e-14	4.38233026701915e-12
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Exophiala..s__Exophiala_radicis	Site	TP	-2.99977861154821	0.352862315710353	73	38	1.96651362039848e-12	6.35839403928843e-11
k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Filobasidiales..f__Piskurozymaceae..g__Solicoccozyma..s__Solicoccozyma_aeria	Site	TP	-3.21402170690624	0.409344805206693	73	38	3.15036186035118e-11	7.6396275113516e-10
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.1	Site	TP	3.30368333685773	0.474338242653804	73	36	1.36215524909485e-09	2.58923559959084e-08
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae....	Site	TP	3.15222419418088	0.455101612620718	73	29	1.60158903067475e-09	2.58923559959084e-08
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Mollisiaceae..g__Phialocephala..	Site	TP	2.8457320641147	0.414242927695526	73	34	2.03356380915144e-09	2.81793842125271e-08
k__Fungi.............4	Site	TP	1.61680401424002	0.23679468321176	73	18	2.42495611183552e-09	2.94025928560057e-08
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Cucurbitariaceae..g__Pyrenochaeta..s__Pyrenochaeta_sp	Site	TP	1.92383932639023	0.335812291751425	73	17	2.26165471942832e-07	2.43756119760607e-06
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Microbotryales..f__unidentified..g__unidentified..s__Microbotryales_sp.1	Site	TP	-2.4172217557251	0.447208992920576	73	52	8.23185296679855e-07	6.65408114816216e-06
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.4	Site	TP	3.17139002614209	0.584854407806537	73	42	7.68476981094902e-07	6.65408114816216e-06
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp.1	Site	TP	2.43177315645429	0.446119360830821	73	14	6.86722964511678e-07	6.65408114816216e-06
k__Fungi..p__Ascomycota..c__Saccharomycetes..o__Saccharomycetales..f__unidentified..g__unidentified..s__Saccharomycetales_sp	Site	TP	-2.99444044091133	0.566825148201175	73	29	1.33172548089223e-06	9.93672089588819e-06
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.12	Site	TP	1.16251881103314	0.23100027755379	73	13	3.51733623447871e-06	2.43701153388882e-05
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae..g__Pseudotomentella..s__Pseudotomentella_nigra	Site	TP	2.5320917446151	0.545477096013846	73	12	1.53851117225782e-05	9.84036156633614e-05
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Polyporales..f__Ganodermataceae..g__Ganoderma..s__Ganoderma_applanatum	Site	TP	-2.29592771033671	0.496145212105929	73	33	1.62315242331318e-05	9.84036156633614e-05
k__Fungi.............1	Site	TP	1.55230629393634	0.33877591844411	73	15	1.91994640926416e-05	0.000104229831218906
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae.....1	Site	TP	1.32415367901067	0.289110020434963	73	11	1.9341618164333e-05	0.000104229831218906
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.2	Site	TP	2.70798740247333	0.594933569739625	73	39	2.14701255327285e-05	0.000104932699529618
k__Fungi..p__Ascomycota..c__Lecanoromycetes..o__Pertusariales..f__Pertusariaceae..g__Varicellaria..s__Varicellaria_sp	Site	TP	1.07192914352754	0.235606483800023	73	14	2.16356081504368e-05	0.000104932699529618
k__Fungi............	Site	TP	1.72128642704499	0.389554376511385	73	20	3.49091252319796e-05	0.00016124691178581
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Linnemannia..s__Linnemannia_amoeboidea	Site	TP	-2.89733094288878	0.672237972221726	73	42	5.16293724716417e-05	0.000227638596806784
k__Fungi..p__Basidiomycota...........1	Site	TP	0.743684284771691	0.178179630173766	73	10	8.37454514086171e-05	0.000353187338549385
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Mortierella..	Site	TP	-2.46949688627607	0.596090178347534	73	22	9.33769531686901e-05	0.000377398519056789
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae....	Site	TP	1.35172384133915	0.32915627940713	73	11	0.000105990205935493	0.000411241999029713
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Mollisiaceae..g__Phialocephala..s__Phialocephala_helvetica	Site	TP	-2.02972059938546	0.497226166428619	73	42	0.000115462222858835	0.000430762908357962
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.10	Site	TP	1.39858575813009	0.35876195132826	73	12	0.000217213940259357	0.000780361192783615
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.7	Site	TP	-1.82715467535883	0.475907989617528	73	21	0.000265249511318676	0.000918900092782558
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora..s__Cladophialophora_humicola	Site	TP	0.440459878041888	0.118699031442222	73	8	0.000407350654764827	0.00136251770731684
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Boletales..f__Rhizopogonaceae..g__Rhizopogon..s__Rhizopogon_pseudoroseolus	Site	TP	0.580288152651677	0.15981343389668	73	8	0.000529223918992752	0.00171115733807657
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora..	Site	TP	0.827060129946326	0.229194914480281	73	8	0.000569457884105474	0.00178185208897519
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Ploettnerulaceae..g__Cadophora..s__Cadophora_ramosa	Site	TP	-1.43170176787645	0.411273225707123	73	17	0.000858117630892882	0.00260116906864405
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.8	Site	TP	0.710372864421202	0.205225429206229	73	8	0.000913636260577364	0.00268553688715165
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp	Site	TP	1.27366912783048	0.371128531110385	73	9	0.00100322518571628	0.00286214244160233
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..s__Piloderma_olivaceum	Site	TP	1.50623256578749	0.485008881166943	73	10	0.00272855897870272	0.00756200631240469
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Russulales..f__Russulaceae..g__Russula..s__Russula_integriformis	Site	TP	-2.17973274138705	0.720063769747884	73	20	0.00343861295673253	0.00926515157786265
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae.....1	Site	TP	-1.1568505489337	0.384184634572153	73	18	0.0036026215977647	0.00944471067522097
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..s__Piloderma_sp	Site	TP	1.28358423218632	0.428062671822664	73	10	0.00373718638587823	0.00953965998500495
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Cantharellales..f__Hydnaceae..g__Clavulina..	Site	TP	-1.9180225618604	0.643406676524649	73	15	0.00393245867633147	0.00978073055395262
k__Fungi..p__Ascomycota...........3	Site	TP	0.615373718261337	0.207787094806338	73	8	0.00416034095240853	0.0100888268095907
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Didymosphaeriaceae..g__Paraphaeosphaeria..s__Paraphaeosphaeria_viciae	Site	TP	-0.80134622247929	0.273005641790064	73	11	0.00448719107785884	0.0106160374281051
k__Fungi..p__Ascomycota..c__Laboulbeniomycetes..o__Pyxidiophorales..f__unidentified..g__unidentified..s__Pyxidiophorales_sp	Site	TP	-1.07461611035772	0.371742850397845	73	12	0.00509549420739529	0.0117681651932701
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Tricholomataceae..g__Tricholoma..s__Tricholoma_saponaceum	Site	TP	1.78179949130454	0.625618008827207	73	10	0.00574938126506983	0.0129695344816691
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Mortierella..s__Mortierella_yunnanensis	Site	TP	-1.10209784208556	0.394676950681383	73	11	0.00671800778269598	0.0148101535209434
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Cortinariaceae..g__Cortinarius..s__Cortinarius_ahsii	Site	TP	1.56016640783004	0.565986777920327	73	8	0.00741922656364876	0.0159925550371984
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Thelebolales..f__Pseudeurotiaceae..g__Pseudogymnoascus..s__Pseudogymnoascus_roseus	Site	TP	-1.00419974203911	0.375046173158425	73	24	0.0092062950337325	0.019413274310262
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.3	Site	TP	-1.66206984347963	0.632206852392968	73	28	0.0104905260653275	0.021650660177378
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Basidioascus..s__Basidioascus_undulatus	Site	TP	-0.758675949652795	0.303303390337239	73	9	0.014678888827737	0.0290582084957243
k__Fungi..p__Ascomycota..c__Sordariomycetes..o__Hypocreales..f__Hypocreales_fam_Incertae_sedis..g__Trichothecium..s__Trichothecium_crotocinigenum	Site	TP	-0.618630645201809	0.246958743824034	73	9	0.0145418672392715	0.0290582084957243
k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Filobasidiales..f__Piskurozymaceae..g__Solicoccozyma..s__Solicoccozyma_aeria.2	Site	TP	-0.297522193677401	0.119410111707622	73	8	0.0150548308275761	0.0292063718054976
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.9	Site	TP	-0.68758862362501	0.27831463933249	73	9	0.0158940207644049	0.0302298041989662
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae.....1	Site	TP	-0.67133660185893	0.280822827916416	73	8	0.0194755040047046	0.0363293055472375
k__Fungi..p__Basidiomycota..c__Microbotryomycetes.........1	Site	TP	-0.613335475375779	0.257787100565968	73	8	0.0200397116359102	0.0366764533713828
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.11	Site	TP	-0.604676851897209	0.256984100059191	73	9	0.0213984008781225	0.038209663870453
k__Fungi..p__Basidiomycota..........	Site	TP	0.665681449943132	0.283511060869022	73	16	0.0216652733286074	0.038209663870453
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Russulales..f__Russulaceae..g__Russula..s__Russula_aurantioflammans	Site	TP	-1.53698609947929	0.690342484446325	73	8	0.0291608602283394	0.0505107757526594
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Lycoperdaceae..g__Bovista..s__Bovista_promontorii	Site	TP	-0.802185022944559	0.363177871997326	73	8	0.0304177788340542	0.0517635885421625
k__Fungi.............3	Site	TP	-0.545281279120275	0.249179235808999	73	8	0.0319387935673961	0.0520217075011961
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae..g__Tomentella..s__Tomentella_longisterigmata	Site	TP	-0.430156381605877	0.196853393450389	73	8	0.0321783757739357	0.0520217075011961
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Pezizomycotina_fam_Incertae_sedis....	Site	TP	-0.4021239772012	0.183342439121224	73	9	0.0315626301724558	0.0520217075011961
k__Fungi..p__Ascomycota..c__Pezizomycetes..o__Pezizales..f__Pyronemataceae..g__Tricharina..s__Tricharina_sp	Site	TP	-0.905440661262994	0.421845403530657	73	14	0.0352609879933874	0.0560707513993209
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae....	Site	TP	-0.806392827643803	0.379849149280854	73	10	0.0372474062031512	0.0582741677694463
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..	Site	TP	0.719503489929497	0.340029593435803	73	8	0.0378524287619239	0.0582807236493113
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora...1	Site	TP	-0.412553795576585	0.196512329004202	73	9	0.0393394258504263	0.0596238173045524
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Mortierella...2	Site	TP	-0.7850193038287	0.382046385163948	73	13	0.0435818880853842	0.0650375868351118
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Basidioascus..	Site	TP	-0.791930396733786	0.387459962500948	73	10	0.0446739362546523	0.0656571487378981
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..s__Piloderma_lanatum	Site	TP	0.947035254524022	0.46854958903539	73	11	0.0470297991398096	0.0680879181576348
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Inocybaceae..g__Pseudosperma..s__Pseudosperma_amabile	Site	TP	-0.633995716127889	0.321820803369249	73	8	0.0527364552981107	0.0752270024105402
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Helotiales_fam_Incertae_sedis..g__Leptodophora..s__Leptodophora_orchidicola	Site	TP	-0.719553915244994	0.380708864345906	73	11	0.0628352221065403	0.0883335731062958
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__unidentified..g__unidentified..s__Mytilinidiales_sp	Site	TP	-0.434179465385269	0.241236042974562	73	8	0.0761387671050503	0.105506577274141
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Trichomeriaceae..g__Knufia..s__Knufia_peltigerae	Site	TP	-0.601482564576745	0.348871100244351	73	11	0.0890447382200474	0.12165267052598
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Tricholomataceae..g__Leucopaxillus..s__Leucopaxillus_laterarius	Site	TP	-0.758949301433254	0.443908861913015	73	12	0.09168944570339	0.123526058794845
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Trichomeriaceae..g__Knufia..s__Knufia_peltigerae.1	Site	TP	-0.441527236517373	0.264044193987168	73	13	0.0988921359812723	0.131404619043608
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Hygrophoraceae..g__Hygrophorus..s__Hygrophorus_chrysodon	Site	TP	-0.811950974211772	0.503704680010666	73	11	0.111407763972901	0.146034501423937
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp.2	Site	TP	-0.3092221863273	0.226525871923678	73	9	0.176543175973763	0.228329174259401
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Exophiala..	Site	TP	-0.294882137300205	0.218516204909842	73	8	0.181471902385892	0.231615454360941
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Microbotryales..f__unidentified..g__unidentified..s__Microbotryales_sp.2	Site	TP	-0.313307594654911	0.233688342288477	73	10	0.184289565474455	0.23215698507821
k__Fungi..p__Ascomycota...........1	Site	TP	0.452234379082094	0.345493267034766	73	8	0.194771147918086	0.242215401898132
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..s__Piloderma_sp.1	Site	TP	-0.356792671511079	0.284175011839316	73	12	0.213399708724859	0.262022427168498
k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Filobasidiales..f__Piskurozymaceae..g__Solicoccozyma..s__Solicoccozyma_aeria.1	Site	TP	-0.26182918591066	0.264696609668023	73	11	0.325940488386533	0.395202842168672
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Tremellodendropsidales..f__unidentified..g__unidentified..s__Tremellodendropsidales_sp	Site	TP	-0.227814160505536	0.243160171437315	73	8	0.351991507853556	0.420150161007292
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Hymenogastraceae..g__Hebeloma..	Site	TP	-0.284297283597596	0.305476235114362	73	9	0.355178486624721	0.420150161007292
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Tricholomataceae..g__Tricholoma..s__Tricholoma_triste	Site	TP	0.274135413216886	0.312193812129199	73	9	0.382854757576748	0.447432668493308
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Tricholomataceae..g__Tricholoma..s__Tricholoma_triste.1	Site	TP	-0.360127480387166	0.423808419301765	73	9	0.398325280234193	0.459970859318056
k__Fungi..p__Ascomycota..c__Pezizomycetes..o__Pezizales..f__Pyronemataceae..g__Wilcoxina..s__Wilcoxina_rehmii	Site	TP	-0.61469694539341	0.731250099877797	73	38	0.403387897920576	0.46033677762701
k__Fungi..p__Ascomycota..........	Site	TP	-0.23585489963865	0.334422316414572	73	22	0.482955450233488	0.54472882177498
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp	Site	TP	-0.400122402500535	0.612631031725256	73	54	0.515787490264505	0.575073408685713
k__Fungi..p__Basidiomycota...........2	Site	TP	-0.16300130414566	0.256999906497	73	8	0.527958230307102	0.581953958406692
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Microbotryales..f__unidentified..g__unidentified..s__Microbotryales_sp	Site	TP	0.380081175838853	0.618556484658788	73	66	0.540872384727573	0.582940236873051
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Mortierella..s__Mortierella_globalpina	Site	TP	0.169619060278298	0.272655929445347	73	9	0.535869292378875	0.582940236873051
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Helotiaceae..g__Meliniomyces..s__Meliniomyces_sp	Site	TP	0.139502743333979	0.230812413491736	73	8	0.547505134596006	0.583604374239699
k__Fungi.............2	Site	TP	0.219540541053633	0.385771285575233	73	10	0.57108759833042	0.595963398475476
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Exophiala..s__Exophiala_xenobiotica	Site	TP	0.148134105953535	0.264726864612875	73	10	0.577531540790667	0.595963398475476
k__Fungi..p__Ascomycota...........2	Site	TP	0.126894844839219	0.223670527624771	73	9	0.572279968523949	0.595963398475476
k__Fungi..p__Basidiomycota..c__Microbotryomycetes........	Site	TP	0.201650152790683	0.470628230945178	73	10	0.669605956937137	0.683702924451603
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Mortierella...1	Site	TP	-0.122114064383421	0.417127960086711	73	13	0.77056738096941	0.778594124521174
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales......	Site	TP	-0.0447953094639126	0.246848328880827	73	8	0.856516563566067	0.856516563566067
