#OTU ID	Site
ASCC1_C2_4_0923_SJ_1C_5	SJ
ASCC100_11_73_0923_TP_1C_5	TP
ASCC101_10_68_0928_TP_1C_5	TP
ASCC101_10_68_0928_TP_1C_5_REDO	TP
ASCC102_12_82_0923_TP_1C_5	TP
ASCC103_11_73_0923_TP_1C_15	TP
ASCC104_5_32_0923_TP_1C_15	TP
ASCC106_7_43_0923_TP_1C_5	TP
ASCC108_15_100_0923_TP_1C_5	TP
ASCC109_6_39_0923_TP_1C_5	TP
ASCC11_C2_5_0923_SJ_1C_15	SJ
ASCC110_1_3_0923_TP_1C_5	TP
ASCC111_7_44_0923_TP_1C_15	TP
ASCC113_12_84_0923_TP_1C_15	TP
ASCC114_9_60_0923_TP_1C_5	TP
ASCC114_9_60_0923_TP_1C_5_REDO	TP
ASCC115_3_15_0923_TP_1C_5	TP
ASCC116_4_24_0923_TP_1C_5	TP
ASCC117_14_94_0923_TP_1C_15	TP
ASCC118_16_110_0923_TP_1C_5	TP
ASCC119_11_72_0923_TP_1C_5	TP
ASCC12_T1A_6_0923_SJ_1C_5	SJ
ASCC120_3_16_0923_TP_1C_15	TP
ASCC121_6_38_0923_TP_1C_5	TP
ASCCI 23_2_12_0923_TP_1C_15	TP
ASCCI 23_2_12_0923_TP_1C_15_REDO	TP
ASCCC124_4_24_0923_TP_1C_15	TP
ASCC125_14_97_0923_TP_1C_5	TP
ASCC126_6_39_0923_TP_1C_15	TP
ASCC127_5_32_0923_TP_1C_5	TP
ASCC128_15_100_0923_TP_1C_15	TP
ASCC128_15_100_0923_TP_1C_15_DUPE	TP
ASCC129_13_87_0923_TP_1C_5	TP
ASCC13_T3A_4_0923_SJ_1C_5	SJ
ASCC13_T3A_4_0923_SJ_1C_5_REDO	SJ
ASCC130_4_26_0923_TP_1C_15	TP
ASCC131 _5_33_0923_TP_1C_5	TP
ASCC132_1_4_0923_TP_1C_5	TP
ASCC133_2_12_0923_TP_1C_15	TP
ASCC134_10_67_0923_TP_1C_15	TP
ASCC136_4_26_0923_TP_1C_5	TP
ASCC137_6_38_0923_TP_1C_15	TP
ASCC138_2_13_0923_TP_1C_15	TP
ASCC139_14_94_0923_TP_1C_5	TP
ASCC14_C1_2_0923_SJ_1C_5	SJ
ASCC140_5_33_0923_TP_1C_15	TP
ASCC141_7_43_0923_TP_1C_15	TP
ASCC142_9_58_0923_TP_1C_15	TP
ASCC110_1_3_0923_TP_1C_5	TP
ASCC145_15_101_0923_TP_1C_15	TP
ASCC146_12_82_0923_TP_1C_15	TP
ASCC148_10_67_0923_TP_1C_5	TP
ASCC149_3_16_0923_TP_1C_5	TP
ASCC15_T3C_4_0923_SJ_1C_5	SJ
ASCC150_9_58_0923_TP_1C_5	TP
ASCC151_9_60_0923_TP_1C_15	TP
ASCC152_7_44_0923_TP_1C_5	TP
ASCC153_13_87_0923_TP_1C_15	TP
ASCC154_15_101_0923_TP_1C_5	TP
ASCC154_15_101_0923_TP_1C_5_REDO	TP
ASCC155_13_88_0923_TP_1C_5	TP
ASCC156_8_52_0923_TP_1C_15	TP
ASCC157_13_88_0923_TP_1C_15	TP
ASCC 158_1_3_0923_TP_1C_15	TP
ASCC159_12_84_0923_TP_1C_5	TP
ASCC16_T3B_2_0923_SJ_1C_5	SJ
ASCC160_2_13_0923_TP_1C_OM	TP
ASCC161_6_38_0923_TP_1C_OM2	TP
ASCC162_1_3_0923_TP_1C_OM	TP
ASCC163_13_88_0923_TP_1C_OM	TP
ASCC164_2_12_0923_TP_1C_OM	TP
ASCC165_7_44_0923_TP_1C_OM	TP
ASCC166_5_32 0923_TP_1C_OM	TP
ASCC167_15_100_0923_TP_1C_OM	TP
ASCC168_10_68_0923_TP_1C_OM	TP
ASCC169_14_97_0923_TP_1C_OM	TP
ASCC17_T4A_3_0923_SJ_1C_15	SJ
ASCC170_12_82_0923_TP_1C_OM	TP
ASCC171_3_16_0923_TP_1C_OM	TP
ASCC171_3_16_0923_TP_1C_OM_REDO	TP
ASCC172_11_72_0923_TP_1C_OM	TP
ASCC173_5_33_0923_TP_1C_OM	TP
ASCC174_3_15_0923_TP_1C_OM	TP
ASCC175_10_67_0923_TP_1C_OM	TP
ASCC176_8_52_0923_TP_1C_OM	TP
ASCC177_14_94_0923_TP_1C_OM	TP
ASCC178_4_26_0923_TP_1C_OM	TP
ASCC179_16_110_0923_TP_1C_OM	TP
ASCC18_C3_5_0923_SJ_1C_15	SJ
ASCC180_7_43_0923_TP_1C_OM	TP
ASCC181_11_73_0923_TP_1C_OM	TP
ASCC182_1_4_0923_TP_1C_OM	TP
ASCC183_4_24_0923_TP_1C_OM	TP
ASCC184_6_39_0923_TP_1C_OM	TP
ASCC185_15_101_0923_TP_1C_OM	TP
ASCC186_9_60_0923_TP_1C_OM	TP
ASCC189_13_87_0923_TP_1C_OM	TP
ASCC19_T2B_2_0923_SJ_1C_15	SJ
ASCC190_16_111_0923_SJ_1C_OM	TP
ASCC191_T3B_2_0923_SJ_1C_OM	SJ
ASCC192_T2A_4_0923_SJ_1C_OM	SJ
ASCC194_C1_5_0923_SJ_1C_OM	SJ
ASCC194_C1_5_0923_SJ_1C_OM_DUPE	SJ
ASCC195_C2_2_0923_SJ_1C_OM	SJ
ASCC196_T1B_3_0923_SJ_1C_OM	SJ
ASCC198_T1C_6_0923_SJ_1C_OM	SJ
ASCC2_T1A_6_0923_SJ_1C_15	SJ
ASCC20_T3A_6_0923_SJ_1C_5	SJ
ASCC201_T2B_4_0923_SJ_1C_OM	SJ
ASCC202_C4_6_0923_SJ_1C_OM	SJ
ASCC203_C3_4_0923_SJ_1C_OM	SJ
