Sample_ID	Full_name_old	Plot	combo	Block_Unit	Depth	Date	samples	Weight (g)	combo	Unit	Block	Depth	Sampling Date	Soil Horizon	Date Processed	Sample Type	Water  (g)	Water Content [(w_d)/d]  (g/g)	Total Sample Dry Weight (g)	Soil pH	C (%)	N (%)	NH4_N (mg/L)	NO3_N(mg/L)	Notes		OTUID	D												
ASCC_1	SJ	C2	SJ_C2_0_5cm	4	0_5cm	9/26/23	ASCC1_C2_4_0923_SJ_1C_5	0.51	SJ_C2_0_5cm	C	2	0-5cm	9/26/23	Mineral	10/23/23	NORM	2.074	0.241724942	636.9365497	6.303	2.6822	0.1787	0.4332	0.0739			ASCC	1							C2	4	923	SJ	1C	5
ASCC_2	SJ	T1A	SJ_TA1_5-15cm	6	5_15cm	9/26/23	ASCC2_T1A_6_0923_SJ_1C_15	0.45	SJ_TA1_5-15cm	TA	1	5-15cm	9/26/23	Mineral	11/9/23	NORM	1.474	0.163777778	561.2239832	7.657	3.7772	0.2363	0	0			ASCC	100							11	73	923	TP	1C	5
ASCC_3	SJ	T4A	SJ_TA4_0-5cm	5	0-5cm	9/25/23	ASCC3_T4A_5_0923_SJ_1C_5	0.55	SJ_TA4_0-5cm	TA	4	0-5cm	9/28/23	Mineral	11/10/23	NORM	1.4	0.163551402	672.7850602	7.418	3.2942	0.3046	0	0			ASCC	101							10	68	928	TP	1C	5
ASCC_4	SJ	TB2	SJ_TB2_5-15cm	4	5_15cm	9/26/23	ASCC4_TB2_4_0923_SJ_1C_15	0.58	SJ_TB2_5-15cm	TB	2	5-15cm	9/26/23	Mineral	10/23/23	NORM	2.08	0.249759846	659.5667179	5.638	2.885	0.144	0.4132	0.0719			ASCC	102							12	82	923	TP	1C	5
ASCC_5	SJ	C2	SJ_C2_5-15cm	2	5_15cm	9/26/23	ASCC5_C2_2_0923_SJ_1C_15	0.46	SJ_C2_5-15cm	C	2	5-15cm	9/26/23	Mineral	10/23/23	NORM	1.61	0.191438763	694.6643214	6.444	3.795	0.1683	0.4777	0.0643			ASCC	103							11	73	923	TP	1C	15
ASCC_6	SJ	T4C	SJ_C2_5-15cm	6	0-5cm	9/28/23	ASCC6_T4C_6_0923_SJ_1C_5	0.38	SJ_TC4_0-5cm	TC	4	0-5cm	9/28/23	Mineral	11/7/23	NORM	0.9	0.098684211	890.3832335	8.213	3.7414	0.3687	0	0			ASCC	104							5	32	923	TP	1C	15
ASCC_7	SJ	T1C	SJ_TC1_0-5cm	4	0-5cm	9/26/23	ASCC7_T1C_4_0923_SJ_1C_5	0.41	SJ_TC1_0-5cm	TC	1	0-5cm	9/26/23	Mineral	11/9/23	NORM	0.81	0.088331516	561.2995591	7.682	2.947	0.1496	0	0			ASCC	106							7	43	923	TP	1C	5
ASCC_8	SJ	C3	SJ_C3_0-5cm	4	0-5cm	9/27/23	ASCC8_C3_4_0923_SJ_1C_5	0.47	SJ_C3_0-5cm	C	3	0-5cm	9/27/23	Mineral	10/24/23	NORM	0.94	0.103638368	647.9930569	6.293	4.1742	0.2154	0.9341	0.0807			ASCC	108							15	100	923	TP	1C	5
ASCC_9	SJ	T2C	SJ_TC2_0-5cm	5	0-5cm	9/27/23	ASCC9_T2C_5_0923_SJ_1C_5	0.36	SJ_TC2_0-5cm	TC	2	0-5cm	9/27/23	Mineral	10/24/23	NORM	0.76	0.081984898	641.423001	6.848	4.6641	0.2179	0.364	0.0893			ASCC	109							6	39	923	TP	1C	5
ASCC_10	SJ	T4A	SJ_TA4_0-5cm	6	0-5cm	9/28/23	ASCC10_T4A_6_0923_SJ_1C_5	0.4	SJ_TA4_0-5cm	TA	4	0-5cm	9/28/23	Mineral	11/10/23	NORM	1.4	0.163551402	672.7850602	7.418	3.2942	0.3046	0	0			ASCC	11							C2	5	923	SJ	1C	15
ASCC_11	SJ	C2	SJ_C2_5-15cm	5	5_15cm	9/26/23	ASCC11_C2_5_0923_SJ_1C_15	0.41	SJ_C2_5-15cm	C	2	5-15cm	9/26/23	Mineral	10/23/23	NORM	1.61	0.191438763	694.6643214	6.444	3.795	0.1683	0.4777	0.0643			ASCC	110							1	3	923	TP	1C	5
ASCC_12	SJ	T1A	SJ_TA1_0-5cm	6	0-5cm	9/26/23	ASCC12_T1A_6_0923_SJ_1C_5	0.62	SJ_TA1_0-5cm	TA	1	0-5cm	9/26/23	Mineral	11/9/23	NORM	1.04	0.116201117	771.5007508	6.99	3.3926	0.3452	0	0			ASCC	111							7	44	923	TP	1C	15
ASCC_13	SJ	T3A	SJ_TA3_0-5cm	4	0-5cm	9/27/23	ASCC13_T3A_4_0923_SJ_1C_5	0.51	SJ_TA3_0-5cm	TA	3	0-5cm	9/27/23	Mineral	10/24/23	NORM	0.8	0.086767896	1176.286128	6.68	4.3096	0.2055	0.3796	0.1129			ASCC	113							12	84	923	TP	1C	15
ASCC_14	SJ	C1	SJ_C1_0-5cm	2	0-5cm	9/26/23	ASCC14_C1_2_0923_SJ_1C_5	0.62	SJ_C1_0-5cm	C	1	0-5cm	9/26/23	Mineral	10/23/23	NORM	1.38	0.159537572	607.4663011	6.803	3.7215	0.2614	1.0409	0.0657			ASCC	114							9	60	923	TP	1C	5
ASCC_15	SJ	TC3	SJ_TC3_0-5cm	4	0-5cm	9/27/23	ASCC15_T3C_4_0923_SJ_1C_5	0.63	SJ_TC3_0-5cm	TC	3	0-5cm	9/27/23	Mineral	11/10/23	NORM	1.348	0.147161572	907.1084888	6.546	4.8052	0.2181	0	0			ASCC	115							3	15	923	TP	1C	5
ASCC_16	SJ	TB3	SJ_TB3_0-5cm	2	0-5cm	9/27/23	ASCC16_TB3_2_0923_SJ_1C_5	0.45	SJ_TB3_0-5cm	TB	3	0-5cm	9/27/23	Mineral	10/24/23	NORM	1.59	0.18973747	609.7479639	6.217	3.6398	0.2947	0.7141	0.0843			ASCC	116							4	24	923	TP	1C	5
ASCC_17	SJ	T4A	SJ_TA4_5-15cm	3	5_15cm	9/25/23	ASCC17_T4A_3_0923_SJ_1C_15	0.47	SJ_TA4_5-15cm	TA	4	5-15cm	9/28/23	Mineral	11/7/23	NORM	1.06	0.118568233	910.1367	7.674	3.7103	0.2864	0	0			ASCC	117							14	94	923	TP	1C	15
ASCC_18	SJ	C3	SJ_C3_0-5cm	5	0-5cm	9/27/23	ASCC18_C3_5_0923_SJ_1C_15	0.39	SJ_C3_0-5cm	C	3	0-5cm	9/27/23	Mineral	10/24/23	NORM	0.94	0.103638368	647.9930569	6.293	4.1742	0.2154	0.9341	0.0807			ASCC	118							16	110	923	TP	1C	5
ASCC_19	SJ	TB2	SJ_TB2_5-15cm	2	5_15cm	9/26/23	ASCC19_TB2_2_0923_SJ_1C_15	0.5	SJ_TB2_5-15cm	TB	2	5-15cm	9/26/23	Mineral	10/23/23	NORM	2.08	0.249759846	659.5667179	5.638	2.885	0.144	0.4132	0.0719			ASCC	119							11	72	923	TP	1C	5
ASCC_20	SJ	T3A	SJ_TA3_0-5cm	6	0-5cm	9/27/23	ASCC20_T3A_6_0923_SJ_1C_5	0.56	SJ_TA3_0-5cm	TA	3	0-5cm	9/27/23	Mineral	10/24/23	NORM	0.8	0.086767896	1176.286128	6.68	4.3096	0.2055	0.3796	0.1129			ASCC	12							T1A	6	923	SJ	1C	5
ASCC_21	SJ	T2C	SJ_TC2_5-15cm	3	5_15cm	9/27/23	ASCC21_T2C_3_0923_SJ_1C_15	0.59	SJ_TC2_5-15cm	TC	2	5-15cm	9/27/23	Mineral	10/25/23	NORM	0.77	0.083243243	654.4513473	6.915	3.5033	0.2615	0.4714	8.5137			ASCC	120							3	16	923	TP	1C	15
