samples	Sample	Full_name_old	Plot	combo	Block_Unit	Depth	Date	Weight (g)	combo	Unit	Block	Depth	Sampling Date	Soil Horizon	Date Processed	Sample Type	Water  (g)	Water Content [(w_d)/d]  (g/g)	Total Sample Dry Weight (g)	Soil pH	C (%)	N (%)	NH4_N (mg/L)	NO3_N(mg/L)
ASCC1_C2_4_0923_SJ_1C_5	Sample1	SJ	C2	SJ_C2_0_5cm	4	0_5cm	9/26/23	0.51	SJ_C2_0_5cm	C	2	0_5cm	9/26/23	Mineral	10/23/23	NORM	2.074	0.241724942	636.9365497	6.303	2.6822	0.1787	0.4332	0.0739
ASCC100_11_73_0923_TP_1C_5	Sample100	TP	11	TP_73_0_5cm	73	0_5cm	45175	0.68	TP_73_0_5cm	11	3	0_5cm	45175	Mineral	45189	NORM	1.034	0.111063373	621.4046984	5.085	2.978	0.0731	0.2717	0.0423
ASCC101_10_68_0928_TP_1C_5	Sample101	TP	10	TP_68_0_5cm	68	0_5cm	45175	0.34	TP_68_0_5cm	10	3	0_5cm	45175	Mineral	45190	NORM	0.888	0.09416755	513.385724	5.15	3.5482	0.1389	0.3015	0.0481
ASCC102_12_82_0923_TP_1C_5	Sample102	TP	12	TP_82_0_5cm	82	0_5cm	45174	0.58	TP_82_0_5cm	12	3	0_5cm	45174	Mineral	45189	NORM	1.022	0.109188034	350.3012907	5.228	4.9479	0.1383	0.2584	0.0558
ASCC103_11_73_0923_TP_1C_15	Sample103	TP	11	TP_73_5_15cm	73	5_15cm	45175	0.41	TP_73_5_15cm	11	3	5_15cm	45175	Mineral	45189	NORM	0.77	0.080628272	625.3214147	4.878	1.9252	0.031	0.1969	0.0442
ASCC104_5_32_0923_TP_1C_15	Sample104	TP	5	TP_32_5_15cm	32	5_15cm	45175	0.55	TP_32_5_15cm	5	2	5_15cm	45175	Mineral	45189	NORM	0.888	0.095074946	751.6380524	6.068	1.2623	0.0507	0.1967	0.048
ASCC106_7_43_0923_TP_1C_5	Sample106	TP	7	TP_43_0_5cm	43	0_5cm	45175	0.69	TP_43_0_5cm	7	2	0_5cm	45175	Mineral	45187	NORM	0.5	0.051387461	870.7541544	6.242	0.953	0.0433	0.3273	0.4553
ASCC108_15_100_0923_TP_1C_5	Sample108	TP	15	TP_100_0_5cm	100	0_5cm	45174	0.35	TP_100_0_5cm	15	4	0_5cm	45174	Mineral	45184	NORM	0.88	0.096174863	361.9677966	5.88	0.2406	0.053	0.2808	0.0372
ASCC109_6_39_0923_TP_1C_5	Sample109	TP	6	TP_39_0_5cm	39	0_5cm	45175	0.58	TP_39_0_5cm	6	2	0_5cm	45175	Mineral	45187	NORM	0.64	0.068449198	680.5751752	6.439	2.3208	0.0924	0.2	0.4885
ASCC11_C2_5_0923_SJ_1C_15	Sample11	SJ	C2	SJ_C2_5_15cm	5	5_15cm	45195	0.41	SJ_C2_5_15cm	C	2	5_15cm	45195	Mineral	45222	NORM	1.61	0.191438763	694.6643214	6.444	3.795	0.1683	0.4777	0.0643
ASCC110_1_3_0923_TP_1C_5	Sample110	TP	1	TP_3_0_5cm	3	0_5cm	45174	0.59	TP_3_0_5cm	1	1	0_5cm	45174	Mineral	45182	NORM	0.62	0.066027689	324.7195205	6.212	2.2166	0.0754	0.2955	0.0227
