OTUID	Number	ASCC_Site	Plot	Unit	Block	Depth	Sampling_Date	Soil_Horizon	Date_Processed	DOC	TDN	Na	NH4	K	Mg	Ca	Cl	NO3	PO4	SO4
ASCC1_C2_4_0923_SJ_1C_5	203	SJ	5	C	2	0_5cm		Mineral	10/23/23	14.315	4.2645	0.235	0.01	8.93	2.405	18.54	0.9175	9.613	1.0725	0.8515
ASCC100_11_73_0923_TP_1C_5	159	TP	73	11	3	0_5cm		Mineral	9/20/23	14.32	4.26	0.29	0.035	2.83	0.035	0.7345	0.8315	0.507709756	0.129590901	0.387
ASCC101_10_68_0928_TP_1C_5	165	TP	68	10	3	0_5cm		Mineral	9/21/23	15.4	1.09	0.395	1.22	2.45	0.215	0.675	0.721	0.033	0.348108012	0.564
ASCC102_12_82_0923_TP_1C_5	177	TP	82	12	3	0_5cm		Mineral	9/20/23	20.81	0.49785	0.545	0.07	7.235	1.875	8.15	1.9205	0.766019087	0.620506466	1.394
ASCC103_11_73_0923_TP_1C_15	160	TP	73	11	3	5_15cm		Mineral	9/20/23	7.32	0.12595	0.55	0.005	1.66	0.015	0.774352	1.1335	0.442209395	0.650612449	0.497
ASCC104_5_32_0923_TP_1C_15	117	TP	32	5	2	5_15cm		Mineral	9/20/23	15.755	1.2215	1.11	0.02	1.79	0.156316058	1.27	1.9795	0.0715	0.211919658	0.6285
ASCC106_7_43_0923_TP_1C_5	107	TP	43	7	2	0_5cm		Mineral	9/18/23	10.42	0.841	0.41	0.015	1.8	0.438217294	0.315	0.9825	0.004054189	0.786262071	0.655
ASCC108_15_100_0923_TP_1C_5	149	TP	100	15	4	0_5cm		Mineral	9/15/23	19.865	0.42155	0.435	0.005	4.79	0.215	0.51	2.815	0.535907821	0.226865246	0.682
ASCC109_6_39_0923_TP_1C_5	110	TP	39	6	2	0_5cm		Mineral	9/18/23	9.975	1.706	0.6	0.075	2.56	0.910663185	0.315	1.607	3.2065	0.531648862	0.6215
ASCC11_C2_5_0923_SJ_1C_15	195	SJ	2	C	2	5_15cm		Mineral	10/23/23	14.185	0.924	0.405	0.005	6.865	0.79	6.245	1.1715	0.642953322	0.8975	0.6305
ASCC110_1_3_0923_TP_1C_5	131	TP	3	1	1	0_5cm		Mineral	9/13/23	10.99	0.4801	0.44	0.09	3.615	0.387052107	3.635	1.616	0.4945	0.987066438	1.1565
ASCC111_7_44_0923_TP_1C_15	123	TP	44	7	2	5_15cm		Mineral	9/18/23	11.41	0.37025	0.61	0.145	1.985	0.365608565	0.51	1.3125	0.085	0.886302144	0.6675
ASCC113_12_84_0923_TP_1C_15	95	TP	84	12	3	5_15cm		Mineral	9/20/23	30.075	0.4879	0.71	0.285	2.435	0.73566452	1.27	1.824	0.3735	0.92006581	1.237
ASCC114_9_60_0923_TP_1C_5	162	TP	60	9	3	0_5cm		Mineral	9/20/23	26.745	1.1075	0.635	1.185	6.015	0.64	3.3	2.5565	0.0615	0.833969101	2.758
ASCC115_3_15_0923_TP_1C_5	104	TP	15	3	1	0_5cm		Mineral	9/18/23	17.32	1	0.605	0.285	3.185	0.082908457	2.3	1.787	0.114	0.39139623	0.8375
ASCC116_4_24_0923_TP_1C_5	98	TP	24	4	1	0_5cm		Mineral	9/18/23	18.955	0.79	0.64	0.22	2.8	0.205109362	3.895	1.096	0.0995	0.400762935	0.6605
ASCC117_14_94_0923_TP_1C_15	187	TP	94	14	4	5_15cm		Mineral	9/20/23	14.315	0.746	0.38	0.02	3.205	0.41	4.74	1.1815	0.414167317	0.284699495	0.6805
ASCC118_16_110_0923_TP_1C_5	91	TP	110	16	4	0_5cm		Mineral	9/21/23	14.795	0.618	1.21	0.52	4.49	0.260544889	2.44	5.9885	1.94	0.544045654	1.061
ASCC119_11_72_0923_TP_1C_5	171	TP	72	11	3	0_5cm		Mineral	9/20/23	5.59	0.9595	0.335	0.865	3.575	0.3	0.67	1.221	0.30616995	0.1335	0.5285
ASCC12_T1A_6_0923_SJ_1C_5	254	SJ	2	TA	1	0_5cm		Mineral	11/9/23	16.645	1.5205	0.715	0.405	3.205	0.42	1.16	2.2315	1.926	0.860097344	0.7765
ASCC120_3_16_0923_TP_1C_15	129	TP	16	3	1	5_15cm		Mineral	9/18/23	9.55	0.16555	0.595	0.05	1.06	0.946061133	0.185	0.804	0.335176211	0.662627467	0.5765
ASCC121_6_38_0923_TP_1C_5	155	TP	38	6	2	0_5cm		Mineral	9/20/23	12.535	1.619	0.5	1.1	8.9	0.68	2.205	0.763	0.0535	0.2105	0.5385
ASCC123_2_12_0923_TP_1C_15	141	TP	12	2	1	5_15cm		Mineral	9/15/23	10.38	0.701	0.635	0.005	0.77	0.23	0.275	0.9085	0.944417202	0.088188516	1.1095
ASCC124_4_24_0923_TP_1C_15	99	TP	24	4	1	5_15cm		Mineral	9/18/23	25.4	0.663	0.515	0.175	1.915	0.290741632	2.475	0.986	0.348	0.413588913	0.7635
ASCC125_14_97_0923_TP_1C_5	174	TP	97	14	4	0_5cm		Mineral	9/20/23	25.51	0.15205	0.595	0.01	1.88	0.28	0.74	1.2185	0.811317727	0.862162668	1.4155
ASCC126_6_39_0923_TP_1C_15	111	TP	39	6	2	5_15cm		Mineral	9/18/23	11.035	1.0165	0.58	0.015	2.215	0.827716957	0.825	3.1135	0.769	0.665053382	0.795
ASCC127_5_32_0923_TP_1C_5	116	TP	32	5	2	0_5cm		Mineral	9/20/23	10.795	0.557	0.53	0.035	1.705	0.542170699	0.715	1.265	0.273	0.565724885	0.6165
ASCC128_15_100_0923_TP_1C_15	150	TP	100	15	4	5_15cm		Mineral	9/15/23	5.785	0.19435	0.615	0.025	1.905	0.1994	1.44325	3.0945	0.636253248	0.151	0.446
ASCC129_13_87_0923_TP_1C_5	180	TP	87	13	4	0_5cm		Mineral	9/20/23	8.02	0.23775	0.305	0.165	3.965	0.26	0.205	0.5205	0.422344268	0.201152447	0.5805
ASCC13_T3A_4_0923_SJ_1C_5	207	SJ	5	TA	3	0_5cm		Mineral	10/24/23	9.42	5.169	1.125	1.08	4.235	1.18	4.145	0.7355	5.981	0.588	0.809
