,OTUID,,Count in SJ v TP,Count in SF v SJ,Count in SF v TP,Count in SF v SJ shallow,Count in TP v SJ shallow,Count in SF v TP shallow,Count in SF v TP deep,Count in TP v SJ deep,Count in SJ v SF deep,Count in SF v TP OM,Count in SJ v SF OM,Count in TP v SJ OM
0,9107fc5f3bba73edafd5c5827b3365de,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Candidatus_Udaeobacter,49,45,50,47,50,43,39,48,43,36,32,37
1,7d33350e0098ec031a7b9d038b3b492a,d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group; s__uncultured_bacterium,40,38,45,37,45,45,42,38,39,69,62,71
2,0fea7baaeb943aa04de6ee46d2f60b26,d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__RB41,31,24,35,26,35,23,14,31,27,15,17,23
3,071910ef0fbb67d95e382f8a6a37f68c,d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales; f__WD2101_soil_group; g__WD2101_soil_group,21,23,18,22,18,20,20,22,25,37,34,33
4,ccec2932c116881a9e1f5280c81d6aa4,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Chthoniobacter,16,17,19,17,19,16,13,17,15,18,20,18
5,9b44e7e89f7c795f352f672c1f16f1b0,d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__uncultured; g__uncultured,16,17,14,14,14,12,13,17,15,10,13,15
6,974994333b59c6261ce1fb5afd16a318,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__uncultured; s__uncultured_bacterium,14,13,20,17,20,33,37,24,22,11,10,9
7,4c1c3bb43de725719bad2f1a5d3d7ce2,d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__uncultured,14,20,18,21,18,35,42,23,26,13,7,10
8,8cb4ccd83cb9625c4d095d86751ca598,d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium,12,12,9,8,9,11,11,12,8,9,11,10
9,ca24cf1f0863dd16eb8dcee545c92d1e,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Xiphinematobacteraceae; g__Candidatus_Xiphinematobacter; s__uncultured_bacterium,10,10,9,12,9,11,11,10,10,9,9,6
10,23a80b599d91baca0f83cdbf0f033d2f,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Mucilaginibacter,10,9,10,8,10,13,9,7,7,18,17,17
11,c1f456159611a4dd8e743280f1f1a560,d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Chthoniobacterales; f__Chthoniobacteraceae; g__Chthoniobacter; s__uncultured_bacterium,10,9,8,8,8,13,9,10,10,28,17,20
12,39aff482f16f69e0c9e19e03822fe081,d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter,9,2,8,4,8,15,11,6,3,17,5,13
