	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	Sulfur_id	kegg_genes_id	ko_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_1	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	1	1	105	-1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_2	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	2	216	1190	-1	A		rhz:RHPLAN_25330	"K07080,K07080"	rhz:RHPLAN_25330 (K07080) K07080; uncharacterized protein	TRUE	0.721	465	2.32E-144								"NMT1-like family [PF16868.8]; NMT1/THI5 like [PF09084.14]; NMT1-like family [PF13379.9]; ABC transporter, phosphonate, periplasmic substrate-binding protein [PF12974.10]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_3	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	3	1210	3267	-1	A		bic:LMTR13_03460		bic:LMTR13_03460 ()	TRUE	0.736	981	3.923e-316								"Tripartite ATP-independent periplasmic transporter, DctM component [PF06808.15]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_4	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	4	3450	3656	1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_5	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	5	3681	6428	-1	A		rhz:RHPLAN_25300	K01006	"rhz:RHPLAN_25300 (K01006) ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]"	TRUE	0.783	1447	0								"PEP-utilising enzyme, PEP-binding domain [PF02896.21]; Pyruvate phosphate dikinase, AMP/ATP-binding domain [PF01326.22]; PEP-utilising enzyme, mobile domain [PF00391.26]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_6	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	6	6584	8908	-1	A		brk:CWS35_34105	K01879	brk:CWS35_34105 (K01879) glyS; glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	TRUE	0.661	1013	0								Glycyl-tRNA synthetase beta subunit [PF02092.20]; DALR anticodon binding domain [PF05746.18]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_7	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	7	8912	9367	-1	C		rpb:RPB_0647		rpb:RPB_0647 ()	FALSE	0.617	160	3.29E-42								Protein of unknown function (DUF559) [PF04480.15]; REase_MTES_1575 [PF18741.4]; Protein of unknown function (DUF2726) [PF10881.11]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_8	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	8	9479	9736	-1	C		caul:KCG34_24140		caul:KCG34_24140 ()	FALSE	0.866	134	3.37E-34								Iron-binding zinc finger CDGSH type [PF09360.13]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_9	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	9	9733	10689	-1	A		rhz:RHPLAN_25270	K01878	rhz:RHPLAN_25270 (K01878) glyQ; glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	TRUE	0.903	589	1.04E-187								Glycyl-tRNA synthetase alpha subunit [PF02091.18]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_1286345_10	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_1286345	10	10838	11044	1	E																					0
