Name	fire	year_post_burn	severity	Completeness	Contamination	MAG_size_bp	numb_contigs	MAG_FULL_TAX
BV_3control_bin.2	beaver	5	Control	90.53	4.13	7889847	93	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__;s__
BV_3control_prok_bin.13	beaver	5	Control	97.12	1.64	6522188	177	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__;s__
BV_3control_prok_bin.23	beaver	5	Control	97.71	0.69	5313292	306	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__;s__
BV_3control_prok_bin.3	beaver	5	Control	87.79	0.92	2933727	113	d__Bacteria;p__Chloroflexota;c__Dormibacteria;o__UBA8260;f__UBA8260;g__Palsa-875;s__
BV_3control_prok_bin.9	beaver	5	Control	80.28	6.53	2975414	550	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__
BV_C1_S2_bin.25	beaver	5	Control	98.88	2.78	4958966	98	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__PSRF01 sp030840675
BV_C1_S2_bin.35	beaver	5	Control	98.54	1.03	2701315	103	d__Bacteria;p__Actinomycetota;c__UBA4738;o__CADDZG01;f__WHSQ01;g__JAUJNU01;s__
BV_C1_S2_bin.72	beaver	5	Control	80.11	1.23	1738422	222	d__Bacteria;p__Chloroflexota;c__Limnocylindria;o__QHBO01;f__QHBO01;g__CF-167;s__
BV_C1_S2_bin.94	beaver	5	Control	79.87	8.4	2410160	318	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__70-9;g__;s__
BV_C1_S2_itr_bin.64	beaver	5	Control	71.02	10.2	6001365	819	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__
BV_C1_S2_itr_bin.81	beaver	5	Control	77.82	10.56	5922067	865	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__
BV_C1_S2_prok_bin.18	beaver	5	Control	95.65	3.47	7442343	679	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Caballeronia;s__
BV_C1_S2_prok_bin.41	beaver	5	Control	92.43	5.28	4642171	287	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Jatrophihabitantaceae;g__Jatrophihabitans;s__Jatrophihabitans sp025966255
BV_C1_S2_prok_bin.42	beaver	5	Control	94.23	3.78	7298199	1022	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Multivoradales;f__UBA5704;g__UBA5704;s__
BV_C1_S2_prok_bin.46	beaver	5	Control	70.2	10.88	2812993	507	d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__HRBIN12;g__JANXVR01;s__
BV_C1_S2_prok_bin.88	beaver	5	Control	75.86	5.16	5385169	939	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__
BV_C1_S3_bin.101	beaver	5	Control	78.9	3.91	4385174	299	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Acidoferrales;f__UBA7541;g__Acidoferrum;s__
BV_C1_S3_bin.117	beaver	5	Control	95.26	0.88	5030630	330	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__JAOBAU01;s__
BV_C1_S3_bin.122	beaver	5	Control	95.71	6.72	4472890	175	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__
BV_C1_S3_bin.136	beaver	5	Control	89.66	2.26	3962307	367	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__IMCC26256;f__PALSA-610;g__PALSA-610;s__
BV_C1_S3_bin.143	beaver	5	Control	80.84	2.54	4425178	644	d__Bacteria;p__Myxococcota;c__Polyangia;o__Fen-1088;f__Fen-1088;g__;s__
BV_C1_S3_bin.154	beaver	5	Control	85.97	2.07	4387099	403	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAHJXF01;s__
BV_C1_S3_bin.26	beaver	5	Control	86.87	6.54	6580267	317	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Gp7-AA8;f__Gp7-AA8;g__JADGNZ01;s__
BV_C1_S3_bin.30	beaver	5	Control	85.29	8.79	4343822	572	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Koribacteraceae;g__Koribacter;s__
